strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
CF20,K200,BULL_2025,25,0.002455605062629791,0.024,0.002455605062629791,0.0023836050626297907,0.002311605062629791,gross_delta,0.002455605062629791,-0.00011366446319633948,0.0059172105948486495,0.965
CF20,K200,BULL_2025,25,0.002455605062629791,0.024,0.002455605062629791,0.0023836050626297907,0.002311605062629791,net_30,0.0023836050626297907,-0.00013702658483741813,0.005746003117370449,0.9635
CF20,K200,BULL_2025,25,0.002455605062629791,0.024,0.002455605062629791,0.0023836050626297907,0.002311605062629791,net_60,0.002311605062629791,-0.00022802730336149294,0.005581565461010796,0.954
CF20,K200,EARLY_2016_2019,98,0.0002699296944752257,0.009247448979591837,0.0002699296944752257,0.00024218734753645018,0.0002144450005976748,gross_delta,0.0002699296944752257,-0.00028184157578824034,0.0008417676332190815,0.8253333333333334
CF20,K200,EARLY_2016_2019,98,0.0002699296944752257,0.009247448979591837,0.0002699296944752257,0.00024218734753645018,0.0002144450005976748,net_30,0.00024218734753645018,-0.00030431687076399775,0.0008060992019419155,0.818
CF20,K200,EARLY_2016_2019,98,0.0002699296944752257,0.009247448979591837,0.0002699296944752257,0.00024218734753645018,0.0002144450005976748,net_60,0.0002144450005976748,-0.0003553850548557769,0.000773660111140423,0.7708333333333334
CF20,K200,LATE_2020_2022,75,-8.292539804349478e-05,0.016583333333333332,-8.292539804349478e-05,-0.0001326753980434948,-0.00018242539804349481,gross_delta,-8.292539804349478e-05,-0.001104267836327183,0.0010004394670498644,0.43283333333333335
CF20,K200,LATE_2020_2022,75,-8.292539804349478e-05,0.016583333333333332,-8.292539804349478e-05,-0.0001326753980434948,-0.00018242539804349481,net_30,-0.0001326753980434948,-0.0011564259839135494,0.0009143505970387894,0.39916666666666667
CF20,K200,LATE_2020_2022,75,-8.292539804349478e-05,0.016583333333333332,-8.292539804349478e-05,-0.0001326753980434948,-0.00018242539804349481,net_60,-0.00018242539804349481,-0.0011784136089378389,0.0008981322575414123,0.3725
CF20,K200,NORMAL_2023_2024,48,0.0007412773950016406,0.012760416666666663,0.0007412773950016406,0.0007029961450016406,0.0006647148950016405,gross_delta,0.0007412773950016406,-0.000324228503176879,0.001780612322124912,0.9136666666666666
CF20,K200,NORMAL_2023_2024,48,0.0007412773950016406,0.012760416666666663,0.0007412773950016406,0.0007029961450016406,0.0006647148950016405,net_30,0.0007029961450016406,-0.0003293145902447341,0.0017274630833438516,0.9073333333333333
CF20,K200,NORMAL_2023_2024,48,0.0007412773950016406,0.012760416666666663,0.0007412773950016406,0.0007029961450016406,0.0006647148950016405,net_60,0.0006647148950016405,-0.0003631791810702632,0.001693540445920003,0.8985
CF20,K200,YTD_2026,13,0.002800941058417827,0.026442307692307692,0.002800941058417827,0.0027216141353409032,0.00264228721226398,gross_delta,0.002800941058417827,0.0009168304053050409,0.004817758869673681,1.0
CF20,K200,YTD_2026,13,0.002800941058417827,0.026442307692307692,0.002800941058417827,0.0027216141353409032,0.00264228721226398,net_30,0.0027216141353409032,0.0008432228479173323,0.0047344477515615085,0.9996666666666667
CF20,K200,YTD_2026,13,0.002800941058417827,0.026442307692307692,0.002800941058417827,0.0027216141353409032,0.00264228721226398,net_60,0.00264228721226398,0.0007940906253569145,0.004759787530776417,0.9998333333333334
CF20,KOSDAQ,BULL_2025,25,0.0004258316793954901,0.03325,0.0004258316793954901,0.0003260816793954903,0.0002263316793954903,gross_delta,0.0004258316793954901,-0.001958545289355203,0.0031406868150819786,0.6
CF20,KOSDAQ,BULL_2025,25,0.0004258316793954901,0.03325,0.0004258316793954901,0.0003260816793954903,0.0002263316793954903,net_30,0.0003260816793954903,-0.0020935258903522296,0.0030885036951016622,0.6015
CF20,KOSDAQ,BULL_2025,25,0.0004258316793954901,0.03325,0.0004258316793954901,0.0003260816793954903,0.0002263316793954903,net_60,0.0002263316793954903,-0.0022113395160572626,0.002897357646701726,0.5563333333333333
CF20,KOSDAQ,EARLY_2016_2019,98,0.00042511091161576505,0.011415816326530612,0.00042511091161576505,0.0003908634626361732,0.0003566160136565814,gross_delta,0.00042511091161576505,-0.0002349979879979018,0.0010808026218942293,0.8943333333333333
CF20,KOSDAQ,EARLY_2016_2019,98,0.00042511091161576505,0.011415816326530612,0.00042511091161576505,0.0003908634626361732,0.0003566160136565814,net_30,0.0003908634626361732,-0.0002854040773794238,0.0010574962745738066,0.8801666666666667
CF20,KOSDAQ,EARLY_2016_2019,98,0.00042511091161576505,0.011415816326530612,0.00042511091161576505,0.0003908634626361732,0.0003566160136565814,net_60,0.0003566160136565814,-0.0002926627186139931,0.0009980407415025778,0.8645
CF20,KOSDAQ,LATE_2020_2022,75,0.0006616980117050663,0.03108333333333333,0.0006616980117050663,0.0005684480117050664,0.00047519801170506636,gross_delta,0.0006616980117050663,-0.0010809800336780105,0.002497780073832998,0.779
CF20,KOSDAQ,LATE_2020_2022,75,0.0006616980117050663,0.03108333333333333,0.0006616980117050663,0.0005684480117050664,0.00047519801170506636,net_30,0.0005684480117050664,-0.0011710122918519362,0.002356351093905693,0.7303333333333333
