strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,MOMENTUM,38,-0.005888782976521314,0.39473684210526316
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,REVISION,38,-0.01076326977784908,0.34210526315789475
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,VALUE,38,-0.006376686886926593,0.3684210526315789
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,FLOW,24,-0.005874670022661771,0.4166666666666667
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.007563231563365525,0.4583333333333333
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,REVISION,24,0.007487065181113625,0.6666666666666666
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,VALUE,24,-0.0007836885277387806,0.5416666666666666
HOT_HIGH30_DIAG,K200,20,YTD_2026,FLOW,6,0.011561137184412899,0.5
HOT_HIGH30_DIAG,K200,20,YTD_2026,MOMENTUM,6,-0.00718390413875921,0.6666666666666666
HOT_HIGH30_DIAG,K200,20,YTD_2026,REVISION,6,0.007242234558197301,0.5
HOT_HIGH30_DIAG,K200,20,YTD_2026,VALUE,6,-0.012882141583879144,0.5
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,FLOW,49,-0.0008269325876124943,0.5306122448979592
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,MOMENTUM,49,-0.0013859372148960346,0.5306122448979592
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,REVISION,47,-0.004322881093101215,0.3617021276595745
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,VALUE,48,0.0013379155442698118,0.5625
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,FLOW,192,-0.0013855727296872504,0.4375
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,MOMENTUM,192,-0.0005561179546291348,0.5260416666666666
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,REVISION,182,-0.002345686734553237,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,VALUE,184,0.00044637673112525876,0.5380434782608695
HOT_HIGH30_DIAG,KOSDAQ,5,LATE_2020_2022,FLOW,149,-0.0015946812036310085,0.4161073825503356
HOT_HIGH30_DIAG,KOSDAQ,5,LATE_2020_2022,MOMENTUM,149,-0.0004008752899081195,0.4966442953020134
HOT_HIGH30_DIAG,KOSDAQ,5,LATE_2020_2022,REVISION,146,-0.0018324694950454827,0.4520547945205479
HOT_HIGH30_DIAG,KOSDAQ,5,LATE_2020_2022,VALUE,148,-0.0038359027063166184,0.43243243243243246
HOT_HIGH30_DIAG,KOSDAQ,5,NORMAL_2023_2024,FLOW,97,0.0018696864008131042,0.5670103092783505
HOT_HIGH30_DIAG,KOSDAQ,5,NORMAL_2023_2024,MOMENTUM,97,0.002018782469767995,0.5670103092783505
HOT_HIGH30_DIAG,KOSDAQ,5,NORMAL_2023_2024,REVISION,96,0.0009179082882326299,0.53125
HOT_HIGH30_DIAG,KOSDAQ,5,NORMAL_2023_2024,VALUE,96,0.0012466404803743376,0.5208333333333334
HOT_HIGH30_DIAG,KOSDAQ,5,YTD_2026,FLOW,28,-0.00475148439308024,0.5357142857142857
HOT_HIGH30_DIAG,KOSDAQ,5,YTD_2026,MOMENTUM,28,-0.008711110273899108,0.35714285714285715
HOT_HIGH30_DIAG,KOSDAQ,5,YTD_2026,REVISION,28,-0.005295091289003843,0.39285714285714285
HOT_HIGH30_DIAG,KOSDAQ,5,YTD_2026,VALUE,28,-0.0027205623560884284,0.5714285714285714
HOT_HIGH30_DIAG,KOSDAQ,10,BULL_2025,FLOW,25,0.002631633877429772,0.52
HOT_HIGH30_DIAG,KOSDAQ,10,BULL_2025,MOMENTUM,25,0.0009898857718411347,0.36
HOT_HIGH30_DIAG,KOSDAQ,10,BULL_2025,REVISION,25,-0.0017342364604164984,0.4
HOT_HIGH30_DIAG,KOSDAQ,10,BULL_2025,VALUE,25,0.006706601929985321,0.64
HOT_HIGH30_DIAG,KOSDAQ,10,EARLY_2016_2019,FLOW,96,-0.00015946302554100655,0.4583333333333333
HOT_HIGH30_DIAG,KOSDAQ,10,EARLY_2016_2019,MOMENTUM,96,0.0004514741095353733,0.4895833333333333
HOT_HIGH30_DIAG,KOSDAQ,10,EARLY_2016_2019,REVISION,92,-0.003310752743359525,0.43478260869565216
HOT_HIGH30_DIAG,KOSDAQ,10,EARLY_2016_2019,VALUE,92,0.0031061390438232245,0.6086956521739131
HOT_HIGH30_DIAG,KOSDAQ,10,LATE_2020_2022,FLOW,75,0.0004956658088356717,0.49333333333333335
HOT_HIGH30_DIAG,KOSDAQ,10,LATE_2020_2022,MOMENTUM,75,0.004073555811444649,0.5733333333333334
HOT_HIGH30_DIAG,KOSDAQ,10,LATE_2020_2022,REVISION,72,0.0005549635412602478,0.4722222222222222
HOT_HIGH30_DIAG,KOSDAQ,10,LATE_2020_2022,VALUE,74,-0.003974599474853683,0.4594594594594595
HOT_HIGH30_DIAG,KOSDAQ,10,NORMAL_2023_2024,FLOW,48,0.0005503483451649285,0.5208333333333334
HOT_HIGH30_DIAG,KOSDAQ,10,NORMAL_2023_2024,MOMENTUM,48,-0.0020223832388684988,0.4791666666666667
HOT_HIGH30_DIAG,KOSDAQ,10,NORMAL_2023_2024,REVISION,48,0.0005782413971991265,0.5208333333333334
HOT_HIGH30_DIAG,KOSDAQ,10,NORMAL_2023_2024,VALUE,48,0.0028550575571130907,0.5833333333333334
HOT_HIGH30_DIAG,KOSDAQ,10,YTD_2026,FLOW,13,-0.012371994326289949,0.38461538461538464
HOT_HIGH30_DIAG,KOSDAQ,10,YTD_2026,MOMENTUM,13,-0.017772361464610198,0.38461538461538464
HOT_HIGH30_DIAG,KOSDAQ,10,YTD_2026,REVISION,13,-0.002161820168940867,0.38461538461538464
HOT_HIGH30_DIAG,KOSDAQ,10,YTD_2026,VALUE,13,0.006782628002979536,0.6923076923076923
HOT_HIGH30_DIAG,KOSDAQ,20,BULL_2025,FLOW,12,0.01392726595682004,0.5833333333333334
HOT_HIGH30_DIAG,KOSDAQ,20,BULL_2025,MOMENTUM,12,-0.0010016385951258702,0.3333333333333333
HOT_HIGH30_DIAG,KOSDAQ,20,BULL_2025,REVISION,12,-0.006527919587662273,0.5
HOT_HIGH30_DIAG,KOSDAQ,20,BULL_2025,VALUE,12,0.01456718220360321,0.6666666666666666
HOT_HIGH30_DIAG,KOSDAQ,20,EARLY_2016_2019,FLOW,48,0.0016764942577547272,0.5416666666666666
HOT_HIGH30_DIAG,KOSDAQ,20,EARLY_2016_2019,MOMENTUM,48,0.0026939176847963126,0.5625
HOT_HIGH30_DIAG,KOSDAQ,20,EARLY_2016_2019,REVISION,47,-0.005639415633390987,0.44680851063829785
HOT_HIGH30_DIAG,KOSDAQ,20,EARLY_2016_2019,VALUE,47,0.001398162660282685,0.5106382978723404
HOT_HIGH30_DIAG,KOSDAQ,20,LATE_2020_2022,FLOW,38,0.007599858556455588,0.5
HOT_HIGH30_DIAG,KOSDAQ,20,LATE_2020_2022,MOMENTUM,38,0.015599843600989552,0.6578947368421053
HOT_HIGH30_DIAG,KOSDAQ,20,LATE_2020_2022,REVISION,37,0.001309046587530626,0.5675675675675675
HOT_HIGH30_DIAG,KOSDAQ,20,LATE_2020_2022,VALUE,38,-0.00937086541760473,0.42105263157894735
HOT_HIGH30_DIAG,KOSDAQ,20,NORMAL_2023_2024,FLOW,24,-0.013705222574171066,0.3333333333333333
HOT_HIGH30_DIAG,KOSDAQ,20,NORMAL_2023_2024,MOMENTUM,24,-0.01732634173670793,0.375
HOT_HIGH30_DIAG,KOSDAQ,20,NORMAL_2023_2024,REVISION,24,0.0003109928623377855,0.4166666666666667
HOT_HIGH30_DIAG,KOSDAQ,20,NORMAL_2023_2024,VALUE,24,0.008657746412307018,0.5
HOT_HIGH30_DIAG,KOSDAQ,20,YTD_2026,FLOW,6,-0.017339267020491978,0.3333333333333333
HOT_HIGH30_DIAG,KOSDAQ,20,YTD_2026,MOMENTUM,6,-0.020005290121625427,0.3333333333333333
HOT_HIGH30_DIAG,KOSDAQ,20,YTD_2026,REVISION,6,0.016801719861100784,0.5
HOT_HIGH30_DIAG,KOSDAQ,20,YTD_2026,VALUE,6,0.025935258692906846,0.6666666666666666
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,FLOW,49,-0.002649159475323139,0.3877551020408163
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,-0.001127390297368558,0.46938775510204084
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,REVISION,49,-0.0023072941465489432,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,VALUE,49,-0.0016820307288292556,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,192,-0.000570341729007314,0.5
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,192,-8.745152567848277e-05,0.515625
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,191,-0.0005335173166240064,0.4869109947643979
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,191,8.54212643733292e-05,0.4973821989528796
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-0.0025842483098458846,0.436241610738255
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,-0.0009324168921523474,0.48322147651006714
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,-0.00255377405570363,0.4161073825503356
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,-0.0021500459529989616,0.4563758389261745
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.0042281334302088636,0.5979381443298969
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.003113020962316672,0.5979381443298969
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,0.0004536899183494929,0.5051546391752577
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,-0.002020858740386447,0.4329896907216495
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,FLOW,28,-0.00792429313252225,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,-0.007593567474043768,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,REVISION,28,-0.0035540509147505106,0.42857142857142855
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,VALUE,28,-0.0017669727754586017,0.5714285714285714
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.001308011450799566,0.52
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,-0.0010351072211210743,0.44
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,REVISION,25,0.0038716254080471157,0.56
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,VALUE,25,0.003012416766341322,0.52
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,96,-0.00022576205710169808,0.53125
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0006822836674618376,0.46875
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,96,-0.002083175331449084,0.4270833333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,96,0.00024378638063932362,0.46875
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,-0.0012704637365666867,0.5066666666666667
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,-0.0003875501131524761,0.4666666666666667
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,-0.0035092713724853195,0.41333333333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,-0.0038165892086265856,0.41333333333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,0.0003567934046842917,0.5208333333333334
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,0.006096465304917309,0.5833333333333334
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,0.0008461677995831507,0.4583333333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,-0.004776313617906254,0.4375
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,FLOW,13,-0.013902338213264207,0.46153846153846156
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,-0.017476859384694513,0.15384615384615385
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.004424089423479051,0.5384615384615384
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,VALUE,13,-0.002887612666009302,0.5384615384615384
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,FLOW,12,0.008921218443194207,0.5
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,MOMENTUM,12,-0.0029740907789583613,0.5833333333333334
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,REVISION,12,-0.010115413859886416,0.3333333333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,VALUE,12,0.003917392695849236,0.5
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,FLOW,48,0.0007763055652808226,0.625
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,MOMENTUM,48,0.0052413893876572795,0.5416666666666666
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,REVISION,48,-0.004433756954085683,0.4375
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,VALUE,48,-0.0024139852878966683,0.4583333333333333
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,FLOW,38,0.008375931083178577,0.7105263157894737
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,MOMENTUM,38,0.0032991687398824902,0.42105263157894735
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,REVISION,38,0.004740642838954432,0.4473684210526316
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,VALUE,38,-0.0036619666112026328,0.4473684210526316
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,FLOW,24,-0.005788212206189831,0.375
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.0053275276922335095,0.5
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,REVISION,24,-0.003087418102090436,0.5
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,VALUE,24,-0.00871341526104858,0.375
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,FLOW,6,-0.016819123281728857,0.6666666666666666
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,MOMENTUM,6,-0.012171673667069262,0.3333333333333333
