strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
BASE,KOSPI_EX_K200,LATE_2020_2022,75,-2.8281939059669945e-05,-0.02,-2.8281939059669945e-05,3.1718060940330185e-05,9.171806094033003e-05,net_30,3.1718060940330185e-05,-0.0009082154191170328,0.0010147540693841485,0.5333333333333333
BASE,KOSPI_EX_K200,LATE_2020_2022,75,-2.8281939059669945e-05,-0.02,-2.8281939059669945e-05,3.1718060940330185e-05,9.171806094033003e-05,net_60,9.171806094033003e-05,-0.000863614640477075,0.0010452470138169973,0.5681666666666667
BASE,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0009633302265644974,-0.022526041666666663,-0.0009633302265644974,-0.0008957521015644974,-0.0008281739765644974,gross_delta,-0.0009633302265644974,-0.0021303929606272345,0.00018580067821839954,0.051
BASE,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0009633302265644974,-0.022526041666666663,-0.0009633302265644974,-0.0008957521015644974,-0.0008281739765644974,net_30,-0.0008957521015644974,-0.0020702669344876993,0.00022642549085149925,0.060833333333333336
BASE,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0009633302265644974,-0.022526041666666663,-0.0009633302265644974,-0.0008957521015644974,-0.0008281739765644974,net_60,-0.0008281739765644974,-0.002032764293706257,0.0003509968734700207,0.08433333333333333
BASE,KOSPI_EX_K200,YTD_2026,13,-0.0019844605993703276,-0.03317307692307693,-0.0019844605993703276,-0.0018849413686010967,-0.0017854221378318662,gross_delta,-0.0019844605993703276,-0.005734982913810487,0.002458650653982666,0.194
BASE,KOSPI_EX_K200,YTD_2026,13,-0.0019844605993703276,-0.03317307692307693,-0.0019844605993703276,-0.0018849413686010967,-0.0017854221378318662,net_30,-0.0018849413686010967,-0.005639124278335064,0.002560363406831998,0.2015
BASE,KOSPI_EX_K200,YTD_2026,13,-0.0019844605993703276,-0.03317307692307693,-0.0019844605993703276,-0.0018849413686010967,-0.0017854221378318662,net_60,-0.0017854221378318662,-0.005531488826327375,0.0026967456244946808,0.21666666666666667
BASE,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.004620957740483625,-0.06899999999999999,-0.004620957740483625,-0.004413957740483626,-0.004206957740483625,gross_delta,-0.004620957740483625,-0.01146292927215255,0.0009252301838278994,0.05516666666666667
BASE,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.004620957740483625,-0.06899999999999999,-0.004620957740483625,-0.004413957740483626,-0.004206957740483625,net_30,-0.004413957740483626,-0.011083050886228499,0.0012008706490338752,0.07033333333333333
BASE,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.004620957740483625,-0.06899999999999999,-0.004620957740483625,-0.004413957740483626,-0.004206957740483625,net_60,-0.004206957740483625,-0.010588802419561396,0.0014633032873998776,0.08416666666666667
BASE,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0014663648727892102,-0.05720663265306124,-0.0014663648727892102,-0.0012947449748300266,-0.0011231250768708428,gross_delta,-0.0014663648727892102,-0.0027586627640933253,-0.00011644751388062321,0.01633333333333333
BASE,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0014663648727892102,-0.05720663265306124,-0.0014663648727892102,-0.0012947449748300266,-0.0011231250768708428,net_30,-0.0012947449748300266,-0.0025782270826953287,6.475365536984873e-05,0.030333333333333334
BASE,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0014663648727892102,-0.05720663265306124,-0.0014663648727892102,-0.0012947449748300266,-0.0011231250768708428,net_60,-0.0011231250768708428,-0.0024357130993423338,0.0002526353049315296,0.052833333333333336
BASE,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0019391236453947898,-0.08241666666666667,-0.0019391236453947898,-0.00169187364539479,-0.0014446236453947898,gross_delta,-0.0019391236453947898,-0.005249784840050756,0.0013043281405941075,0.128
BASE,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0019391236453947898,-0.08241666666666667,-0.0019391236453947898,-0.00169187364539479,-0.0014446236453947898,net_30,-0.00169187364539479,-0.004939517803410345,0.0014868062253875524,0.14533333333333334
BASE,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0019391236453947898,-0.08241666666666667,-0.0019391236453947898,-0.00169187364539479,-0.0014446236453947898,net_60,-0.0014446236453947898,-0.004698479341533953,0.001828264806085705,0.19
BASE,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.0008432560410292208,-0.08736979166666665,-0.0008432560410292208,-0.0005811466660292208,-0.00031903729102922084,gross_delta,-0.0008432560410292208,-0.0041170207176418425,0.002577876279561826,0.30416666666666664
BASE,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.0008432560410292208,-0.08736979166666665,-0.0008432560410292208,-0.0005811466660292208,-0.00031903729102922084,net_30,-0.0005811466660292208,-0.003763010587926885,0.002792774102862719,0.36933333333333335
BASE,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.0008432560410292208,-0.08736979166666665,-0.0008432560410292208,-0.0005811466660292208,-0.00031903729102922084,net_60,-0.00031903729102922084,-0.0034927442153564726,0.0030497855187265185,0.42
BASE,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.011318455529616495,-0.09134615384615384,-0.011318455529616495,-0.011044417068078032,-0.010770378606539574,gross_delta,-0.011318455529616495,-0.022116975997062787,-0.00018755374037501504,0.023166666666666665
BASE,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.011318455529616495,-0.09134615384615384,-0.011318455529616495,-0.011044417068078032,-0.010770378606539574,net_30,-0.011044417068078032,-0.021940764739013328,6.71073403102338e-05,0.025833333333333333
BASE,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.011318455529616495,-0.09134615384615384,-0.011318455529616495,-0.011044417068078032,-0.010770378606539574,net_60,-0.010770378606539574,-0.021597745227832015,0.00014085646992140007,0.02666666666666667
PROMOTE20,K200,BULL_2025,25,-0.0003993147619641929,0.0275,-0.0003993147619641929,-0.00048181476196419286,-0.000564314761964193,gross_delta,-0.0003993147619641929,-0.002502738569106886,0.0017218716224773004,0.355
PROMOTE20,K200,BULL_2025,25,-0.0003993147619641929,0.0275,-0.0003993147619641929,-0.00048181476196419286,-0.000564314761964193,net_30,-0.00048181476196419286,-0.002598635111343554,0.0016410302794660331,0.3355
PROMOTE20,K200,BULL_2025,25,-0.0003993147619641929,0.0275,-0.0003993147619641929,-0.00048181476196419286,-0.000564314761964193,net_60,-0.000564314761964193,-0.002755165041066375,0.0015410192395423578,0.31166666666666665
PROMOTE20,K200,EARLY_2016_2019,98,-0.0003758465435474219,0.036288265306122454,-0.0003758465435474219,-0.0004847113394657892,-0.0005935761353841564,gross_delta,-0.0003758465435474219,-0.000894847749458098,0.0001486429206775173,0.0795
PROMOTE20,K200,EARLY_2016_2019,98,-0.0003758465435474219,0.036288265306122454,-0.0003758465435474219,-0.0004847113394657892,-0.0005935761353841564,net_30,-0.0004847113394657892,-0.0010001004339681007,4.536117490295858e-05,0.03783333333333333
PROMOTE20,K200,EARLY_2016_2019,98,-0.0003758465435474219,0.036288265306122454,-0.0003758465435474219,-0.0004847113394657892,-0.0005935761353841564,net_60,-0.0005935761353841564,-0.001123804256178346,-5.69345324172143e-05,0.016166666666666666
PROMOTE20,K200,LATE_2020_2022,75,-0.0005507716634593185,0.03358333333333333,-0.0005507716634593185,-0.0006515216634593186,-0.0007522716634593186,gross_delta,-0.0005507716634593185,-0.0015986339563454134,0.00048383334386570997,0.151
PROMOTE20,K200,LATE_2020_2022,75,-0.0005507716634593185,0.03358333333333333,-0.0005507716634593185,-0.0006515216634593186,-0.0007522716634593186,net_30,-0.0006515216634593186,-0.0017287483640173245,0.0004102643874585171,0.1145
PROMOTE20,K200,LATE_2020_2022,75,-0.0005507716634593185,0.03358333333333333,-0.0005507716634593185,-0.0006515216634593186,-0.0007522716634593186,net_60,-0.0007522716634593186,-0.0018459965502017465,0.0003067508221652504,0.08016666666666666
PROMOTE20,K200,NORMAL_2023_2024,48,-1.8116093948890213e-05,0.03880208333333333,-1.8116093948890213e-05,-0.00013452234394889027,-0.00025092859394889016,gross_delta,-1.8116093948890213e-05,-0.0011245235774572778,0.0010728066727320642,0.49133333333333334
PROMOTE20,K200,NORMAL_2023_2024,48,-1.8116093948890213e-05,0.03880208333333333,-1.8116093948890213e-05,-0.00013452234394889027,-0.00025092859394889016,net_30,-0.00013452234394889027,-0.001279004045328574,0.0009317789067343208,0.4075
PROMOTE20,K200,NORMAL_2023_2024,48,-1.8116093948890213e-05,0.03880208333333333,-1.8116093948890213e-05,-0.00013452234394889027,-0.00025092859394889016,net_60,-0.00025092859394889016,-0.0013564199845438277,0.0008150101519494939,0.335
PROMOTE20,K200,YTD_2026,13,-0.005207171317773549,0.032692307692307694,-0.005207171317773549,-0.005305248240850473,-0.005403325163927396,gross_delta,-0.005207171317773549,-0.009886732237416242,-0.0011123126651745754,0.0045
PROMOTE20,K200,YTD_2026,13,-0.005207171317773549,0.032692307692307694,-0.005207171317773549,-0.005305248240850473,-0.005403325163927396,net_30,-0.005305248240850473,-0.010088266046044927,-0.001166679880391291,0.004
PROMOTE20,K200,YTD_2026,13,-0.005207171317773549,0.032692307692307694,-0.005207171317773549,-0.005305248240850473,-0.005403325163927396,net_60,-0.005403325163927396,-0.009947458519578883,-0.0013732309008778294,0.0018333333333333333
PROMOTE20,KOSDAQ,BULL_2025,25,-0.0013285536997790393,0.0245,-0.0013285536997790393,-0.0014020536997790393,-0.0014755536997790395,gross_delta,-0.0013285536997790393,-0.0038070552316633705,0.0010961519103466553,0.14366666666666666
PROMOTE20,KOSDAQ,BULL_2025,25,-0.0013285536997790393,0.0245,-0.0013285536997790393,-0.0014020536997790393,-0.0014755536997790395,net_30,-0.0014020536997790393,-0.0037812150597189903,0.0010084053620948268,0.13183333333333333
PROMOTE20,KOSDAQ,BULL_2025,25,-0.0013285536997790393,0.0245,-0.0013285536997790393,-0.0014020536997790393,-0.0014755536997790395,net_60,-0.0014755536997790395,-0.0038935049179714726,0.0009956343899367756,0.1205
PROMOTE20,KOSDAQ,EARLY_2016_2019,98,-1.4547396877614861e-05,0.03609693877551021,-1.4547396877614861e-05,-0.0001228382132041454,-0.0002311290295306761,gross_delta,-1.4547396877614861e-05,-0.0007805693680815492,0.0007525577990790364,0.4806666666666667
PROMOTE20,KOSDAQ,EARLY_2016_2019,98,-1.4547396877614861e-05,0.03609693877551021,-1.4547396877614861e-05,-0.0001228382132041454,-0.0002311290295306761,net_30,-0.0001228382132041454,-0.0008904185511041656,0.0006358451838000298,0.37183333333333335
PROMOTE20,KOSDAQ,EARLY_2016_2019,98,-1.4547396877614861e-05,0.03609693877551021,-1.4547396877614861e-05,-0.0001228382132041454,-0.0002311290295306761,net_60,-0.0002311290295306761,-0.0010042236346576201,0.000552869709596923,0.2801666666666667
