date,sample,universe,factor,family,strategy,gross,turnover,base_gross,base_turnover,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,VETO20,0.02782874947172917,1.0,0.01775300238065726,1.0,0.01007574709107191,0.0,0.01007574709107191,0.01007574709107191,0.01007574709107191
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,PROMOTE20,0.013372891178369881,1.0,0.01775300238065726,1.0,-0.004380111202287379,0.0,-0.004380111202287379,-0.004380111202287379,-0.004380111202287379
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,VETO_PROMOTE20,0.019381505182673203,1.0,0.01775300238065726,1.0,0.0016285028020159437,0.0,0.0016285028020159437,0.0016285028020159437,0.0016285028020159437
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,CF20,0.02716572708291142,1.0,0.01775300238065726,1.0,0.009412724702254162,0.0,0.009412724702254162,0.009412724702254162,0.009412724702254162
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,VETO20,-0.0321939124677775,1.0,-0.04963953637874304,1.0,0.01744562391096554,0.0,0.01744562391096554,0.01744562391096554,0.01744562391096554
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,PROMOTE20,-0.05561602025075291,1.0,-0.04963953637874304,1.0,-0.005976483872009865,0.0,-0.005976483872009865,-0.005976483872009865,-0.005976483872009865
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.03269272951943987,1.0,-0.04963953637874304,1.0,0.016946806859303172,0.0,0.016946806859303172,0.016946806859303172,0.016946806859303172
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,CF20,-0.03164563120426565,1.0,-0.04963953637874304,1.0,0.01799390517447739,0.0,0.01799390517447739,0.01799390517447739,0.01799390517447739
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,VETO20,-0.04553535123611112,1.0,-0.04806922049004022,1.0,0.002533869253929101,0.0,0.002533869253929101,0.002533869253929101,0.002533869253929101
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,PROMOTE20,-0.05305563113743922,1.0,-0.04806922049004022,1.0,-0.004986410647398999,0.0,-0.004986410647398999,-0.004986410647398999,-0.004986410647398999
