policy,return_type,period,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_mdd_phases,n_phases
F_LOW_HALF_REBAL10,GROSS,BULL_2025,-0.1384446022161706,0.12863128659546552,0.05325457623527008,1.3660181612205475,0,10,10
F_LOW_HALF_REBAL10,GROSS,OOS_2023_2024,-0.015552577424430836,0.07862553837594627,0.09489670957896124,-0.8867353546228269,2,10,10
F_LOW_HALF_REBAL10,GROSS,PRE_STRESS_2016_2024,-0.03510299858262966,0.010850035994932283,0.159705235748619,0.6792348553480618,0,10,10
F_LOW_HALF_REBAL10,GROSS,TRAIN_2016_2022,-0.038037178279742734,-0.013805394661115411,0.159705235748619,1.1526333018227444,0,10,10
F_LOW_HALF_REBAL10,GROSS,YTD_2026,0.07270926514943726,0.10273024014588895,0.134267784515695,0.7357512103990596,7,10,10
F_LOW_HALF_REBAL10,NET30,BULL_2025,-0.13998588977953275,0.0539100542797597,0.050660868230966105,1.3672166223784767,0,10,10
F_LOW_HALF_REBAL10,NET30,OOS_2023_2024,-0.011369532408232574,0.001777381220498725,0.09732703096131268,-0.8854922702792383,2,10,10
F_LOW_HALF_REBAL10,NET30,PRE_STRESS_2016_2024,-0.035391455263674376,-0.06928899078131792,0.125149253394211,0.6803159894964024,0,10,10
F_LOW_HALF_REBAL10,NET30,TRAIN_2016_2022,-0.03995770156970513,-0.09432949098893278,0.125149253394211,1.1537204594851218,0,10,10
F_LOW_HALF_REBAL10,NET30,YTD_2026,0.06766193435582585,0.08086137812574622,0.13457971868919094,0.7389466776610787,7,10,10
F_LOW_HALF_REBAL10,NET60,BULL_2025,-0.14104975286481058,-0.023124822348307594,0.04781347063678848,1.3684171341589542,0,10,10
F_LOW_HALF_REBAL10,NET60,OOS_2023_2024,-0.007489773045834758,-0.07573454395321655,0.09392531151307837,-0.8842199975261549,4,10,10
F_LOW_HALF_REBAL10,NET60,PRE_STRESS_2016_2024,-0.03558454556109514,-0.14822915284472837,0.09801413869764747,0.6816493627536628,0,10,10
F_LOW_HALF_REBAL10,NET60,TRAIN_2016_2022,-0.04201576200734358,-0.17415079790203372,0.09801413869764747,1.155100928722649,0,10,10
F_LOW_HALF_REBAL10,NET60,YTD_2026,0.06291685555455445,0.057546463274520156,0.1346225353215071,0.7421479247855087,7,10,10
