policy,return_type,period,median_cagr,median_sharpe,median_mdd,median_annual_turnover,median_annual_allocation_turnover,median_avg_target_exposure,positive_cagr_phases,n_phases
ALWAYS_100,GROSS,BULL_2025,0.834246704917583,2.743044152503716,-0.1730286290987228,15.141749620491293,0.0,1.0,10,10
ALWAYS_100,GROSS,OOS_2023_2024,0.11710499932128138,0.6023886664853428,-0.25795229386338936,14.558481803249489,0.0,1.0,10,10
ALWAYS_100,GROSS,PRE_STRESS_2016_2024,0.15073870379791976,0.711863387862866,-0.4647312408588132,13.94975116999418,0.0,1.0,10,10
ALWAYS_100,GROSS,TRAIN_2016_2022,0.16063461731389206,0.7475363820622953,-0.4647312408588132,13.802207604648949,0.0,1.0,10,10
ALWAYS_100,GROSS,YTD_2026,0.05158899586839327,0.36784896393502026,-0.42853884577297247,15.924167468009703,0.0,1.0,6,10
ALWAYS_100,NET30,BULL_2025,0.753416307013547,2.5472650940770816,-0.17954579564171536,15.141749620491293,0.0,1.0,10,10
ALWAYS_100,NET30,OOS_2023_2024,0.06972176638981964,0.4109130438359465,-0.2712749729281844,14.558481803249489,0.0,1.0,9,10
ALWAYS_100,NET30,PRE_STRESS_2016_2024,0.10340181521985348,0.5343817581796229,-0.4753214909848098,13.94975116999418,0.0,1.0,10,10
ALWAYS_100,NET30,TRAIN_2016_2022,0.11356271154467035,0.5725498162010764,-0.4753214909848098,13.802207604648949,0.0,1.0,10,10
ALWAYS_100,NET30,YTD_2026,0.004330663129408108,0.2851564397012216,-0.43413742109181797,15.924167468009703,0.0,1.0,5,10
ALWAYS_100,NET60,BULL_2025,0.6760024796226751,2.3480832319097473,-0.18427753383597045,15.141749620491293,0.0,1.0,10,10
ALWAYS_100,NET60,OOS_2023_2024,0.024266836868642394,0.2199757849807214,-0.28439062489751016,14.558481803249489,0.0,1.0,7,10
ALWAYS_100,NET60,PRE_STRESS_2016_2024,0.05793199779822733,0.35680949949347274,-0.4911662092123689,13.94975116999418,0.0,1.0,10,10
ALWAYS_100,NET60,TRAIN_2016_2022,0.06832138558786927,0.3975257114967433,-0.4911662092123689,13.802207604648949,0.0,1.0,10,10
ALWAYS_100,NET60,YTD_2026,-0.04088725026018586,0.20235735374417257,-0.439690838522399,15.924167468009703,0.0,1.0,0,10
CRASH_GUARD_REBAL10,GROSS,BULL_2025,0.58297172960868,2.2109962718870397,-0.17054752120385863,16.55736320286394,2.6033057851239665,0.9194214876033058,10,10
CRASH_GUARD_REBAL10,GROSS,OOS_2023_2024,0.15364198347106206,0.7937302271635752,-0.20077222457063154,15.963730690704999,2.3190184049079754,0.9274028629856851,10,10
CRASH_GUARD_REBAL10,GROSS,PRE_STRESS_2016_2024,0.14296967981289133,0.7141986237445298,-0.4579581426515357,15.805690808205414,3.1415748908867007,0.8992109664378571,10,10
CRASH_GUARD_REBAL10,GROSS,TRAIN_2016_2022,0.14809722309189788,0.7218791950067194,-0.4579581426515357,15.728158634545219,3.375507067723069,0.8922447148202252,10,10
CRASH_GUARD_REBAL10,GROSS,YTD_2026,0.30299445560870786,0.8052551537792675,-0.19612067024593433,15.948843733898252,5.142857142857142,0.6632653061224489,10,10
CRASH_GUARD_REBAL10,NET30,BULL_2025,0.5057742489681442,1.9535038158754134,-0.17928380218202644,16.55736320286394,2.6033057851239665,0.9194214876033058,10,10
CRASH_GUARD_REBAL10,NET30,OOS_2023_2024,0.09926046745416373,0.5603717193034509,-0.21481157673586226,15.963730690704999,2.3190184049079754,0.9274028629856851,10,10
CRASH_GUARD_REBAL10,NET30,PRE_STRESS_2016_2024,0.08955495203918351,0.4992558715826755,-0.46530276376375057,15.805690808205414,3.1415748908867007,0.8992109664378571,10,10
CRASH_GUARD_REBAL10,NET30,TRAIN_2016_2022,0.09530142103389794,0.5149011695054774,-0.46530276376375057,15.728158634545219,3.375507067723069,0.8922447148202252,10,10
CRASH_GUARD_REBAL10,NET30,YTD_2026,0.23650306978093472,0.6919324382558845,-0.199688224805864,15.948843733898252,5.142857142857142,0.6632653061224489,9,10
CRASH_GUARD_REBAL10,NET60,BULL_2025,0.43221240552335594,1.7155791152996844,-0.18541184207948136,16.55736320286394,2.6033057851239665,0.9194214876033058,10,10
CRASH_GUARD_REBAL10,NET60,OOS_2023_2024,0.04733849066658702,0.3270187951818046,-0.23062898573095963,15.963730690704999,2.3190184049079754,0.9274028629856851,9,10
CRASH_GUARD_REBAL10,NET60,PRE_STRESS_2016_2024,0.03911174997606415,0.28456030299235546,-0.48170293944591486,15.805690808205414,3.1415748908867007,0.8992109664378571,10,10
CRASH_GUARD_REBAL10,NET60,TRAIN_2016_2022,0.044833338205818474,0.3073984399807056,-0.48170293944591486,15.728158634545219,3.375507067723069,0.8922447148202252,10,10
CRASH_GUARD_REBAL10,NET60,YTD_2026,0.17326727845757517,0.578152554892946,-0.20418819137522248,15.948843733898252,5.142857142857142,0.6632653061224489,8,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,BULL_2025,0.30252853390500134,1.7515482050686506,-0.1288118776319922,16.578310345756165,6.578937447602809,0.6818181818181819,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,OOS_2023_2024,0.0858510968294135,0.5414404823252075,-0.16921895971804407,15.769975310694765,5.205247491601777,0.7269938650306749,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,PRE_STRESS_2016_2024,0.12397739066062252,0.7536833122298132,-0.4179560033552099,15.874160053867815,6.6737612855536685,0.6706370643727041,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,TRAIN_2016_2022,0.12831045475687597,0.7785357217398436,-0.4179560033552099,15.954579116221979,7.092078707680257,0.654968656346623,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,YTD_2026,0.3234294900167909,1.1847174845175688,-0.09330393544221177,13.00908543792956,6.4524727496246985,0.413265306122449,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,BULL_2025,0.24152693728566688,1.44880623355623,-0.13582711383909396,16.577624118017106,6.577516974411405,0.6818181818181819,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,OOS_2023_2024,0.03674275891910761,0.28913018496224624,-0.1768528999101811,15.77094405580796,5.205983730117156,0.7269938650306749,9,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,PRE_STRESS_2016_2024,0.07147516116661712,0.4879994064730164,-0.4329516470371592,15.875217247501036,6.674893894901708,0.6706370643727041,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,TRAIN_2016_2022,0.07513717393049757,0.5095955911962832,-0.4329516470371592,15.955845097770087,7.093332343571472,0.654968656346623,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,YTD_2026,0.2700938402744655,1.0303325690717802,-0.09381826653121589,13.009997538212911,6.454164900883076,0.413265306122449,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,BULL_2025,0.18330077628252872,1.1400593555313911,-0.14414204706532707,16.577110924909483,6.576665813076895,0.6818181818181819,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,OOS_2023_2024,-0.010224997848161332,0.03891906826336643,-0.19773634183027855,15.772140029842987,5.206618712179543,0.7269938650306749,4,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,PRE_STRESS_2016_2024,0.021332771158502295,0.2092245287970009,-0.4670993061982657,15.876339682524762,6.676041218509452,0.6706370643727041,8,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,TRAIN_2016_2022,0.02437619663544488,0.22686433554742758,-0.4670993061982657,15.957236854017559,7.094588330234307,0.654968656346623,9,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,YTD_2026,0.21881085759742358,0.8748910951896691,-0.09512755679661555,13.010911631848579,6.455860581851765,0.413265306122449,10,10
