feature,direction,train_q1,train_q2,train_cutoff,EARLY_2016_2019_n,EARLY_2016_2019_flag_rate,EARLY_2016_2019_n_bad,EARLY_2016_2019_n_rest,EARLY_2016_2019_bad_mean,EARLY_2016_2019_rest_mean,EARLY_2016_2019_bad_minus_rest,LATE_2020_2022_n,LATE_2020_2022_flag_rate,LATE_2020_2022_n_bad,LATE_2020_2022_n_rest,LATE_2020_2022_bad_mean,LATE_2020_2022_rest_mean,LATE_2020_2022_bad_minus_rest,OOS_2023_2024_n,OOS_2023_2024_flag_rate,OOS_2023_2024_n_bad,OOS_2023_2024_n_rest,OOS_2023_2024_bad_mean,OOS_2023_2024_rest_mean,OOS_2023_2024_bad_minus_rest,BULL_2025_n,BULL_2025_flag_rate,BULL_2025_n_bad,BULL_2025_n_rest,BULL_2025_bad_mean,BULL_2025_rest_mean,BULL_2025_bad_minus_rest,YTD_2026_n,YTD_2026_flag_rate,YTD_2026_n_bad,YTD_2026_n_rest,YTD_2026_bad_mean,YTD_2026_rest_mean,YTD_2026_bad_minus_rest,YTD_2026_negative_n,YTD_2026_negative_capture,pass_early,pass_late,pass_oos,pass_2025_control,pass_2026_capture,SCREEN_PASS
REVISION_FAMILY_RANK20,LOW_BAD,0.75,1.0,0.75,97,0.6494845360824743,63,34,-0.004674679821757727,0.004188716843748239,-0.008863396665505965,70,0.6714285714285714,47,23,0.006267712278515845,-0.001832146861757066,0.00809985914027291,39,0.7435897435897436,29,10,0.015367188132949596,-0.03404565118477963,0.04941283931772923,22,0.7272727272727273,16,6,0.04980795544688724,0.04266256189612425,0.007145393550762991,16,0.875,14,2,-0.07832068949353725,-0.030169950464270547,-0.048150739029266705,12,0.9166666666666666,True,False,False,False,True,False
REVISION_MINUS_MOMENTUM20,LOW_BAD,0.007771246946666345,0.0348502559015143,0.007771246946666345,97,0.25773195876288657,25,72,0.008627581467752879,-0.005108027677459982,0.01373560914521286,70,0.44285714285714284,31,39,-0.014649571692803573,0.018117431326839562,-0.03276700301964314,39,0.4358974358974359,17,22,0.02693492475169092,-0.016031898944136532,0.04296682369582745,22,0.5909090909090909,13,9,0.05366481493352725,0.03947334048789857,0.014191474445628675,16,0.8125,13,3,-0.0813214205858769,-0.0332170287405544,-0.048104391845322496,12,0.8333333333333334,False,True,False,False,True,False
OPFY1_SPREAD_SHARE20,LOW_BAD,0.29724832349623725,0.7121486087249894,0.29724832349623725,97,0.27835051546391754,27,70,0.007479873292857712,-0.005057786214149358,0.01253765950700707,70,0.4142857142857143,29,41,0.0012347850784414482,0.005283764195000737,-0.0040489791165592886,39,0.358974358974359,14,25,0.014864675787160215,-0.0041165406805000445,0.01898121646766026,22,0.5454545454545454,12,10,0.03309547660551993,0.06557569392607022,-0.03248021732055029,16,0.6875,11,5,-0.08549779800213905,-0.04327075516290664,-0.04222704283923241,12,0.75,False,True,False,False,True,False
PC1_SHARE_120D,HIGH_BAD,0.3511865294575092,0.39082135665715,0.39082135665715,97,0.21649484536082475,21,76,0.016642826354891907,-0.006599839599158245,0.023242665954050154,70,0.45714285714285713,32,38,0.006968087308592585,0.0007753764577597245,0.0061927108508328605,39,0.8205128205128205,32,7,0.012596084019491596,-0.04255467780228417,0.055150761821775765,22,0.0,0,22,,0.04785921175122461,,16,0.5,8,8,-0.14051089134591738,-0.004092802883840448,-0.13641808846207693,12,0.6666666666666666,False,False,False,True,True,False
OPFY1_LS_RANK20,LOW_BAD,0.625,0.8333333333333321,0.625,97,0.44329896907216493,43,54,0.0014670494433167095,-0.003984658928628059,0.005451708371944769,70,0.6142857142857143,43,27,-0.007941208901103254,0.0219968548895286,-0.029938063790631853,39,0.5128205128205128,20,19,0.018444790980557034,-0.013879151347547306,0.032323942328104344,22,0.5454545454545454,12,10,0.04728332359826024,0.04855027753478186,-0.0012669539365216184,16,0.5625,9,7,-0.07222178355440624,-0.0724047859783438,0.00018300242393755328,12,0.5833333333333334,False,True,False,False,True,False
REV_MOM_CORR_120D,HIGH_BAD,0.260204477692772,0.42209993692037,0.42209993692037,97,0.5360824742268041,52,45,0.005144421708101023,-0.009324408553434443,0.014468830261535465,70,0.014285714285714285,1,69,0.0598872175825763,0.0027906649519892157,0.057096552630587084,39,0.4358974358974359,17,22,0.010076932043608926,-0.003005268215164082,0.013082200258773009,22,0.5,11,11,0.07077299003012233,0.024945433472326882,0.04582755655779545,16,0.375,6,10,-0.1438990066752076,-0.02934355137868171,-0.1145554552965259,12,0.5,False,False,False,False,True,False
OPFY1_MINUS_FACTOR_MEDIAN20,LOW_BAD,0.0013462033582756954,0.01697910102941876,0.0013462033582756954,97,0.18556701030927836,18,79,0.00729562587694745,-0.0035874648337765923,0.010883090710724042,70,0.5428571428571428,38,32,-0.010891080241555967,0.020822004639029966,-0.03171308488058593,39,0.28205128205128205,11,28,0.029053570441696545,-0.007657047530390004,0.03671061797208655,22,0.36363636363636365,8,14,0.04574661923864619,0.04906640747269799,-0.003319788234051803,16,0.4375,7,9,-0.05549589174117212,-0.0853731457388731,0.029877253997700977,12,0.4166666666666667,False,True,False,True,False,False
OPFY1_LS_ACCEL20,LOW_BAD,-0.0010973248213853237,0.030716653564144027,-0.0010973248213853237,97,0.32989690721649484,32,65,-0.01025468300907231,0.0027086369262618033,-0.012963319935334113,70,0.32857142857142857,23,47,0.00513982498014877,0.0028558962707746914,0.0022839287093740783,39,0.2564102564102564,10,29,0.017339222183395862,-0.002351733718145403,0.019690955901541265,22,0.4090909090909091,9,13,0.05278529024422598,0.04444884971760828,0.008336440526617701,16,0.4375,7,9,-0.0372671594032211,-0.09955104866839054,0.06228388926516944,12,0.3333333333333333,True,False,False,False,False,False
OPFY1_LS20,LOW_BAD,0.020175234322120206,0.04119083351228673,0.020175234322120206,97,0.26804123711340205,26,71,0.0071880635510332275,-0.004774339555072686,0.011962403106105912,70,0.42857142857142855,30,40,-0.01777259730828777,0.019640525462961633,-0.037413122771249405,39,0.28205128205128205,11,28,0.02474943931089888,-0.005966138871862352,0.030715578182761234,22,0.2727272727272727,6,16,0.04389845169739016,0.049344496771412526,-0.005446045074022368,16,0.1875,3,13,0.0063322201560737324,-0.0904481703312526,0.09678039048732634,12,0.16666666666666666,False,True,False,True,False,False
AVG_PAIR_CORR_120D,HIGH_BAD,0.053943672994207395,0.11977736794547812,0.11977736794547812,97,0.35051546391752575,34,63,0.013707035769390238,-0.009811550353056584,0.023518586122446825,70,0.2714285714285714,19,51,-0.018648679724810838,0.011897412040024277,-0.030546091764835116,39,0.23076923076923078,9,30,-0.037527517062764144,0.01476465325242064,-0.05229217031518479,22,0.6818181818181818,15,7,0.06302727343870354,0.015356222420912613,0.04767105101779093,16,0.0,0,16,,-0.07230184711487891,,12,0.0,False,True,True,False,False,False
