date,UNIVERSE_POS20_BREADTH,SELECTED_POS20_BREADTH,SELECTED_RET20_DISPERSION,SELECTED_TOP5_POS_CONC,SELECTED_ACT5_GT1_SHARE,SELECTED_ACT5_RANK_MEDIAN,HOLDING_RETENTION_4STATE,MOMENTUM_OVERLAP,OP12_OVERLAP,ALL_FACTOR_MULTIPLICITY,value,is_high,GROSS_FWD5,GROSS_FWD5_NPHASE,GROSS_FWD10,GROSS_FWD10_NPHASE,GROSS_FWD20,GROSS_FWD20_NPHASE,NET60_FWD5,NET60_FWD5_NPHASE,NET60_FWD10,NET60_FWD10_NPHASE,NET60_FWD20,NET60_FWD20_NPHASE,sample,OPFY1_LS20,OPFY1_LS_RANK20,OPFY1_MINUS_FACTOR_MEDIAN20,REVISION_FAMILY_RANK20,REVISION_MINUS_MOMENTUM20,OPFY1_SPREAD_SHARE20,OPFY1_LS_ACCEL20,AVG_PAIR_CORR_120D,PC1_SHARE_120D,REV_MOM_CORR_120D
2016-02-01,0.3486616334934797,0.75,0.184395835512938,0.7006288923941927,0.5,0.7271777003484321,,0.45,0.4,0.2071428571428571,0.75,True,-0.0624646304567003,10,-0.0644330128146068,10,-0.0360100154056811,10,-0.063802519188665,10,-0.0675358468212213,10,-0.0423740152127486,10,EARLY_2016_2019,0.04263573437571688,0.75,0.013933794711079028,1.0,0.023841165902250938,1.0,,,,
2016-02-11,0.2772820864790666,0.75,0.1748894965499199,0.6413236474187682,0.45,0.6414701803051318,,0.55,0.95,0.3642857142857142,0.625,True,-0.002070009363564,10,0.0134973979464873,10,0.014486166889068,10,-0.0039791597265971,10,0.0099972202398916,10,0.0074150300764171,10,EARLY_2016_2019,0.018680750128940993,0.75,0.011900465949432393,1.0,0.04275944338874815,0.8213569498618604,,,,
2016-02-18,0.334248455730954,0.75,0.1161073393487805,0.5619340034357766,0.7,0.6819444444444445,,0.55,0.9,0.3928571428571429,0.5,False,0.0155679847788313,10,0.0304578079147906,10,0.0215211219074063,10,0.0140129971777603,10,0.0270663332878494,10,0.0148323249141916,10,EARLY_2016_2019,-0.008730330678288767,0.25,-0.010512856148848115,0.5,0.035559430330784236,0.13125272813634214,,,,
2016-02-25,0.4348422496570645,0.75,0.111363297276709,0.55408666531386,0.4,0.6018068102849201,,0.45,0.9,0.3642857142857142,0.5,False,0.0146283022259685,10,0.0009458771533491,10,-0.0056244011359313,10,0.0128379766942857,10,-0.0025827532612972,10,-0.0120904174567458,10,EARLY_2016_2019,-0.03452801505871794,0.25,-0.03998577271508269,0.5,0.03538083034003803,0.9859719339450873,,,,
2016-03-04,0.5509924709103354,0.7,0.1108051402191448,0.5554131373475986,0.55,0.6264767199444059,0.1,0.3,0.85,0.3,0.25,False,-0.0135310908971333,10,-0.0087193910188205,10,-0.0019978172564636,10,-0.0152710315446598,10,-0.0119604270334802,10,-0.0081761019744608,10,EARLY_2016_2019,-0.04821143188432464,0.25,-0.02955969587620605,0.5,0.02813030331653832,1.0,-0.09084716626004152,,,
2016-03-11,0.7667578659370725,0.95,0.0890592280665551,0.5386223747705032,0.3,0.4490997229916897,0.25,0.35,0.8,0.3071428571428571,0.25,False,0.0048846994403591,10,-0.0065839973296326,10,0.0368381628783301,10,0.003377730750329,10,-0.0095523058647896,10,0.0305684585348795,10,EARLY_2016_2019,-0.05544712095246862,0.25,-0.02377051230008076,0.5,0.0033627016193398807,0.5830856022192631,-0.07412787108140961,,,
2016-03-18,0.7954856361149111,0.7894736842105263,0.1394052155113484,0.66151219558175,0.3157894736842105,0.4656964656964657,0.2,0.15,0.85,0.2928571428571428,0.25,False,-0.0114043069059691,10,0.0067686996441361,10,-0.0039076004723964,10,-0.0128728146492242,10,0.003817434444032,10,-0.0096628105015196,10,EARLY_2016_2019,-0.05027040829387053,0.25,-0.013504345865401002,0.5,0.009705674976128509,0.4006923123732457,-0.04154007761558176,,,
2016-03-25,0.7336065573770492,0.75,0.1438981917854868,0.7368655478525648,0.35,0.4729166666666666,0.3,0.3,0.8,0.3214285714285714,0.25,False,0.0183754258236425,10,0.0437041279528596,10,0.0165239632733015,10,0.0169032674648146,10,0.0405021045258527,10,0.0109035289811928,10,EARLY_2016_2019,-0.052122003898354086,0.25,-0.009595387688193513,0.75,0.012897296670916325,0.5716557515605937,-0.017593988839636143,,,
2016-04-01,0.6368600682593857,0.75,0.1190423898845792,0.6363640366143175,0.45,0.4812889812889813,0.35,0.4,0.75,0.3142857142857143,0.375,False,0.0248643275830017,10,-0.0106202582026624,10,-0.0262095613081621,10,0.0232040707768596,10,-0.0134457036784354,10,-0.0319904118659563,10,EARLY_2016_2019,-0.01760605501867052,0.25,-0.013141704130233356,0.5,-0.0013634633970363574,0.39153422103760405,0.03060537686565412,,,
2016-04-08,0.6436860068259386,0.65,0.1298813984324328,0.8592093099890933,0.5,0.5932085932085932,0.15,0.15,0.65,0.2142857142857142,0.75,True,-0.0346173687675625,10,-0.0260505413596205,10,-0.0278455793857995,10,-0.0358055421057949,10,-0.0284541684555777,10,-0.0337499623857312,10,EARLY_2016_2019,0.0196278730223578,0.625,0.0048427078920620925,0.75,0.044110113338514445,0.3089149432183874,0.07507499397482642,,,
2016-04-18,0.5938566552901023,0.55,0.1020308464740779,0.7433220386492885,0.45,0.5114583333333333,0.35,0.1,0.7,0.2214285714285714,0.5,False,0.0088794739000104,10,-0.0157583481170513,10,-0.0011916494671402,10,0.0076330532671613,10,-0.0187978881278438,10,-0.0079250294360152,10,EARLY_2016_2019,0.0037887211100406937,0.625,0.004420731589999394,0.75,0.053145532687816466,0.3933305552894982,0.05405912940391122,,,
2016-04-25,0.6930422919508867,0.8,0.1366277005583265,0.6519514980597934,0.45,0.5260416666666667,0.3,0.2,0.75,0.2214285714285714,0.625,True,-0.0244249557794444,10,-0.0018354240977948,10,-0.0160513497892645,10,-0.0262355427713658,10,-0.0054432591354927,10,-0.0231708014156096,10,EARLY_2016_2019,0.01850835963010211,0.625,0.006483811502921211,0.75,0.06088876043413599,0.4353845843790751,0.0706303635284562,,,
2016-05-02,0.558282208588957,0.65,0.1214127892994114,0.6857992192254362,0.5,0.6121593291404612,0.15,0.35,0.8,0.2571428571428571,0.625,True,0.0231751110634755,10,0.0148569940407153,10,0.0096099264909897,10,0.0213666075878946,10,0.0111356430861958,10,0.0027854037979546,10,EARLY_2016_2019,0.012471911656919854,0.625,0.0013733798280326504,0.75,0.05698280377871745,0.4856953607802893,0.030077966675590373,,,
2016-05-11,0.5282890252215405,0.8,0.0983497749391386,0.6610235408306842,0.5,0.7060881735479356,0.2,0.3,0.8,0.2928571428571428,0.625,True,-0.0081375156782946,10,-0.0142343002533252,10,-0.0139881925539231,10,-0.0100232303905214,10,-0.0178149126670085,10,-0.020123712119551,10,EARLY_2016_2019,0.032636686439360796,1.0,0.018516533538851077,1.0,0.042344111370717585,0.8184433104702062,0.013008813417002996,,,
2016-05-18,0.4267211997273347,0.95,0.0903068940811805,0.5465453270733833,0.5,0.6215837421163279,0.2,0.3,0.8,0.2928571428571428,0.75,True,-0.0061666497281594,10,-0.0051890681647962,10,-0.0320415451830982,10,-0.0078782155870545,10,-0.0082755196652434,10,-0.0379631012152037,10,EARLY_2016_2019,0.09495641615200956,1.0,0.08159316816743767,1.0,0.04338540811618774,1.0,0.09116769504196887,,,
2016-05-25,0.358991825613079,0.85,0.0843679779587334,0.5938221181349226,0.3,0.6154653603918825,0.25,0.4,0.8,0.3071428571428572,0.5,False,0.0009902151629874,10,0.0002084812731441,10,-0.0245965580560537,10,-0.0003856524976867,10,-0.0023915144676938,10,-0.0309876487273725,10,EARLY_2016_2019,0.08362290826416618,1.0,0.07453200400376647,1.0,0.020344396063875836,1.0,0.06511454863406407,,,
2016-06-01,0.473791695030633,0.95,0.0866465193663635,0.4395493705579134,0.45,0.6143654114365411,0.2,0.35,0.8,0.3,0.5,False,-0.0007763653854984,10,-0.0269918014770055,10,-0.0234759295933862,10,-0.001995687770735,10,-0.029932899762295,10,-0.0299022167539145,10,EARLY_2016_2019,0.05689850716328282,0.875,0.05580636480426182,1.0,0.005419958487532517,1.0,0.044426595506362965,,,
2016-06-09,0.4520081688223281,0.75,0.1149783760246555,0.6492526823653915,0.4,0.5167130919220055,0.2,0.35,0.8,0.3428571428571428,0.625,True,-0.0262349437183611,10,-0.0248427152648471,10,0.0153864518685175,10,-0.0279817890478875,10,-0.0287063537046909,10,0.0089304211815736,10,EARLY_2016_2019,0.031129390875567653,0.625,0.014205878618643086,0.75,-0.024281767772827312,1.0,-0.0015072955637931429,,,
2016-06-16,0.4036759700476515,0.75,0.0909258127935958,0.6242807207443001,0.45,0.5959805959805959,0.1,0.45,0.85,0.35,0.5,False,0.001436699947022,10,0.0035857568909652,10,0.0554692454314272,10,-0.0007195459833444,10,6.497329076271541e-06,10,0.0490086815489142,10,EARLY_2016_2019,-0.011078488799423525,0.375,-0.018235863198657,0.5,-0.022942128383881766,1.0,-0.10603490495143308,,,
2016-06-23,0.4221617946974847,0.65,0.20994748101766,0.7528132001460542,0.4,0.6186382393397525,0.15,0.5,0.9,0.4,0.625,True,0.0021533613885193,10,0.0412616663002541,10,0.064140830456337,10,0.000748466224577,10,0.0387606709995551,10,0.0581422057722627,10,EARLY_2016_2019,-0.0065219646852149316,0.375,-0.007752668662742268,1.0,0.011016401754122385,0.6592670212379788,-0.09014487294938112,,,
2016-06-30,0.3279022403258655,0.65,0.1805962780732658,0.8347149566134617,0.75,0.5708878183069511,0.15,0.5,0.9,0.3571428571428571,0.75,True,0.0390308135888907,10,0.0516651119145649,10,0.0617897344520185,10,0.0379921241734373,10,0.0489691336917377,10,0.0559533191012597,10,EARLY_2016_2019,0.005355286911365775,0.625,8.447652369336645e-05,1.0,0.01274532901806158,0.11769717462119204,-0.051543220251917043,0.12496118113125847,0.4171614323374873,0.5538067449570827
2016-07-07,0.4436906377204884,0.7,0.1074450074769035,0.6830686294957052,0.35,0.4938186813186813,0.25,0.3,0.8,0.2928571428571428,0.5,False,0.0121504770165191,10,0.0219650830714685,10,0.0240405946196026,10,0.0105675509825628,10,0.0186559133583402,10,0.0179665181636523,10,EARLY_2016_2019,0.02109636492461342,0.75,0.01733867514201154,1.0,0.04613347148345559,0.7703195034746823,-0.010033025950954233,0.12735447534441466,0.41860298475457114,0.5861867370889097
2016-07-14,0.6897018970189702,0.7,0.1254926726607531,0.5857105485917866,0.4210526315789473,0.5322802197802198,0.25,0.3,0.75,0.2785714285714286,0.875,True,0.0097040937930102,10,0.0096508265550473,10,0.0231111130900098,10,0.0080117754206663,10,0.0066792960504639,10,0.0172248162192161,10,EARLY_2016_2019,0.022555168079634313,0.875,0.01477547192977191,1.0,0.03351706446178848,0.4785368777775315,0.03363365687905784,0.12208742818193695,0.386039714387639,0.539659979045175
2016-07-21,0.6896551724137931,0.75,0.1067329464964285,0.643395097452092,0.55,0.6165181631254284,0.35,0.3,0.7,0.3,0.75,True,-5.47107209352915e-05,10,0.0020389741499125,10,0.0296911653924249,10,-0.0013168046504076,10,-0.0006710494898722,10,0.0239477441718832,10,EARLY_2016_2019,0.020144358558832565,0.75,0.0029914680004274885,1.0,0.007075323586651749,0.3286325134829699,0.026666323244047496,0.12451916904423609,0.3975101683679723,0.5315606028272245
2016-07-28,0.7121621621621622,0.85,0.08240321553617,0.5590160944343618,0.4,0.576027397260274,0.4,0.25,0.7,0.2642857142857143,0.875,True,0.0020985389882677,10,0.0133495656354132,10,0.0259248907353969,10,0.0006523694436639,10,0.0104947637388921,10,0.0198848968627036,10,EARLY_2016_2019,0.04056049308072773,1.0,0.030378319643062035,1.0,0.03412627856324657,0.5273736738561406,0.03520520616936196,0.13356199727589754,0.3994437885737463,0.5541161250401958
2016-08-04,0.5786630654962863,0.7,0.0802312448861464,0.5288213426128234,0.55,0.6736301369863014,0.3,0.2,0.7,0.25,0.875,True,0.0112400937506611,10,0.0276093493690886,10,0.020252088232185,10,0.0098478745529566,10,0.0246523227674054,10,0.0142550510957365,10,EARLY_2016_2019,0.044843658590300706,0.75,0.012325173602609651,0.75,0.0061448570331880115,1.0,0.023747293665687286,0.16709238278034894,0.3989205825742484,0.5449495116553262
2016-08-11,0.5192437542201216,0.8,0.0817791736121694,0.5976862281863407,0.6,0.6965020576131686,0.3,0.5,0.75,0.3,0.75,True,0.0161817613738957,10,0.0124039897799266,10,-0.0220569877880698,10,0.0146514037565737,10,0.0092888491855835,10,-0.0277897624817027,10,EARLY_2016_2019,0.05453748197202479,0.75,0.03214770569472025,0.75,0.024709831437466523,1.0,0.03198231389239048,0.16769835107010436,0.39873369196378833,0.5181806738762478
2016-08-19,0.4558327714093054,0.85,0.1047530401313708,0.4891477355974046,0.6842105263157895,0.776559287183002,0.3,0.65,0.8,0.3642857142857142,1.0,True,-0.0037275559801688,10,-0.0071967487943758,10,-0.0320045796950777,10,-0.0052970438721669,10,-0.0101851819642188,10,-0.0378696030683975,10,EARLY_2016_2019,0.054633473069922944,0.625,0.006645033658663424,0.75,0.022769613594671667,1.0,0.03448911451109038,0.2013651577366071,0.40423824709126177,0.5339338930516625
2016-08-26,0.3605121293800539,0.7,0.0998031625530156,0.5346645654805243,0.3684210526315789,0.6143344709897611,0.25,0.65,0.75,0.3428571428571428,1.0,True,-0.0034891712159291,10,-0.0340362311442035,10,-0.0129107265797885,10,-0.0049183250683869,10,-0.0367330919101696,10,-0.0190655922183444,10,EARLY_2016_2019,0.04133632968196754,0.625,0.004204138485396136,0.75,0.0147985749164109,0.7967370789433564,0.0007758366012398099,0.1422410975047774,0.3739424806028987,0.4655191671522222
2016-09-02,0.3209959623149394,0.6,0.1009941992564216,0.6598430683309064,0.1578947368421052,0.5098976109215017,0.2,0.45,0.75,0.35,0.75,True,-0.0306420873739861,10,-0.0249360578321432,10,-0.0257353968492102,10,-0.0319569583934306,10,-0.0279175251088327,10,-0.0321029753412282,10,EARLY_2016_2019,0.025161096514861203,0.625,0.0026110213011588668,0.75,0.03172434433249688,0.5495228459001996,-0.019682562075439503,0.1526857110057029,0.33893210392744527,0.46748134660983187
2016-09-09,0.2683254875588433,0.6,0.1023862907306551,0.6902582117881242,0.2,0.4311989100817439,0.1,0.4,0.65,0.3357142857142857,0.75,True,0.005879021813318,10,0.0218118431506969,10,-0.0175895549696494,10,0.0041759313334625,10,0.0182828800562976,10,-0.0244223096013504,10,EARLY_2016_2019,0.013506104090731164,0.375,-0.016757186946912195,0.75,0.01712713616290895,0.13464464491997283,-0.04103137788129363,0.15036692934051205,0.3428819220551108,0.47888846898608944
