universe,family_pair,anchor_family,other_family,contrast,outcome,n_years,sign_stability,median_train_diff,median_valid_diff,positive_valid_year_share
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,-0.004537816415355344,-0.0009748845187848697,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,-0.012664921440933516,0.007836920273831857,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.028579683175212388,0.007396818795147005,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,-0.010190345404327568,0.0079703553842137,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.009831088815094499,0.0071285336592482144,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,0.00973989112557823,0.0017701943326736335,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,0.03428953144862888,0.002110333162181002,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,-0.012642253903507808,0.01780155312997796,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.03655788389903776,0.014050769819496614,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.0033786128477854647,0.014853771050209307,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.018999059111849636,0.011667836092475854,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,-0.0006973742872044513,0.006679057674698642,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,0.0014237343566531396,0.004192211897693558,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.0057007006068059566,0.04651647298368958,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.005142648412599037,-0.0007797982119312694,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.0035213993717929,0.038793038556131865,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,-0.007084276710514296,-0.0007583250973083829,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,0.0009595304899476563,-0.010943463008627483,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.0014850938010790792,-0.00138737172743344,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,1.0,0.0018138249989280188,0.049209006009812456,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.000136387068385156,0.002588262415245333,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,1.0,0.007034452404375677,0.008336901417386758,1.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,-2.6742691317252964e-05,-0.0009038008500841669,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,0.005337738332622579,0.007096207127729978,1.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,1.0,-0.00802334441933935,-0.031037765359337,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,0.013156545853839442,0.004094079378473824,1.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,0.012070237803101309,-0.006030841314437589,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,0.011291486129532735,-0.007630586795026138,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,0.011051885994469894,0.029578892867948507,1.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,0.0033629034273022526,0.00946065766541515,1.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,0.008808100697558038,-0.005394481398360157,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,-0.0032440947077060325,-0.00022646785929078886,0.0
KOSPI_ALL,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.0021075538653150608,0.007013005423056261,1.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,-0.00017537310518862185,-0.003967564239716408,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,0.0011199359618804347,-0.01204358757003373,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,1.0,0.007382425353364138,0.002605438093428211,1.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,0.0039238995479524835,-0.016459104807999104,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,0.024622254267396233,-0.002895428554650227,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,0.005148373765796636,-0.013319846986538385,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,0.019234629545929055,-0.018446055896744525,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,0.0007201537886643351,-0.012160482502829351,0.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,1.0,0.005689158745054765,0.003783752732239243,1.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.0015621125219578266,0.0012043097284905992,1.0
KOSPI_EX_K200,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,1.0,-0.004276531340119581,-0.003215082859437137,0.0
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,2,0.5,0.0010889369629629888,0.0023187008646039686,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,2,0.5,0.005810896030783967,-0.0039245979289520665,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,2,0.5,0.006023901915952989,0.008719332477098957,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,2,0.5,0.004959797373079543,-0.004065405877170126,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,2,0.5,0.011486018457058033,0.015881110799466108,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,2,0.0,-0.0012187553834484104,-0.002057003235300622,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,2,0.0,0.000828427025887756,0.0014480361547151814,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,2,1.0,0.003505079280467359,-0.008348855507526723,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,2,0.5,0.005008780909650859,0.018544234259170587,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,2,1.0,0.0006543491298510525,-0.0021400947233658433,0.5
KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,2,0.0,-0.0006551512291624283,0.018671628395820847,0.5
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,1.4342482830065621e-05,0.0006042848794226017,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,-0.00928176308986964,0.007179829672277026,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.011595080167730306,0.04067133054751752,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.014472007948777574,-0.0005758655932462838,0.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.00922046201755949,0.022557300137461045,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,0.0008751557631923948,-0.009360475257973044,0.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,-0.002430643958075642,-0.007265276577954161,0.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,-0.019534753447008495,0.005486129325607422,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.02423046113185846,0.026808846487869464,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,0.0,-0.003077221170785567,0.006997292193865431,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_FLOW,FLOW,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.011920397006977727,0.01036266259476876,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,-0.00045147427132726707,0.004181597841100129,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,-0.0011327434191457661,0.015969241983622824,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.0009487936506467,0.03265620474780615,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,-0.0032896856352395624,0.008632137027258582,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.0020849598644273205,0.017283218409976694,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,-0.00036741696350942217,-0.006020170297103902,0.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,-0.0008629371959859734,-0.013419627741281106,0.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,-0.0044036239597711035,0.016386203469733913,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.005665351457360854,0.02943045008538634,1.0
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,0.0,-0.0009670101114010511,0.005764503589162593,1.0
