date,universe,family,cut_name,state6,cut,top_20d,bottom_20d,spread_20d,spread_60d,member_positive_spread_share_20d,member_same_sign_20d
2016-02-01,K200,FLOW,Q25,W+,0.00580804455698436,0.04402814545115796,0.0007764583967300176,0.043251687054427945,,1.0,1.0
2016-02-11,K200,FLOW,Q25,W-,0.00580804455698436,-0.009867077097043597,-0.02390233658184282,0.014035259484799223,,0.5,0.0
2016-02-18,K200,FLOW,Q25,W+,0.00580804455698436,0.025963099440259985,0.0036650578797408073,0.022298041560519177,,0.5,0.0
2016-02-25,K200,FLOW,Q25,W+,0.00580804455698436,0.013791195469129436,0.002524291178211513,0.011266904290917923,,0.5,0.0
2016-03-04,K200,FLOW,Q25,W+,0.00580804455698436,0.014342516979414466,-0.004005603822001436,0.0183481208014159,,0.5,0.0
2016-03-11,K200,FLOW,Q25,W+,0.00580804455698436,0.06335964517894266,0.043607211778996735,0.019752433399945923,,1.0,1.0
2016-03-18,K200,FLOW,Q25,N+,0.00580804455698436,0.037340008527620316,0.04029651557987757,-0.002956507052257251,,0.5,0.0
2016-03-25,K200,FLOW,Q25,R+,0.00580804455698436,0.0255596104175404,0.031556770609982854,-0.005997160192442452,,0.0,1.0
2016-04-01,K200,FLOW,Q25,N+,0.00580804455698436,0.009403005986303725,0.006152436825175522,0.003250569161128203,0.06605964531988762,0.5,0.0
2016-04-08,K200,FLOW,Q25,R+,0.00580804455698436,0.005500231495546792,0.016287014919107667,-0.010786783423560875,0.023404874705424294,0.5,0.0
2016-04-18,K200,FLOW,Q25,N+,0.00580804455698436,0.024490558816031127,0.023059288501191544,0.0014312703148395833,0.022151521069330604,0.5,0.0
2016-04-25,K200,FLOW,Q25,R+,0.00580804455698436,0.03144770611575409,0.0430616343599346,-0.011613928244180505,-0.00629378366619493,0.0,1.0
2016-05-02,K200,FLOW,Q25,R+,0.00580804455698436,0.00728440984870149,0.03618224702348538,-0.02889783717478389,-0.0070424712563181835,0.0,1.0
2016-05-11,K200,FLOW,Q25,R-,0.00580804455698436,-0.00637912892165049,0.010599329139444169,-0.01697845806109466,-0.009458402386106846,0.5,0.0
2016-05-18,K200,FLOW,Q25,R-,0.00580804455698436,-0.041006830313175646,-0.014349671098795258,-0.026657159214380388,-0.02984763387519984,0.5,0.0
2016-05-25,K200,FLOW,Q25,N-,0.00580804455698436,-0.04200541933931601,-0.03706562249727008,-0.004939796842045929,-0.022718214508912427,0.5,0.0
2016-06-01,K200,FLOW,Q25,R-,0.00580804455698436,-0.017594478121253032,-0.008400788780089985,-0.009193689341163047,-0.03493236767896368,0.5,0.0
2016-06-09,K200,FLOW,Q25,R+,0.00580804455698436,0.007771051340915935,0.018430685722798046,-0.01065963438188211,-0.03913841207487567,0.5,0.0
2016-06-16,K200,FLOW,Q25,N-,0.00580804455698436,-0.024389270933543705,-0.02435805394064572,-3.121699289798663e-05,-0.025299089978388367,0.5,0.0
2016-06-23,K200,FLOW,Q25,R-,0.00580804455698436,-0.01221352221009786,-0.005188265636052902,-0.007025256574044958,-0.02313594096946192,0.5,0.0
2016-06-30,K200,FLOW,Q25,N-,0.00580804455698436,-0.030032158578271018,-0.028153318643654,-0.001878839934617016,-0.038707506956766835,0.5,0.0
2016-07-07,K200,FLOW,Q25,N-,0.00580804455698436,-0.039266407446881924,-0.04207825803041243,0.0028118505835305063,-0.02389412399349644,0.5,0.0
