sample,universe,family_a,family_b,family_pair,state_a,state_b,n,mean_agree_a,mean_agree_b,mkt_1d_mean,mkt_1d_median,mkt_1d_positive_share,mkt_1d_tstat,mkt_5d_mean,mkt_5d_median,mkt_5d_positive_share,mkt_5d_tstat,mkt_20d_mean,mkt_20d_median,mkt_20d_positive_share,mkt_20d_tstat,a_top_fwd_5d_mean,a_top_fwd_5d_positive_share,a_top_fwd_20d_mean,a_top_fwd_20d_positive_share,a_spread_fwd_5d_mean,a_spread_fwd_5d_positive_share,a_spread_fwd_20d_mean,a_spread_fwd_20d_positive_share,b_top_fwd_5d_mean,b_top_fwd_5d_positive_share,b_top_fwd_20d_mean,b_top_fwd_20d_positive_share,b_spread_fwd_5d_mean,b_spread_fwd_5d_positive_share,b_spread_fwd_20d_mean,b_spread_fwd_20d_positive_share
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,N+,N+,27,0.2222222222222222,0.4444444444444444,0.0021440239636976257,0.0002696952797951,0.5555555555555556,0.9012015038568585,0.00017346831382930147,0.0035745591929959623,0.6296296296296297,0.033117316668944914,0.004653541048454118,0.0019014840379598151,0.5185185185185185,0.4840236634047997,-0.001882335750749385,0.4444444444444444,-0.00460738968772202,0.5185185185185185,0.0016722774552883316,0.5925925925925926,0.008185776562424666,0.5925925925925926,-0.0016488292638617964,0.6296296296296297,0.0015566582342095682,0.5555555555555556,0.0009246803794432615,0.6666666666666666,0.014341567684123037,0.6666666666666666
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,N+,W+,29,0.20689655172413793,0.9310344827586207,0.0003692872372839139,0.0013631914736039,0.6206896551724138,0.24464294554339092,0.0032802206845672453,0.0017671562263144422,0.5862068965517241,0.9476034617185741,0.0068609723262515665,0.0031261461525708364,0.5172413793103449,0.875558179569684,0.002804877322934628,0.5172413793103449,0.010360964072793582,0.5517241379310345,-0.00254814430714648,0.4827586206896552,-0.0017072811830937003,0.5172413793103449,0.004463097448023588,0.5862068965517241,0.01429859963179262,0.6206896551724138,0.001223783177256856,0.4482758620689655,0.004120694062572799,0.5517241379310345
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,N-,N-,20,0.3,0.55,-0.001453860469636795,-0.00138324755557485,0.45,-1.1999598634212796,-0.007647553477480666,0.0014893390215227542,0.55,-1.3326119487227337,-0.02698461813997412,-0.0007783000136669608,0.5,-1.5153945988274642,-0.01159031686856633,0.45,-0.035125684584813105,0.5,-0.0024754243654809883,0.55,-0.007731306855860709,0.4,-0.008237272768840292,0.5,-0.0303646673370358,0.55,0.004320100639581237,0.7,0.006723822309465282,0.65
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,N-,R-,10,0.2,0.9,0.00345407354402827,0.0009753885646185498,0.5,0.924112201901138,-0.0094159401125195,-0.001461946648753449,0.5,-1.1466510026475116,-0.030155781720878422,-0.031210216463969084,0.3,-1.920653668400864,0.001281852309714837,0.5,-0.019716442254293552,0.4,0.0019863198883876775,0.5,-0.0011413284517739265,0.5,-0.0026120112479198097,0.5,-0.012977992128220118,0.6,-0.0028937852956414266,0.4,0.008837496621757989,0.6
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,N-,W-,14,0.21428571428571427,1.0,0.0018050520645347642,0.0019361095164017999,0.6428571428571429,1.2538734014590434,0.0032776642116343273,0.0034536558857193433,0.5714285714285714,0.5179984932213432,0.021247413193875558,0.013705980089954026,0.7857142857142857,2.5041074766163565,0.0023957908961349367,0.7142857142857143,0.0053303061853607414,0.5714285714285714,0.005284447941355035,0.6428571428571429,-0.018415713224579515,0.21428571428571427,0.0013663885586212962,0.5714285714285714,0.01848011965441531,0.7857142857142857,-0.0008211289500610262,0.42857142857142855,-0.006240483003928344,0.42857142857142855
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,R+,N+,15,0.8666666666666667,0.3333333333333333,-0.0013835480165364177,0.0011761413361014,0.7333333333333333,-0.5515102104858816,-0.004882039106853937,-0.005938508161933358,0.3333333333333333,-0.8093673583078475,-0.009975195656302038,0.002153292391390695,0.5333333333333333,-0.7173933907455795,-0.002891895638445119,0.4666666666666667,-0.02001976869280123,0.26666666666666666,0.004071581156858409,0.4666666666666667,6.963342041197418e-05,0.5333333333333333,-0.006251936187207237,0.4666666666666667,-0.015038822245322492,0.4666666666666667,0.0005495752640090131,0.6,0.005539358004232545,0.6666666666666666
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,R+,R+,28,0.9285714285714286,0.9642857142857143,0.0009498289782487358,-0.00039765671874544996,0.4642857142857143,0.5092714483634692,0.0037370635489846703,0.004266102085713336,0.6428571428571429,1.288235122689888,-0.003888052847146327,0.0028432471725639468,0.5,-0.4862310349762513,0.005920991317772648,0.8571428571428571,0.01562577483157056,0.5357142857142857,-0.0034959925422614496,0.5,-0.0013286449160739208,0.5,0.009338360459755066,0.8214285714285714,0.02619475665848305,0.7142857142857143,0.004241413988682901,0.6785714285714286,0.02478367195051715,0.7857142857142857
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,R+,W+,15,0.26666666666666666,0.9333333333333333,-0.00078192931077504,-0.0012296210418418,0.4,-0.39183046036048674,-0.0013260061560007917,-0.001755408839929509,0.4666666666666667,-0.272674521435213,0.013666093027672556,0.00043271062846740637,0.5333333333333333,0.9336669942004099,0.0018727374241865509,0.4,0.011319697883105228,0.5333333333333333,0.00417771843621085,0.6,0.004592954744310643,0.4666666666666667,0.00503346451219134,0.5333333333333333,0.01944047332480862,0.6,0.010685360544527423,0.8,0.02429066416528982,0.9333333333333333
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,R-,N+,14,0.8571428571428571,0.7142857142857143,-0.00020403030125409695,0.00022589477554067262,0.5,-0.12245441392411227,0.003394085889291008,0.005203235311182405,0.6428571428571429,0.6949180028166465,0.014588666072039697,0.016502862551938564,0.6428571428571429,1.4890898349423722,0.0019141210199147987,0.5,0.0051882064901718605,0.5714285714285714,-0.0025667424186379844,0.2857142857142857,-0.002627248985801602,0.42857142857142855,0.00502270639265925,0.7142857142857143,0.013039352520682279,0.5714285714285714,0.0003077406365256504,0.5,0.008324397345277266,0.6428571428571429
TRAIN,K200,MOMENTUM,REVISION,MOMENTUM_X_REVISION,R-,N-,11,0.5454545454545454,0.45454545454545453,-0.00034230738158624527,0.0004975466004321,0.5454545454545454,-0.1097695754025189,0.0016106019760778,0.006934186428520383,0.5454545454545454,0.2092600108443454,-0.0024356535538116527,0.011001943648089686,0.6363636363636364,-0.177680909338478,0.0009530208231986823,0.5454545454545454,-0.004287229091134356,0.6363636363636364,-0.0021231490676025407,0.36363636363636365,0.006571268771925992,0.5454545454545454,0.0010684785434134799,0.6363636363636364,-0.0034771266024375765,0.5454545454545454,0.00013863577146830145,0.6363636363636364,0.012460116027550655,0.6363636363636364
