eval_block,split,universe,family_pair,anchor_family,other_family,contrast,n_left,n_right,mkt_1d_left,mkt_1d_right,mkt_1d_diff,mkt_5d_left,mkt_5d_right,mkt_5d_diff,mkt_20d_left,mkt_20d_right,mkt_20d_diff,a_top_fwd_5d_left,a_top_fwd_5d_right,a_top_fwd_5d_diff,a_top_fwd_20d_left,a_top_fwd_20d_right,a_top_fwd_20d_diff,a_spread_fwd_5d_left,a_spread_fwd_5d_right,a_spread_fwd_5d_diff,a_spread_fwd_20d_left,a_spread_fwd_20d_right,a_spread_fwd_20d_diff,b_top_fwd_5d_left,b_top_fwd_5d_right,b_top_fwd_5d_diff,b_top_fwd_20d_left,b_top_fwd_20d_right,b_top_fwd_20d_diff,b_spread_fwd_5d_left,b_spread_fwd_5d_right,b_spread_fwd_5d_diff,b_spread_fwd_20d_left,b_spread_fwd_20d_right,b_spread_fwd_20d_diff
2022-2023,TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,20,14,0.0012953958399449302,-0.0021606925852642495,0.00345608842520918,-0.001267372360396889,-0.019248420593332725,0.017981048232935837,-0.005494854946887583,-0.016987667652830947,0.011492812705943364,0.0009762222249264707,-0.01131343565084931,0.01228965787577578,0.013730696181665936,-0.015586215954847818,0.029316912136513752,0.004218810714953775,0.01129516702728057,-0.007076356312326795,0.022306263765972,0.024419752112996358,-0.0021134883470243573,-0.0018342427794015125,-0.028229306087076553,0.02639506330767504,0.0003053404020030126,-0.027244432901014144,0.027549773303017156,0.0006635458178219977,-0.02156822957954965,0.022231775397371648,0.011463024682638063,-0.025766728224748365,0.03722975290738643
2022-2023,TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,11,14,0.006142177052245518,-0.0021606925852642495,0.008302869637509768,0.024338179667171733,-0.019248420593332725,0.043586600260504454,0.05364431041570545,-0.016987667652830947,0.0706319780685364,0.024529679284503548,-0.01131343565084931,0.03584311493535286,0.06744515861266792,-0.015586215954847818,0.08303137456751573,0.00445738310006088,0.01129516702728057,-0.00683778392721969,0.022130559935353955,0.024419752112996358,-0.002289192177642403,0.02953975974859511,-0.028229306087076553,0.057769065835671665,0.08025434715999256,-0.027244432901014144,0.10749878006100672,0.0019366458060230609,-0.02156822957954965,0.02350487538557271,0.021314033430275423,-0.025766728224748365,0.047080761655023784
2022-2023,TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,20,11,0.0012953958399449302,0.006142177052245518,-0.004846781212300588,-0.001267372360396889,0.024338179667171733,-0.02560555202756862,-0.005494854946887583,0.05364431041570545,-0.05913916536259303,0.0009762222249264707,0.024529679284503548,-0.023553457059577076,0.013730696181665936,0.06744515861266792,-0.05371446243100199,0.004218810714953775,0.00445738310006088,-0.00023857238510710532,0.022306263765972,0.022130559935353955,0.00017570383061804584,-0.0018342427794015125,0.02953975974859511,-0.031374002527996624,0.0003053404020030126,0.08025434715999256,-0.07994900675798955,0.0006635458178219977,0.0019366458060230609,-0.0012730999882010633,0.011463024682638063,0.021314033430275423,-0.00985100874763736
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,43,25,-0.0016412195071843654,0.0016304172075249559,-0.0032716367147093213,-0.0008842721952303886,-0.003066795566766155,0.0021825233715357666,0.003601592041396965,-0.003914236054072148,0.007515828095469114,0.00204184053508106,0.005239530681632205,-0.003197690146551145,0.010413636066082827,0.009357878991724338,0.001055757074358489,0.004335353299120735,0.005437479168075976,-0.001102125868955241,0.008785463697241796,0.01783189471987095,-0.009046431022629153,0.002143532356449557,-0.0012783495186046245,0.0034218818750541818,0.01113904115542383,0.0012644436618090404,0.00987459749361479,0.004647860294902247,-0.004547018873923752,0.009194879168825998,0.008742046856588923,0.0051603368670059034,0.0035817099895830195
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,REVISION,VALUE,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,14,25,-0.0005589176106757129,0.0016304172075249559,-0.002189334818200669,0.0006882696988454822,-0.003066795566766155,0.003755065265611637,-0.004573588017461613,-0.003914236054072148,-0.0006593519633894644,0.0013859737748678133,0.005239530681632205,-0.003853556906764391,-0.002072212975416813,0.009357878991724338,-0.011430091967141152,0.003852984939353305,0.005437479168075976,-0.001584494228722671,0.012841019349749285,0.01783189471987095,-0.004990875370121663,0.00608406135291617,-0.0012783495186046245,0.0073624108715207946,0.0023513334768551697,0.0012644436618090404,0.0010868898150461293,0.007142356869760185,-0.004547018873923752,0.011689375743683936,0.0173454270916665,0.0051603368670059034,0.012185090224660598
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,43,21,-0.0016412195071843654,0.0011880028185955718,-0.002829222325779937,-0.0008842721952303886,-0.0007503630116354286,-0.00013390918359495996,0.003601592041396965,0.012197845411118239,-0.008596253369721274,0.00204184053508106,-0.0004988683850562318,0.0025407089201372915,0.010413636066082827,0.020618057101682158,-0.01020442103559933,0.004335353299120735,0.005175557646414884,-0.0008402043472941489,0.008785463697241796,0.018793104643803227,-0.010007640946561432,0.002143532356449557,0.005187502877489501,-0.0030439705210399443,0.01113904115542383,0.019324811920523186,-0.008185770765099356,0.004647860294902247,0.015183923153332248,-0.010536062858430001,0.008742046856588923,0.01113134828708907,-0.0023893014305001476
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,8,21,0.0001251170583377373,0.0011880028185955718,-0.0010628857602578345,0.006941896568714644,-0.0007503630116354286,0.007692259580350073,0.03595693350572745,0.012197845411118239,0.02375908809460921,0.010862797270164148,-0.0004988683850562318,0.01136166565522038,0.05646751161506994,0.020618057101682158,0.03584945451338778,0.00012345956285049475,0.005175557646414884,-0.0050520980835643894,0.023157168930300565,0.018793104643803227,0.004364064286497337,0.010937127097889465,0.005187502877489501,0.005749624220399964,0.04629850322368499,0.019324811920523186,0.026973691303161806,0.004632973592284539,0.015183923153332248,-0.010550949561047709,0.01287883565936343,0.01113134828708907,0.0017474873722743596
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,VALUE,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,14,19,-0.0005589176106757129,-0.0075419675627288576,0.0069830499520531445,0.0006882696988454822,-0.010996553003077086,0.011684822701922568,-0.004573588017461613,-0.011737950538829443,0.0071643625213678305,0.0013859737748678133,-0.013496619376215076,0.014882593151082889,-0.002072212975416813,-0.009499212898227848,0.007426999922811035,0.003852984939353305,0.00452463075110613,-0.0006716458117528253,0.012841019349749285,0.011421289008107327,0.0014197303416419588,0.00608406135291617,-0.016218746734768596,0.022302808087684766,0.0023513334768551697,-0.0037898785553425476,0.006141212032197717,0.007142356869760185,-0.005849582906075109,0.012991939775835293,0.0173454270916665,0.007478504651732223,0.009866922439934277
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,VALUE,REVISION,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,24,19,0.003435848755925796,-0.0075419675627288576,0.010977816318654653,0.004098301435161167,-0.010996553003077086,0.015094854438238253,0.019977121643080718,-0.011737950538829443,0.031715072181910164,0.0015491416360206057,-0.013496619376215076,0.015045761012235682,0.016294612643740606,-0.009499212898227848,0.025793825541968456,-5.9714675905930825e-05,0.00452463075110613,-0.004584345427012061,0.005377171282669814,0.011421289008107327,-0.006044117725437513,0.0025485492968101756,-0.016218746734768596,0.01876729603157877,0.025294402243175085,-0.0037898785553425476,0.02908428079851763,0.0005762361958111667,-0.005849582906075109,0.006425819101886276,0.02264532443966338,0.007478504651732223,0.015166819787931156
2022-2023,TRAIN,KOSPI_ALL,REVISION_X_VALUE,VALUE,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,14,24,-0.0005589176106757129,0.003435848755925796,-0.003994766366601509,0.0006882696988454822,0.004098301435161167,-0.0034100317363156846,-0.004573588017461613,0.019977121643080718,-0.02455070966054233,0.0013859737748678133,0.0015491416360206057,-0.0001631678611527924,-0.002072212975416813,0.016294612643740606,-0.01836682561915742,0.003852984939353305,-5.9714675905930825e-05,0.003912699615259236,0.012841019349749285,0.005377171282669814,0.007463848067079472,0.00608406135291617,0.0025485492968101756,0.0035355120561059946,0.0023513334768551697,0.025294402243175085,-0.022943068766319914,0.007142356869760185,0.0005762361958111667,0.006566120673949018,0.0173454270916665,0.02264532443966338,-0.005299897347996879
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,39,25,-0.0009651482272176205,-0.0007170756105894159,-0.00024807261662820456,-0.00011376626978097606,-0.0005782027907134659,0.0004644365209324899,-0.0005070481871733024,-0.006601038517365183,0.00609399033019188,0.007727159542061861,0.006130820632173308,0.0015963389098885526,0.025737504111870996,0.013906641130924982,0.011830862980946015,0.010440463932825324,0.010977291497659598,-0.0005368275648342732,0.03369527785243314,0.029260492073707754,0.004434785778725386,0.006669952337509273,-0.0003189831480326255,0.006988935485541898,0.02032580262435899,0.0009817636371648808,0.01934403898719411,0.011540657987912345,0.0011296387662951136,0.010411019221617232,0.026457696412920003,0.010268996033050785,0.01618870037986922
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,REVISION,VALUE,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,19,25,3.853112958342636e-05,-0.0007170756105894159,0.0007556067401728423,0.005138805655817763,-0.0005782027907134659,0.005717008446531229,0.00705462413201803,-0.006601038517365183,0.013655662649383213,0.003339745483190294,0.006130820632173308,-0.002791075148983014,0.014999462516614378,0.013906641130924982,0.0010928213856893961,0.009277407948296627,0.010977291497659598,-0.001699883549362971,0.03644443110732897,0.029260492073707754,0.007183939033621217,0.003092238886097834,-0.0003189831480326255,0.0034112220341304595,0.0030298293779498454,0.0009817636371648808,0.0020480657407849646,-0.002405275600556811,0.0011296387662951136,-0.003534914366851925,-0.0017945660349832214,0.010268996033050785,-0.012063562068034007
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,39,25,-0.0009651482272176205,0.0010611028380905238,-0.002026251065308144,-0.00011376626978097606,0.003463045349644044,-0.00357681161942502,-0.0005070481871733024,0.013693335053393506,-0.014200383240566808,0.007727159542061861,0.007397530368786951,0.00032962917327490973,0.025737504111870996,0.03616506067557056,-0.01042755656369956,0.010440463932825324,0.002122430645403761,0.008318033287421563,0.03369527785243314,0.018466140223497657,0.015229137628935484,0.006669952337509273,0.008963171719154044,-0.0022932193816447713,0.02032580262435899,0.023157824949648406,-0.002832022325289417,0.011540657987912345,0.00942602780962897,0.002114630178283375,0.026457696412920003,0.006822588059654575,0.01963510835326543
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,19,8,3.853112958342636e-05,-0.0004860910145294121,0.0005246221441128384,0.005138805655817763,-0.04309891711693162,0.04823772277274938,0.00705462413201803,-0.05247861200156101,0.05953323613357904,0.003339745483190294,-0.05353374463219472,0.05687349011538501,0.014999462516614378,-0.10986748172053888,0.12486694423715326,0.009277407948296627,-0.0016935683698800774,0.010970976318176704,0.03644443110732897,0.011733969455446705,0.024710461651882266,0.003092238886097834,-0.047347283419105254,0.050439522305203086,0.0030298293779498454,-0.09140417365105792,0.09443400302900777,-0.002405275600556811,0.001678425252616425,-0.004083700853173236,-0.0017945660349832214,0.025013790913573128,-0.02680835694855635
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,21,8,-0.001563478177324276,-0.0004860910145294121,-0.001077387162794864,-0.0016436703469644872,-0.04309891711693162,0.04145524676996713,-0.015667366998790205,-0.05247861200156101,0.036811245002770804,-0.0009122159514181526,-0.05353374463219472,0.05262152868077657,-0.005893148399376512,-0.10986748172053888,0.10397433332116238,0.004875883397440225,-0.0016935683698800774,0.006569451767320302,0.02753590480684684,0.011733969455446705,0.015801935351400134,-0.003964641241517926,-0.047347283419105254,0.043382642177587326,-0.016644496197862475,-0.09140417365105792,0.07475967745319545,-0.0056628372509861784,0.001678425252616425,-0.0073412625036026035,0.005186940183340612,0.025013790913573128,-0.019826850730232517
2022-2023,TRAIN,KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,19,21,3.853112958342636e-05,-0.001563478177324276,0.0016020093069077023,0.005138805655817763,-0.0016436703469644872,0.00678247600278225,0.00705462413201803,-0.015667366998790205,0.022721991130808236,0.003339745483190294,-0.0009122159514181526,0.004251961434608447,0.014999462516614378,-0.005893148399376512,0.02089261091599089,0.009277407948296627,0.004875883397440225,0.004401524550856402,0.03644443110732897,0.02753590480684684,0.008908526300482132,0.003092238886097834,-0.003964641241517926,0.00705688012761576,0.0030298293779498454,-0.016644496197862475,0.01967432557581232,-0.002405275600556811,-0.0056628372509861784,0.0032575616504293674,-0.0017945660349832214,0.005186940183340612,-0.006981506218323833
2022-2023,TRAIN,KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,34,34,-0.0006146434699367765,0.00012611888294181776,-0.0007407623528785942,-0.00045707246284109357,0.00031671674734542885,-0.0007737892101865225,0.004610954883928515,-0.00888497846063146,0.013495933344559976,0.0035189120398187806,0.001108403291897891,0.0024105087479208897,0.01483977249282128,-0.0025441057784001703,0.01738387827122145,0.007857233663023207,0.002911734766907409,0.004945498896115798,0.020822752520881033,0.01366446324392856,0.007158289276952473,0.0014749468978677016,0.0026760676221870383,-0.0012011207243193367,0.008592795103211063,-0.0007925086700630889,0.009385303773274152,0.00441776749635775,0.005304607061383895,-0.0008868395650261452,0.006198557266026276,0.023519306614177126,-0.017320749348150852
2022-2023,TRAIN,KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,REVISION,VALUE,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,14,34,0.00023058150655727152,0.00012611888294181776,0.00010446262361545375,-0.0007077922626897973,0.00031671674734542885,-0.0010245090100352262,0.006417762521476895,-0.00888497846063146,0.015302740982108355,-0.0029556508736635068,0.001108403291897891,-0.004064054165561398,0.0065974070481215384,-0.0025441057784001703,0.00914151282652171,0.0048262598402078315,0.002911734766907409,0.0019145250733004224,0.013912450827526837,0.01366446324392856,0.0002479875835982772,-0.0004534348709524516,0.0026760676221870383,-0.00312950249313949,0.007761523360736965,-0.0007925086700630889,0.008554032030800053,0.00805498422372229,0.005304607061383895,0.0027503771623383954,0.020904452338105468,0.023519306614177126,-0.0026148542760716584
