sample,universe,family_pair,anchor_family,other_family,contrast,n_left,n_right,mkt_1d_left,mkt_1d_right,mkt_1d_diff,mkt_5d_left,mkt_5d_right,mkt_5d_diff,mkt_20d_left,mkt_20d_right,mkt_20d_diff,a_top_fwd_5d_left,a_top_fwd_5d_right,a_top_fwd_5d_diff,a_top_fwd_20d_left,a_top_fwd_20d_right,a_top_fwd_20d_diff,a_spread_fwd_5d_left,a_spread_fwd_5d_right,a_spread_fwd_5d_diff,a_spread_fwd_20d_left,a_spread_fwd_20d_right,a_spread_fwd_20d_diff,b_top_fwd_5d_left,b_top_fwd_5d_right,b_top_fwd_5d_diff,b_top_fwd_20d_left,b_top_fwd_20d_right,b_top_fwd_20d_diff,b_spread_fwd_5d_left,b_spread_fwd_5d_right,b_spread_fwd_5d_diff,b_spread_fwd_20d_left,b_spread_fwd_20d_right,b_spread_fwd_20d_diff
TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,40,12,0.0006201183421208224,0.0001707348179546582,0.00044938352416616417,-0.0009514040507934611,-0.0027872221622576563,0.0018358181114641952,-0.014470876655765496,-0.0007856211820263248,-0.013685255473739171,0.0003117386131777533,-0.014876402456684831,0.015188141069862585,-0.016489072034999382,-0.019995330554190716,0.003506258519191334,-0.003285795219976051,-0.00817380172475135,0.0048880065047753,-0.0010554516852361389,-0.021150071290474397,0.02009461960523826,0.002327971845732635,-0.0040587002623640915,0.006386672108096726,-0.013898669612860839,-0.00041030558765339786,-0.013488364025207441,0.0022020938019670228,0.006645123945434798,-0.004443030143467776,0.01014784314839271,0.007980211278644539,0.0021676318697481708
TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,8,25,-0.003441100791167775,-0.0002648722166002422,-0.0031762285745675326,-0.0010247701274545586,0.0026093529674771974,-0.003634123094931756,0.025024800046297518,0.007097965436665101,0.017926834609632417,-0.0014432174015857335,0.0014912369333597076,-0.002934454334945441,0.008937652360362924,0.0010190148343971251,0.0079186375259658,-0.004469111985731092,-0.002371561344182389,-0.0020975506415487027,-0.014632802459944999,0.0014200988275985392,-0.01605290128754354,-0.006357450930231726,0.003282846138991111,-0.009640297069222837,0.005152325279909831,0.005772101706509543,-0.000619776426599712,-0.007112813051909403,0.0002333344959004169,-0.00734614754780982,-0.015841076019023806,0.010144113565477557,-0.025985189584501363
TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,9,25,0.002772064098664422,-0.0002648722166002422,0.0030369363152646643,-0.0004904458199541023,0.0026093529674771974,-0.0030997987874313,0.0031343307233954515,0.007097965436665101,-0.00396363471326965,-0.000649227287954505,0.0014912369333597076,-0.0021404642213142125,0.00970815522195386,0.0010190148343971251,0.008689140387556735,-0.0023201960297199887,-0.002371561344182389,5.1365314462400394e-05,0.0071594806703181545,0.0014200988275985392,0.0057393818427196154,0.00042112574220140895,0.003282846138991111,-0.002861720396789702,0.010856239160410749,0.005772101706509543,0.005084137453901206,-0.00118735708746852,0.0002333344959004169,-0.001420691583368937,0.004606826041533372,0.010144113565477557,-0.005537287523944185
TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,8,9,-0.003441100791167775,0.002772064098664422,-0.006213164889832197,-0.0010247701274545586,-0.0004904458199541023,-0.0005343243075004563,0.025024800046297518,0.0031343307233954515,0.021890469322902065,-0.0014432174015857335,-0.000649227287954505,-0.0007939901136312285,0.008937652360362924,0.00970815522195386,-0.000770502861590935,-0.004469111985731092,-0.0023201960297199887,-0.002148915956011103,-0.014632802459944999,0.0071594806703181545,-0.021792283130263154,-0.006357450930231726,0.00042112574220140895,-0.006778576672433135,0.005152325279909831,0.010856239160410749,-0.005703913880500918,-0.007112813051909403,-0.00118735708746852,-0.005925455964440883,-0.015841076019023806,0.004606826041533372,-0.020447902060557178
TRAIN,K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,40,34,0.0006201183421208224,0.0009914682732182678,-0.00037134993109744544,-0.0009514040507934611,0.004712715844825382,-0.0056641198956188426,-0.014470876655765496,0.008882536656413562,-0.023353413312179057,0.0003117386131777533,0.005190908662790091,-0.004879170049612338,-0.016489072034999382,0.011950581467480714,-0.028439653502480094,-0.003285795219976051,-0.0027965419358361296,-0.0004892532841399215,-0.0010554516852361389,-0.005258999707080041,0.004203548021843901,0.002327971845732635,0.00657629544783647,-0.004248323602103836,-0.013898669612860839,0.015817095369480772,-0.02971576498234161,0.0022020938019670228,0.0013635118634673959,0.0008385819384996269,0.01014784314839271,0.0003548929151240603,0.009792950233268649
TRAIN,K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,8,34,-0.003441100791167775,0.0009914682732182678,-0.004432569064386042,-0.0010247701274545586,0.004712715844825382,-0.00573748597227994,0.025024800046297518,0.008882536656413562,0.016142263389883955,-0.0014432174015857335,0.005190908662790091,-0.006634126064375825,0.008937652360362924,0.011950581467480714,-0.0030129291071177896,-0.004469111985731092,-0.0027965419358361296,-0.0016725700498949623,-0.014632802459944999,-0.005258999707080041,-0.009373802752864958,-0.006357450930231726,0.00657629544783647,-0.012933746378068196,0.005152325279909831,0.015817095369480772,-0.010664770089570941,-0.007112813051909403,0.0013635118634673959,-0.008476324915376799,-0.015841076019023806,0.0003548929151240603,-0.016195968934147865
POST_DISCOVERY,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,48,8,0.0011363994542246646,0.00319433518499275,-0.0020579357307680853,0.01289235839020333,-0.01833966187783887,0.0312320202680422,0.057806641225398664,0.002855574530548466,0.0549510666948502,0.009646913899643589,-0.015707083164443886,0.025353997064087475,0.03720277882595463,-0.002350694515222268,0.0395534733411769,0.005613619876547934,-0.0024273984031909085,0.008041018279738844,0.025822954641193177,0.0032806228357973727,0.022542331805395804,0.01077906734168689,-0.009441883358936212,0.020220950700623103,0.04667439757519734,0.010675423289658259,0.03599897428553908,0.0051471200858282965,0.007000244953166965,-0.0018531248673386682,0.030370815650588637,0.023329185946520933,0.007041629704067704
POST_DISCOVERY,K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,48,14,0.0011363994542246646,-0.006298238898317121,0.007434638352541785,0.01289235839020333,-0.0019071844749918338,0.014799542865195163,0.057806641225398664,0.011637005054688709,0.04616963617070995,0.009646913899643589,0.0029615357305676215,0.006685378169075967,0.03720277882595463,0.00620994223414043,0.0309928365918142,0.005613619876547934,0.006126976517451786,-0.0005133566409038521,0.025822954641193177,0.027423751833572683,-0.0016007971923795057,0.01077906734168689,0.004692866727233712,0.006086200614453178,0.04667439757519734,0.01396678427540187,0.03270761329979547,0.0051471200858282965,0.005411863144084682,-0.0002647430582563854,0.030370815650588637,0.027449704677010276,0.0029211109735783614
TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,45,18,0.0019962836418101287,-0.0021494197391212504,0.004145703380931379,0.0045634022530887585,-0.022996472299406764,0.027559874552495523,-0.011918425057941641,-0.03627777869722321,0.024359353639281572,0.005163083030684722,-0.02619637643567359,0.03135945946635831,-0.020451138163822238,-0.009264501655438554,-0.011186636508383684,0.002939650026373979,-0.002215538278497865,0.005155188304871845,0.0009900509608074155,0.03340980533179967,-0.03241975437099226,0.005270630263030049,-0.023463930160123207,0.028734560423153255,-0.0005319031156562688,-0.011906782269890281,0.011374879154234012,0.0016636385605009573,0.0046679580472725034,-0.003004319486771546,0.02342462100261957,0.019057064915537904,0.004367556087081666
TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,11,28,0.005094698063568437,0.003071609050552268,0.002023089013016169,0.003920182165641057,0.009428294511074548,-0.005508112345433491,0.009864743911729519,0.020560752225452863,-0.010696008313723344,0.003347530631338797,0.007932811842577412,-0.004585281211238615,0.010966755156947682,0.013820615903420276,-0.0028538607464725935,0.0021016921222649847,-0.005139680657296546,0.007241372779561531,0.005683442915873769,-0.01767156572091662,0.02335500863679039,0.006191598737717927,0.012461052103664086,-0.006269453365946159,0.03349541943297687,0.016074971855615464,0.017420447577361404,0.005069655141005668,0.00492572226677826,0.0001439328742274086,0.019678672327113914,0.005536979152829822,0.014141693174284091
