model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,avg_abs_lambda,annual_turnover
PERSIST_ALL_CONT,K200,0,DEV_2020_2022,38,0.07889988889827726,1.0861361426080978,-0.04780148989812261,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.010106594801393642,0.15903443373278514,0.013521275566796498,0.14615317189106716,2.0631617486928717
LIQ_ALL_CONT,K200,0,DEV_2020_2022,38,0.06790562463114536,0.9240236268596324,-0.05535024177419834,0.06879329409688362,0.9271017088753126,-0.061322765464919105,-0.0008876694657382611,-0.0030780820156802724,0.005972523690720766,0.10807203685308699,1.6464519502115729
COMBINED_ALL_CONT,K200,0,DEV_2020_2022,38,0.07500071198539549,1.048500542504074,-0.04864306137002261,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.006207417888511868,0.12139883362876147,0.012679704094896493,0.10484923354679604,1.6126887136146892
PERSIST_ALL_CONT,KOSDAQ,0,DEV_2020_2022,38,0.05567856506352564,0.9409233384952564,-0.06936764132183226,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.013711676373644455,0.2460591585765588,0.030952687408915436,0.14737347305613105,2.1202188057659805
LIQ_ALL_CONT,KOSDAQ,0,DEV_2020_2022,38,0.041236087337962246,0.6614442913922336,-0.110012276638222,0.04196688868988119,0.6948641799186976,-0.1003203287307477,-0.0007308013519189416,-0.03341988852646405,-0.009691947907474296,0.12506186717349804,1.8673213402977378
COMBINED_ALL_CONT,KOSDAQ,0,DEV_2020_2022,38,0.051618285083662396,0.8597465492715514,-0.08457667692905202,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.009651396393781209,0.16488236935285372,0.01574365180169568,0.1302803414449435,1.9614563473951199
PERSIST_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.06677163692740917,1.032577537971103,-0.07934120041473725,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.006430649457184856,0.11937976965175445,0.007871881474530995,0.14751996215213137,2.0548169814545165
LIQ_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.0625071204999208,0.9295713488458289,-0.07539298494029667,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.002166133029696482,0.016373580526480302,0.01182009694897157,0.11802968649864853,1.8425492810717392
COMBINED_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.06515674550269179,0.993682466865813,-0.07605346496420662,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.0048157580324674765,0.08048469854646434,0.011159616925061622,0.13533613740260814,2.1109966801650537
PERSIST_ALL_CONT,KOSPI_ALL,0,DEV_2020_2022,38,0.0762437024797109,1.2040701535336633,-0.04599058675772416,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.008399715129069563,0.10600225300507193,-0.005265265447906731,0.1404943167725065,1.9369815309058211
