date,phase,universe,n_pairs,removed_mean_fwd10,added_mean_fwd10,event_delta_fwd10,pair_win_rate,avg_removed_r1m,avg_added_r1m,avg_wmom_sacrifice,avg_removed_rank,avg_added_rank
2017-01-06,4,K200,2,0.06610379401263772,-0.08413464320858721,-0.15023843722122493,0.0,-0.006451894244793458,0.2361108566681718,-0.046393013277384945,9.5,21.5
2017-01-06,4,KOSPI_ALL,1,0.13225839791178617,0.01899492333402608,-0.11326347457776009,0.0,-0.00021674492798017263,0.05404872084867515,-0.04570721052614479,13.0,21.0
2017-01-09,5,K200,3,0.07962867703296617,0.03360910650469525,-0.046019570528270916,0.3333333333333333,-0.019194625172820348,0.10018725220960427,-0.08181664587263908,10.0,22.0
2017-01-09,5,KOSPI_ALL,2,0.0942868799650759,0.07012876476004104,-0.024158115205034858,0.5,-0.0037005659449681743,0.14389601730789423,-0.06118932993344893,10.5,21.5
2017-01-09,5,KOSPI_EX_K200,1,-0.039606999429184775,-0.0140877817959294,0.025519217633255376,1.0,-0.026151254775452014,0.08818096748131425,-0.01340941754227186,19.0,21.0
2017-01-10,6,K200,2,0.1194916137909634,-0.0482363879421826,-0.167728001733146,0.0,-0.011522923080519634,0.11281644532794072,-0.10821455909487102,8.0,21.5
2017-01-10,6,KOSPI_ALL,2,0.1194916137909634,-0.031580484083778726,-0.15107209787474213,0.0,-0.011522923080519634,0.16578321283798433,-0.03470909111065895,14.5,21.5
2017-01-10,6,KOSPI_EX_K200,1,0.08959251246830258,0.03144188087304922,-0.058150631595253355,0.0,-0.007257886615147293,0.08154815594327325,-0.007939405223700291,19.0,22.0
2017-01-11,7,KOSPI_EX_K200,2,0.011629440855057183,-0.06647576320655074,-0.07810520406160792,0.0,-0.01674136270089426,0.15312989074044275,-0.006150398781242891,19.5,21.5
2017-01-12,8,K200,1,0.00458493665367965,-0.0018431048367362202,-0.00642804149041587,0.0,-9.888952057199815e-05,0.1160547851047717,-0.031578048627687566,14.0,21.0
2017-01-12,8,KOSPI_EX_K200,1,-0.07393238424743309,-0.01586686576956342,0.05806551847786967,1.0,-0.013512369319103898,0.07535757012749578,-0.03412597433013899,13.0,21.0
2017-01-13,9,KOSDAQ,1,0.2095615243909208,-0.057490475915993544,-0.26705200030691434,0.0,-0.026199084095406056,0.1341352840154078,-0.11042405630790567,10.0,21.0
2017-01-13,9,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.2095615243909208,0.01456185486681183,-0.19499966952410897,0.0,-0.026199084095406056,0.0415455279692351,-0.06379911660093593,17.0,21.0
2017-01-13,9,KOSPI_EX_K200,1,-0.035706777764988096,0.004260148532048147,0.03996692629703624,1.0,-0.0009979166890665097,0.1427727921564148,-0.020107019262237263,14.0,21.0
2017-01-16,0,KOSDAQ,3,-0.018370443602766073,-0.01612560102757084,0.002244842575195231,0.3333333333333333,-0.10614170315530129,0.0648574716803816,-0.16037667501374894,8.333333333333334,23.0
2017-01-16,0,KOSDAQ_PLUS_KOSPI_EX_K200,4,-0.03446046758093821,-0.0067205058594743405,0.02773996172146387,0.25,-0.09349406069516963,0.1267577501182123,-0.1010208271915739,15.5,22.5
2017-01-16,0,KOSPI_EX_K200,2,-0.0724662907625141,0.020584789285884475,0.09305108004839857,1.0,-0.049283682454450216,0.07916456670850583,-0.04280335022715317,11.5,21.5
2017-01-16,0,KOSPI_KOSDAQ_ALL,1,-0.33373296516588224,-0.023826839682320022,0.3099061254835622,1.0,-0.09495467564016631,0.12073226481871388,-0.27622073132944236,7.0,21.0
2017-01-17,1,KOSDAQ,3,-0.0777644459989811,0.00810009167981592,0.08586453767879702,0.3333333333333333,-0.12633821720497165,0.07462833198334275,-0.12526640760205834,9.333333333333334,22.0
2017-01-17,1,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.11663151726769239,-0.06194457067039444,0.05468694659729795,0.5,-0.1538454887072228,0.09861550819568363,-0.13751629000074084,12.5,21.5
2017-01-17,1,KOSPI_EX_K200,1,-0.07576887087182571,-0.03061292143176475,0.04515594944006096,1.0,-0.06669562994166033,0.10078938395243804,-0.023729360362387653,13.0,21.0
