date,phase,universe,pair_no,removed_code,added_code,removed_wmom,added_wmom,wmom_sacrifice,removed_r1m,added_r1m,removed_legacy_rank,added_legacy_rank,removed_fwd10,added_fwd10,pair_delta_fwd10,added_wins
2017-01-06,4,K200,1,A003030,A064960,0.19915532047391926,0.1262776451228056,-0.07287767535111367,-0.00021674492798017263,0.22036405216463212,5,21,0.13225839791178617,-0.08692375221663429,-0.21918215012842046,0
2017-01-06,4,K200,2,A103140,A170900,0.14462270354459322,0.124714352340937,-0.01990835120365622,-0.012687043561606742,0.2518576611717115,14,22,-5.08098865107387e-05,-0.08134553420054014,-0.0812947243140294,0
2017-01-06,4,KOSPI_ALL,1,A003030,A011170,0.19915532047391926,0.15344810994777447,-0.04570721052614479,-0.00021674492798017263,0.05404872084867515,13,21,0.13225839791178617,0.01899492333402608,-0.11326347457776009,0
2017-01-09,5,K200,1,A001230,A066570,0.2289895368363724,0.10064231257096458,-0.12834722426540784,-0.004096785161715509,0.11787432853696397,3,21,0.07689584301236496,-0.003667927900496859,-0.08056377091286182,0
2017-01-09,5,K200,2,A003030,A034220,0.20056948782447973,0.09887222094887879,-0.10169726687560093,-0.0033043467282208396,0.057842427364987355,7,22,0.11167791691778683,0.012326846171457184,-0.09935107074632965,0
2017-01-09,5,K200,3,A103140,A006800,0.10539925386499244,0.08999380738808396,-0.015405446476908474,-0.05018274362852469,0.12484500072686143,20,23,0.0503122711687467,0.09216840124312542,0.04185613007437872,1
2017-01-09,5,KOSPI_EX_K200,1,A018670,A017810,0.1009084611752705,0.08749904363299864,-0.01340941754227186,-0.026151254775452014,0.08818096748131425,19,21,-0.039606999429184775,-0.0140877817959294,0.025519217633255376,1
2017-01-09,5,KOSPI_ALL,1,A001230,A200880,0.2289895368363724,0.15395478186651418,-0.07503475496985823,-0.004096785161715509,0.15428581373573416,8,21,0.07689584301236496,0.12066451530446631,0.04376867229210135,1
2017-01-09,5,KOSPI_ALL,2,A003030,A010140,0.20056948782447973,0.1532255829274401,-0.04734390489703963,-0.0033043467282208396,0.1335062208800543,13,22,0.11167791691778683,0.019593014215615767,-0.09208490270217107,0
2017-01-10,6,K200,1,A001230,A011070,0.21888618163254603,0.09488739872441866,-0.12399878290812737,-0.008379168985520161,0.06790175556959788,6,21,0.09874308216959027,0.02562868585368605,-0.07311439631590422,0
2017-01-10,6,K200,2,A003030,A073240,0.18554181919269247,0.09311148391107779,-0.09243033528161468,-0.014666677175519106,0.15773113508628356,10,22,0.14024014541233654,-0.12210146173805125,-0.2623416071503878,0
2017-01-10,6,KOSPI_EX_K200,1,A085620,A079980,0.09123628285178666,0.08329687762808637,-0.007939405223700291,-0.007257886615147293,0.08154815594327325,19,22,0.08959251246830258,0.03144188087304922,-0.058150631595253355,0
2017-01-10,6,KOSPI_ALL,1,A001230,A002020,0.21888618163254603,0.1692030613154463,-0.04968312031709973,-0.008379168985520161,0.20774500661880374,11,21,0.09874308216959027,-0.08294847007804329,-0.18169155224763356,0
2017-01-10,6,KOSPI_ALL,2,A003030,A107590,0.18554181919269247,0.1658067572884743,-0.01973506190421817,-0.014666677175519106,0.12382141905716493,18,22,0.14024014541233654,0.01978750191048584,-0.1204526435018507,0
2017-01-11,7,KOSPI_EX_K200,1,A018670,A011930,0.0991436111779149,0.09248382387887519,-0.00665978729903971,-0.02622483878664122,0.18724177613393853,19,21,-0.04388802500134126,-0.06634014746288952,-0.022452122461548263,0
2017-01-11,7,KOSPI_EX_K200,2,A085620,A006360,0.09269671868035774,0.08705570841691167,-0.005641010263446072,-0.007257886615147293,0.119018005346947,20,22,0.06714690671145562,-0.06661137895021196,-0.1337582856616676,0
2017-01-12,8,K200,1,A103140,A204320,0.16111803120393467,0.1295399825762471,-0.031578048627687566,-9.888952057199815e-05,0.1160547851047717,14,21,0.00458493665367965,-0.0018431048367362202,-0.00642804149041587,0
2017-01-12,8,KOSPI_EX_K200,1,A018670,A079980,0.1161751175306416,0.0820491432005026,-0.03412597433013899,-0.013512369319103898,0.07535757012749578,13,21,-0.07393238424743309,-0.01586686576956342,0.05806551847786967,1
2017-01-13,9,KOSPI_EX_K200,1,A018670,A003530,0.11138498354376467,0.0912779642815274,-0.020107019262237263,-0.0009979166890665097,0.1427727921564148,14,21,-0.035706777764988096,0.004260148532048147,0.03996692629703624,1
2017-01-13,9,KOSDAQ,1,A089140,A036540,0.2563143583251302,0.14589030201722455,-0.11042405630790567,-0.026199084095406056,0.1341352840154078,10,21,0.2095615243909208,-0.057490475915993544,-0.26705200030691434,0
2017-01-13,9,KOSDAQ_PLUS_KOSPI_EX_K200,1,A089140,A054620,0.2563143583251302,0.1925152417241943,-0.06379911660093593,-0.026199084095406056,0.0415455279692351,17,21,0.2095615243909208,0.01456185486681183,-0.19499966952410897,0
2017-01-16,0,KOSPI_EX_K200,1,A161000,A039490,0.12444628968573795,0.06781029779067699,-0.056635991895060966,-0.05555113331477468,0.05126782745762726,8,21,-0.08273053951545462,0.011119964187243259,0.09385050370269787,1
2017-01-16,0,KOSPI_EX_K200,2,A018670,A003530,0.08694299499040739,0.05797228643116202,-0.02897070855924537,-0.04301623159412575,0.10706130595938439,15,22,-0.06220204200957358,0.03004961438452569,0.09225165639409927,1
2017-01-16,0,KOSDAQ,1,A065060,A136480,0.4732089110755259,0.08626711422944267,-0.3869417968460832,-0.09495467564016631,0.07378431514584854,3,21,-0.33373296516588224,-0.004103420069449304,0.32962954509643294,1
