era,universe,factor,sector,n_obs,mean_top_weight,mean_bottom_weight,mean_allocation_contribution,mean_within_selection_contribution,mean_abs_top_bottom_weight
2016-19,K200,FOREIGN_FLOW,UNKNOWN,186,0.003999967709645129,0.003690022790192569,-3.675980418124238e-05,0.0,0.007689990499837698
2016-19,K200,FOREIGN_FLOW,교육서비스,195,0.0005398110661268556,0.0013750592697961118,-1.967592651774277e-05,0.0,0.0019148703359229673
2016-19,K200,FOREIGN_FLOW,기술하드웨어와장비,196,0.04114249368008766,0.03754961508720907,0.00017724471466964926,0.00018204959284710059,0.03871245036658571
2016-19,K200,FOREIGN_FLOW,내구소비재와의류,196,0.07431076228068709,0.07392776283753727,-9.009632577661783e-06,-0.00017178523849476374,0.04929146752455023
2016-19,K200,FOREIGN_FLOW,다각화된금융,196,0.0006713211600429646,0.003937207884576305,1.425544846380203e-05,0.0,0.00460852904461927
2016-19,K200,FOREIGN_FLOW,디스플레이,196,0.004585326953748007,0.010661507372033687,-7.94205723617032e-05,0.0,0.015246834325781694
2016-19,K200,FOREIGN_FLOW,미디어와엔터테인먼트,196,0.042810918280843095,0.03417246462359244,1.2475636952733135e-05,7.083746782342696e-05,0.033140264813197144
2016-19,K200,FOREIGN_FLOW,반도체와반도체장비,196,0.02037427648329904,0.01846171676998745,9.216888161339339e-05,6.227865946919776e-05,0.026660723559219796
2016-19,K200,FOREIGN_FLOW,보험,196,0.009458957297303162,0.021341726698869554,-7.049902024268924e-05,-7.118745096308432e-05,0.025062436716572052
2016-19,K200,FOREIGN_FLOW,상업서비스와공급품,196,0.004046070775394084,0.0014805353151217812,1.4117068762163827e-06,0.0,0.005526606090515865
2016-19,K200,FOREIGN_FLOW,소매(유통),196,0.04161122723152798,0.05692035532261096,-9.128676599090477e-05,-4.306790442518945e-05,0.04944853065153817
2016-19,K200,FOREIGN_FLOW,소재,196,0.16557323606195787,0.1367662091346302,-0.00014536577859918003,-0.00018483102239002085,0.08004717685168813
2016-19,K200,FOREIGN_FLOW,소프트웨어와서비스,196,0.0017637804291939629,0.0002685284640171858,-5.4485727353932324e-05,0.0,0.0020323088932111487
2016-19,K200,FOREIGN_FLOW,"식품,음료,담배",196,0.05864216672487349,0.0721228747544537,0.00017852211368390964,-8.332691355941752e-05,0.053028067125811484
2016-19,K200,FOREIGN_FLOW,에너지,196,0.023680885992916068,0.028964988081529433,-4.7041586894659335e-05,-5.349748772254401e-05,0.02863031716415175
2016-19,K200,FOREIGN_FLOW,운송,196,0.028183576115906942,0.015094627876582762,-0.0001294143178679384,-3.607721676103066e-05,0.031131561206749175
2016-19,K200,FOREIGN_FLOW,유틸리티,196,0.013929996542778498,0.02423287949603739,8.362494399667796e-05,-2.266736752714166e-05,0.027951536880108308
2016-19,K200,FOREIGN_FLOW,은행,196,0.02475925173293594,0.020048659146403507,1.3616406506219067e-05,6.086408611975146e-07,0.033456736934180546
2016-19,K200,FOREIGN_FLOW,자동차와부품,196,0.0598810227569626,0.07032638047675642,-0.00013168326320988944,-0.00012371025851051588,0.047647436275255826
2016-19,K200,FOREIGN_FLOW,자본재,196,0.22699699626391356,0.21440548179269983,7.170843111490031e-05,-0.0003415440232917954,0.10683833428194332
2016-19,K200,FOREIGN_FLOW,전기통신서비스,196,0.011873514223138284,0.01695578011367485,3.8596322536026195e-05,-7.348889971441473e-05,0.026949595088692834
