feature,direction,train_cutoff,train_q1,train_q2,EARLY_2016_2019_n,EARLY_2016_2019_flag_rate,EARLY_2016_2019_n_bad,EARLY_2016_2019_n_rest,EARLY_2016_2019_bad_mean,EARLY_2016_2019_rest_mean,EARLY_2016_2019_bad_minus_rest,EARLY_2016_2019_bad_positive_share,LATE_2020_2022_n,LATE_2020_2022_flag_rate,LATE_2020_2022_n_bad,LATE_2020_2022_n_rest,LATE_2020_2022_bad_mean,LATE_2020_2022_rest_mean,LATE_2020_2022_bad_minus_rest,LATE_2020_2022_bad_positive_share,OOS_2023_2024_n,OOS_2023_2024_flag_rate,OOS_2023_2024_n_bad,OOS_2023_2024_n_rest,OOS_2023_2024_bad_mean,OOS_2023_2024_rest_mean,OOS_2023_2024_bad_minus_rest,OOS_2023_2024_bad_positive_share,BULL_2025_n,BULL_2025_flag_rate,BULL_2025_n_bad,BULL_2025_n_rest,BULL_2025_bad_mean,BULL_2025_rest_mean,BULL_2025_bad_minus_rest,BULL_2025_bad_positive_share,YTD_2026_n,YTD_2026_flag_rate,YTD_2026_n_bad,YTD_2026_n_rest,YTD_2026_bad_mean,YTD_2026_rest_mean,YTD_2026_bad_minus_rest,YTD_2026_bad_positive_share,YTD_2026_negative_n,YTD_2026_negative_capture,pass_early,pass_late,pass_oos,pass_2025_control,pass_2026_capture,SCREEN_PASS
SELECTED_RET20_DISPERSION,HIGH_BAD,0.14913073206024263,0.11111913077127411,0.14913073206024263,97,0.25773195876288657,25,72,0.0007564086833762325,-0.0023749815717736353,0.0031313902551498678,0.52,70,0.44285714285714284,31,39,0.010523933505650776,-0.0018922779334702977,0.012416211439121073,0.5806451612903226,39,0.6666666666666666,26,13,0.0027868690185806765,0.0025179499634341487,0.0002689190551465278,0.4230769230769231,22,0.8181818181818182,18,4,0.0585327955140837,-0.00017191518164105107,0.05870471069572475,0.8888888888888888,16,0.875,14,2,-0.09188722902812323,0.06479582627783124,-0.15668305530595447,0.21428571428571427,12,0.9166666666666666,False,False,False,False,True,False
UNIVERSE_POS20_BREADTH,LOW_BAD,0.3214643049096296,0.3214643049096296,0.5041831427001479,97,0.29896907216494845,29,68,0.0029367014374615,-0.003489011731907051,0.006425713169368551,0.5862068965517241,70,0.38571428571428573,27,43,-0.015399728503817427,0.015540366717974489,-0.030940095221791915,0.5555555555555556,39,0.6666666666666666,26,13,-0.012072588996106083,0.03223686599280766,-0.04430945498891374,0.34615384615384615,22,0.18181818181818182,4,18,0.06551795263460848,0.04393504711047267,0.02158290552413581,0.75,16,0.5,8,8,-0.08151660283891664,-0.06308709139084125,-0.018429511448075392,0.25,12,0.5,False,True,True,True,True,False
SELECTED_TOP5_POS_CONC,HIGH_BAD,0.7184106493136233,0.6132745085958008,0.7184106493136233,97,0.29896907216494845,29,68,0.011282287638394652,-0.0070481587881873675,0.01833044642658202,0.6206896551724138,70,0.38571428571428573,27,43,0.0011007824041965942,0.005179580798988945,-0.0040787983947923505,0.5555555555555556,39,0.5128205128205128,20,19,-0.0015808587125063437,0.007200479908308863,-0.008781338620815206,0.4,22,0.22727272727272727,5,17,0.054081268712781884,0.04602919499782546,0.008052073714956427,0.8,16,0.4375,7,9,-0.08868746338355804,-0.05955747890590631,-0.02912998447765173,0.14285714285714285,12,0.5,False,True,True,True,True,False
SELECTED_POS20_BREADTH,LOW_BAD,0.65,0.65,0.8,97,0.4020618556701031,39,58,-0.0020196798414409906,-0.0012641541770189212,-0.0007555256644220694,0.5128205128205128,70,0.44285714285714284,31,39,0.007839107275349646,0.00024181471112804,0.0075972925642216055,0.6129032258064516,39,0.5897435897435898,23,16,-0.004237798998115158,0.01266633256027438,-0.01690413155838954,0.43478260869565216,22,0.13636363636363635,3,19,0.05368041688248407,0.046940074098920516,0.006740342783563551,0.6666666666666666,16,0.3125,5,11,-0.12748168725174386,-0.047220101598122156,-0.08026158565362171,0.0,12,0.4166666666666667,True,False,True,True,False,False
SELECTED_ACT5_RANK_MEDIAN,HIGH_BAD,0.6566006386351596,0.5765995656531908,0.6566006386351596,97,0.31958762886597936,31,66,0.008314247868187212,-0.00620954757571363,0.014523795443900842,0.5806451612903226,70,0.35714285714285715,25,45,0.009021970171474538,0.0005976409996215363,0.008424329171853002,0.56,39,0.5641025641025641,22,17,-0.00012562598244689194,0.006350336213033715,-0.0064759621954806066,0.36363636363636365,22,0.36363636363636365,8,14,0.04220792060874236,0.05108852097550023,-0.00888060036675787,0.75,16,0.4375,7,9,-0.08061889988924043,-0.06583302829037556,-0.014785871598864866,0.2857142857142857,12,0.4166666666666667,False,False,True,True,False,False
SELECTED_ACT5_GT1_SHARE,HIGH_BAD,0.5,0.3789473684210525,0.5,97,0.4742268041237113,46,51,0.012684769291752742,-0.014423291049096515,0.027108060340849255,0.6521739130434783,70,0.42857142857142855,30,40,0.010793841314773634,-0.0017843035043344168,0.012578144819108052,0.6333333333333333,39,0.358974358974359,14,25,-0.016106218443603073,0.013227160088727381,-0.029333378532330454,0.2857142857142857,22,0.6818181818181818,15,7,0.05554311421106735,0.03139370648013315,0.0241494077309342,0.8666666666666667,16,0.375,6,10,-0.09483548250172624,-0.05878166588277056,-0.03605381661895568,0.16666666666666666,12,0.4166666666666667,False,False,True,False,False,False
OP12_OVERLAP,HIGH_BAD,0.75,0.6,0.75,97,0.422680412371134,41,56,0.012111913890944983,-0.011583516528786433,0.023695430419731416,0.6829268292682927,70,0.3142857142857143,22,48,0.02027979264944199,-0.0040356737295394,0.024315466378981392,0.7272727272727273,39,0.1794871794871795,7,32,0.05590996133697821,-0.008943055792222059,0.06485301712920027,0.8571428571428571,22,0.045454545454545456,1,21,0.0969335626699898,0.04552233789795011,0.05141122477203969,1.0,16,0.1875,3,13,-0.06991866959949894,-0.07285181115688971,0.0029331415573907726,0.0,12,0.25,False,False,False,True,False,False
MOMENTUM_OVERLAP,HIGH_BAD,0.4,0.3,0.4,97,0.4845360824742268,47,50,-0.003991898002860275,0.0007106150010227397,-0.004702513003883015,0.5106382978723404,70,0.2714285714285714,19,51,-0.019844849727434655,0.012343044001786097,-0.03218789372922075,0.47368421052631576,39,0.15384615384615385,6,33,0.07886677990400183,-0.011151779861099076,0.09001855976510091,0.8333333333333334,22,0.18181818181818182,4,18,0.08553582488849591,0.03948663105405325,0.04604919383444266,1.0,16,0.125,2,14,-0.16341104416521876,-0.059286247536258954,-0.1041247966289598,0.0,12,0.16666666666666666,True,True,False,True,False,False
HOLDING_RETENTION_4STATE,HIGH_BAD,0.25,0.2,0.25,97,0.5463917525773195,53,44,-0.008109630710764254,0.006311862990618394,-0.014421493701382649,0.49056603773584906,70,0.35714285714285715,25,45,-0.019361273291743985,0.016366109590298498,-0.03572738288204248,0.4,39,0.3076923076923077,12,27,-0.01666006776199754,0.011300472487100442,-0.02796054024909798,0.4166666666666667,22,0.09090909090909091,2,20,0.10523563496938891,0.042121569429408215,0.0631140655399807,1.0,16,0.0,0,16,,-0.07230184711487894,,,12,0.0,True,True,True,True,False,False
ALL_FACTOR_MULTIPLICITY,HIGH_BAD,0.29285714285714287,0.25,0.29285714285714287,97,0.4639175257731959,45,52,0.0037724833876130286,-0.006189427087036196,0.009961910474649224,0.5777777777777777,70,0.22857142857142856,16,54,0.009961471194170114,0.0017233251882057547,0.00823814600596436,0.625,39,0.1282051282051282,5,34,0.08475088473257207,-0.00936948469573879,0.09412036942831087,1.0,22,0.09090909090909091,2,20,0.11059260338483727,0.04158587258786338,0.06900673079697389,1.0,16,0.0,0,16,,-0.07230184711487894,,,12,0.0,False,False,False,True,False,False
