date,UNIVERSE_POS20_BREADTH,SELECTED_POS20_BREADTH,SELECTED_RET20_DISPERSION,SELECTED_TOP5_POS_CONC,SELECTED_ACT5_GT1_SHARE,SELECTED_ACT5_RANK_MEDIAN,HOLDING_RETENTION_4STATE,MOMENTUM_OVERLAP,OP12_OVERLAP,ALL_FACTOR_MULTIPLICITY,value,is_high,GROSS_FWD5,GROSS_FWD5_NPHASE,GROSS_FWD10,GROSS_FWD10_NPHASE,GROSS_FWD20,GROSS_FWD20_NPHASE,NET60_FWD5,NET60_FWD5_NPHASE,NET60_FWD10,NET60_FWD10_NPHASE,NET60_FWD20,NET60_FWD20_NPHASE,sample
2016-02-01,0.34866163349347973,0.75,0.184395835512938,0.7006288923941927,0.5,0.7271777003484321,,0.45,0.4,0.20714285714285713,0.75,True,-0.06246463045670035,10,-0.06443301281460685,10,-0.03601001540568118,10,-0.06380251918866502,10,-0.06753584682122135,10,-0.0423740152127486,10,EARLY_2016_2019
2016-02-11,0.2772820864790666,0.75,0.1748894965499199,0.6413236474187682,0.45,0.6414701803051318,,0.55,0.95,0.36428571428571427,0.625,True,-0.0020700093635640073,10,0.013497397946487322,10,0.014486166889068031,10,-0.003979159726597159,10,0.009997220239891625,10,0.007415030076417128,10,EARLY_2016_2019
2016-02-18,0.334248455730954,0.75,0.11610733934878055,0.5619340034357766,0.7,0.6819444444444445,,0.55,0.9,0.3928571428571429,0.5,False,0.015567984778831322,10,0.030457807914790646,10,0.021521121907406338,10,0.014012997177760323,10,0.0270663332878494,10,0.014832324914191685,10,EARLY_2016_2019
2016-02-25,0.4348422496570645,0.75,0.11136329727670906,0.55408666531386,0.4,0.6018068102849201,,0.45,0.9,0.36428571428571427,0.5,False,0.01462830222596857,10,0.0009458771533491728,10,-0.005624401135931334,10,0.012837976694285724,10,-0.002582753261297255,10,-0.01209041745674585,10,EARLY_2016_2019
2016-03-04,0.5509924709103354,0.7,0.11080514021914485,0.5554131373475986,0.55,0.6264767199444059,0.1,0.3,0.85,0.3,0.25,False,-0.013531090897133368,10,-0.008719391018820511,10,-0.001997817256463641,10,-0.015271031544659808,10,-0.011960427033480247,10,-0.008176101974460826,10,EARLY_2016_2019
2016-03-11,0.7667578659370725,0.95,0.08905922806655517,0.5386223747705032,0.3,0.44909972299168976,0.25,0.35,0.8,0.3071428571428571,0.25,False,0.004884699440359142,10,-0.0065839973296326956,10,0.03683816287833015,10,0.0033777307503290222,10,-0.009552305864789667,10,0.03056845853487953,10,EARLY_2016_2019
2016-03-18,0.7954856361149111,0.7894736842105263,0.1394052155113484,0.66151219558175,0.3157894736842105,0.4656964656964657,0.2,0.15,0.85,0.2928571428571428,0.25,False,-0.011404306905969153,10,0.0067686996441361,10,-0.003907600472396466,10,-0.01287281464922424,10,0.003817434444032086,10,-0.00966281050151968,10,EARLY_2016_2019
2016-03-25,0.7336065573770492,0.75,0.1438981917854868,0.7368655478525648,0.35,0.47291666666666665,0.3,0.3,0.8,0.32142857142857145,0.25,False,0.018375425823642533,10,0.04370412795285963,10,0.016523963273301544,10,0.01690326746481463,10,0.04050210452585279,10,0.010903528981192822,10,EARLY_2016_2019
2016-04-01,0.6368600682593857,0.75,0.11904238988457927,0.6363640366143175,0.45,0.4812889812889813,0.35,0.4,0.75,0.31428571428571433,0.375,False,0.024864327583001743,10,-0.010620258202662403,10,-0.026209561308162176,10,0.023204070776859664,10,-0.01344570367843546,10,-0.03199041186595634,10,EARLY_2016_2019
2016-04-08,0.6436860068259386,0.65,0.12988139843243282,0.8592093099890933,0.5,0.5932085932085932,0.15,0.15,0.65,0.21428571428571427,0.75,True,-0.03461736876756254,10,-0.026050541359620528,10,-0.027845579385799502,10,-0.03580554210579493,10,-0.02845416845557779,10,-0.03374996238573127,10,EARLY_2016_2019
