date,year,universe,factor,eligible,row_members,valid_values,row_membership_coverage,valid_value_coverage,valid_given_row
2016-01-04,2016,K200,MOM1M,190,167,166,0.8789473684210526,0.8736842105263158,0.9940119760479041
2016-01-04,2016,K200,MOM12_1,190,167,166,0.8789473684210526,0.8736842105263158,0.9940119760479041
2016-01-04,2016,K200,OP12_REV,190,167,158,0.8789473684210526,0.8315789473684211,0.9461077844311377
2016-01-04,2016,K200,OPFY1_REV,190,167,158,0.8789473684210526,0.8315789473684211,0.9461077844311377
2016-01-04,2016,K200,PBR12MF,190,167,158,0.8789473684210526,0.8315789473684211,0.9461077844311377
2016-01-04,2016,K200,PER12MF,190,167,154,0.8789473684210526,0.8105263157894737,0.9221556886227545
2016-01-04,2016,K200,PRIVATE_FLOW,190,167,166,0.8789473684210526,0.8736842105263158,0.9940119760479041
2016-01-04,2016,K200,FOREIGN_FLOW,190,167,166,0.8789473684210526,0.8736842105263158,0.9940119760479041
2016-01-04,2016,KOSPI_EX_K200,MOM1M,479,125,81,0.2609603340292276,0.16910229645093947,0.648
2016-01-04,2016,KOSPI_EX_K200,MOM12_1,479,125,81,0.2609603340292276,0.16910229645093947,0.648
2016-01-04,2016,KOSPI_EX_K200,OP12_REV,479,125,48,0.2609603340292276,0.10020876826722339,0.384
2016-01-04,2016,KOSPI_EX_K200,OPFY1_REV,479,125,50,0.2609603340292276,0.10438413361169102,0.4
2016-01-04,2016,KOSPI_EX_K200,PBR12MF,479,125,51,0.2609603340292276,0.10647181628392484,0.408
2016-01-04,2016,KOSPI_EX_K200,PER12MF,479,125,50,0.2609603340292276,0.10438413361169102,0.4
2016-01-04,2016,KOSPI_EX_K200,PRIVATE_FLOW,479,125,81,0.2609603340292276,0.16910229645093947,0.648
2016-01-04,2016,KOSPI_EX_K200,FOREIGN_FLOW,479,125,81,0.2609603340292276,0.16910229645093947,0.648
2016-01-04,2016,KOSDAQ,MOM1M,978,180,78,0.18404907975460122,0.07975460122699386,0.43333333333333335
2016-01-04,2016,KOSDAQ,MOM12_1,978,180,78,0.18404907975460122,0.07975460122699386,0.43333333333333335
2016-01-04,2016,KOSDAQ,OP12_REV,978,180,52,0.18404907975460122,0.053169734151329244,0.28888888888888886
2016-01-04,2016,KOSDAQ,OPFY1_REV,978,180,55,0.18404907975460122,0.05623721881390593,0.3055555555555556
2016-01-04,2016,KOSDAQ,PBR12MF,978,180,55,0.18404907975460122,0.05623721881390593,0.3055555555555556
2016-01-04,2016,KOSDAQ,PER12MF,978,180,52,0.18404907975460122,0.053169734151329244,0.28888888888888886
2016-01-04,2016,KOSDAQ,PRIVATE_FLOW,978,180,77,0.18404907975460122,0.0787321063394683,0.42777777777777776
2016-01-04,2016,KOSDAQ,FOREIGN_FLOW,978,180,77,0.18404907975460122,0.0787321063394683,0.42777777777777776
2016-01-11,2016,K200,MOM1M,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-11,2016,K200,MOM12_1,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-11,2016,K200,OP12_REV,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-11,2016,K200,OPFY1_REV,190,185,170,0.9736842105263158,0.8947368421052632,0.918918918918919
2016-01-11,2016,K200,PBR12MF,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-11,2016,K200,PER12MF,190,185,167,0.9736842105263158,0.8789473684210526,0.9027027027027027
2016-01-11,2016,K200,PRIVATE_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-11,2016,K200,FOREIGN_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-11,2016,KOSPI_EX_K200,MOM1M,479,133,131,0.2776617954070981,0.27348643006263046,0.9849624060150376
2016-01-11,2016,KOSPI_EX_K200,MOM12_1,479,133,131,0.2776617954070981,0.27348643006263046,0.9849624060150376
2016-01-11,2016,KOSPI_EX_K200,OP12_REV,479,133,78,0.2776617954070981,0.162839248434238,0.5864661654135338
2016-01-11,2016,KOSPI_EX_K200,OPFY1_REV,479,133,81,0.2776617954070981,0.16910229645093947,0.6090225563909775
2016-01-11,2016,KOSPI_EX_K200,PBR12MF,479,133,81,0.2776617954070981,0.16910229645093947,0.6090225563909775
2016-01-11,2016,KOSPI_EX_K200,PER12MF,479,133,80,0.2776617954070981,0.16701461377870563,0.6015037593984962
2016-01-11,2016,KOSPI_EX_K200,PRIVATE_FLOW,479,133,130,0.2776617954070981,0.27139874739039666,0.9774436090225563
2016-01-11,2016,KOSPI_EX_K200,FOREIGN_FLOW,479,133,130,0.2776617954070981,0.27139874739039666,0.9774436090225563
2016-01-11,2016,KOSDAQ,MOM1M,978,155,148,0.15848670756646216,0.15132924335378323,0.9548387096774194
2016-01-11,2016,KOSDAQ,MOM12_1,978,155,148,0.15848670756646216,0.15132924335378323,0.9548387096774194
2016-01-11,2016,KOSDAQ,OP12_REV,978,155,91,0.15848670756646216,0.09304703476482618,0.5870967741935483
2016-01-11,2016,KOSDAQ,OPFY1_REV,978,155,99,0.15848670756646216,0.10122699386503067,0.6387096774193548
2016-01-11,2016,KOSDAQ,PBR12MF,978,155,94,0.15848670756646216,0.09611451942740286,0.6064516129032258
2016-01-11,2016,KOSDAQ,PER12MF,978,155,91,0.15848670756646216,0.09304703476482618,0.5870967741935483
2016-01-11,2016,KOSDAQ,PRIVATE_FLOW,978,155,145,0.15848670756646216,0.14826175869120656,0.9354838709677419
2016-01-11,2016,KOSDAQ,FOREIGN_FLOW,978,155,145,0.15848670756646216,0.14826175869120656,0.9354838709677419
2016-01-18,2016,K200,MOM1M,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-18,2016,K200,MOM12_1,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-18,2016,K200,OP12_REV,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-18,2016,K200,OPFY1_REV,190,185,170,0.9736842105263158,0.8947368421052632,0.918918918918919
2016-01-18,2016,K200,PBR12MF,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-18,2016,K200,PER12MF,190,185,167,0.9736842105263158,0.8789473684210526,0.9027027027027027
2016-01-18,2016,K200,PRIVATE_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-18,2016,K200,FOREIGN_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-18,2016,KOSPI_EX_K200,MOM1M,479,135,132,0.2818371607515658,0.2755741127348643,0.9777777777777777
2016-01-18,2016,KOSPI_EX_K200,MOM12_1,479,135,132,0.2818371607515658,0.2755741127348643,0.9777777777777777
2016-01-18,2016,KOSPI_EX_K200,OP12_REV,479,135,78,0.2818371607515658,0.162839248434238,0.5777777777777777
2016-01-18,2016,KOSPI_EX_K200,OPFY1_REV,479,135,81,0.2818371607515658,0.16910229645093947,0.6
2016-01-18,2016,KOSPI_EX_K200,PBR12MF,479,135,81,0.2818371607515658,0.16910229645093947,0.6
2016-01-18,2016,KOSPI_EX_K200,PER12MF,479,135,80,0.2818371607515658,0.16701461377870563,0.5925925925925926
2016-01-18,2016,KOSPI_EX_K200,PRIVATE_FLOW,479,135,131,0.2818371607515658,0.27348643006263046,0.9703703703703703
2016-01-18,2016,KOSPI_EX_K200,FOREIGN_FLOW,479,135,131,0.2818371607515658,0.27348643006263046,0.9703703703703703
2016-01-18,2016,KOSDAQ,MOM1M,978,150,147,0.15337423312883436,0.15030674846625766,0.98
2016-01-18,2016,KOSDAQ,MOM12_1,978,150,147,0.15337423312883436,0.15030674846625766,0.98
2016-01-18,2016,KOSDAQ,OP12_REV,978,150,94,0.15337423312883436,0.09611451942740286,0.6266666666666667
2016-01-18,2016,KOSDAQ,OPFY1_REV,978,150,98,0.15337423312883436,0.10020449897750511,0.6533333333333333
2016-01-18,2016,KOSDAQ,PBR12MF,978,150,96,0.15337423312883436,0.09815950920245399,0.64
2016-01-18,2016,KOSDAQ,PER12MF,978,150,93,0.15337423312883436,0.0950920245398773,0.62
2016-01-18,2016,KOSDAQ,PRIVATE_FLOW,978,150,145,0.15337423312883436,0.14826175869120656,0.9666666666666667
2016-01-18,2016,KOSDAQ,FOREIGN_FLOW,978,150,145,0.15337423312883436,0.14826175869120656,0.9666666666666667
2016-01-25,2016,K200,MOM1M,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-25,2016,K200,MOM12_1,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-25,2016,K200,OP12_REV,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-25,2016,K200,OPFY1_REV,190,185,170,0.9736842105263158,0.8947368421052632,0.918918918918919
2016-01-25,2016,K200,PBR12MF,190,185,171,0.9736842105263158,0.9,0.9243243243243243
2016-01-25,2016,K200,PER12MF,190,185,167,0.9736842105263158,0.8789473684210526,0.9027027027027027
2016-01-25,2016,K200,PRIVATE_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-25,2016,K200,FOREIGN_FLOW,190,185,185,0.9736842105263158,0.9736842105263158,1.0
2016-01-25,2016,KOSPI_EX_K200,MOM1M,479,126,126,0.2630480167014614,0.2630480167014614,1.0
2016-01-25,2016,KOSPI_EX_K200,MOM12_1,479,126,126,0.2630480167014614,0.2630480167014614,1.0
2016-01-25,2016,KOSPI_EX_K200,OP12_REV,479,126,78,0.2630480167014614,0.162839248434238,0.6190476190476191
2016-01-25,2016,KOSPI_EX_K200,OPFY1_REV,479,126,81,0.2630480167014614,0.16910229645093947,0.6428571428571429
2016-01-25,2016,KOSPI_EX_K200,PBR12MF,479,126,81,0.2630480167014614,0.16910229645093947,0.6428571428571429
2016-01-25,2016,KOSPI_EX_K200,PER12MF,479,126,80,0.2630480167014614,0.16701461377870563,0.6349206349206349
2016-01-25,2016,KOSPI_EX_K200,PRIVATE_FLOW,479,126,125,0.2630480167014614,0.2609603340292276,0.9920634920634921
2016-01-25,2016,KOSPI_EX_K200,FOREIGN_FLOW,479,126,125,0.2630480167014614,0.2609603340292276,0.9920634920634921
2016-01-25,2016,KOSDAQ,MOM1M,978,144,144,0.147239263803681,0.147239263803681,1.0
2016-01-25,2016,KOSDAQ,MOM12_1,978,144,144,0.147239263803681,0.147239263803681,1.0
2016-01-25,2016,KOSDAQ,OP12_REV,978,144,91,0.147239263803681,0.09304703476482618,0.6319444444444444
