date,year,universe,eligible,valid_all8,coverage
2020-08-10,2020,KOSPI_EX_K200,546,75,0.13736263736263737
2020-08-10,2020,KOSDAQ,1279,139,0.10867865519937452
2020-08-18,2020,K200,192,157,0.8177083333333334
2020-08-18,2020,KOSPI_EX_K200,546,71,0.13003663003663005
2020-08-18,2020,KOSDAQ,1282,125,0.09750390015600624
2020-08-25,2020,K200,192,157,0.8177083333333334
2020-08-25,2020,KOSPI_EX_K200,546,71,0.13003663003663005
2020-08-25,2020,KOSDAQ,1284,123,0.09579439252336448
2020-09-01,2020,K200,192,157,0.8177083333333334
2020-09-01,2020,KOSPI_EX_K200,546,72,0.13186813186813187
2020-09-01,2020,KOSDAQ,1284,123,0.09579439252336448
2020-09-08,2020,K200,192,158,0.8229166666666666
2020-09-08,2020,KOSPI_EX_K200,546,72,0.13186813186813187
2020-09-08,2020,KOSDAQ,1284,129,0.10046728971962617
2020-09-15,2020,K200,192,158,0.8229166666666666
2020-09-15,2020,KOSPI_EX_K200,546,75,0.13736263736263737
2020-09-15,2020,KOSDAQ,1287,133,0.10334110334110334
2020-09-22,2020,K200,192,159,0.828125
2020-09-22,2020,KOSPI_EX_K200,547,74,0.13528336380255943
2020-09-22,2020,KOSDAQ,1292,131,0.10139318885448917
2020-09-29,2020,K200,192,158,0.8229166666666666
2020-09-29,2020,KOSPI_EX_K200,547,73,0.13345521023765997
2020-09-29,2020,KOSDAQ,1295,133,0.10270270270270271
2020-10-12,2020,K200,192,159,0.828125
2020-10-12,2020,KOSPI_EX_K200,547,71,0.12979890310786105
2020-10-12,2020,KOSDAQ,1296,135,0.10416666666666667
2020-10-19,2020,K200,192,161,0.8385416666666666
2020-10-19,2020,KOSPI_EX_K200,548,74,0.13503649635036497
2020-10-19,2020,KOSDAQ,1297,132,0.1017733230531997
2020-10-26,2020,K200,192,162,0.84375
2020-10-26,2020,KOSPI_EX_K200,548,72,0.13138686131386862
2020-10-26,2020,KOSDAQ,1298,130,0.10015408320493066
2020-11-02,2020,K200,192,163,0.8489583333333334
2020-11-02,2020,KOSPI_EX_K200,548,72,0.13138686131386862
2020-11-02,2020,KOSDAQ,1301,129,0.09915449654112221
2020-11-09,2020,K200,192,162,0.84375
2020-11-09,2020,KOSPI_EX_K200,548,74,0.13503649635036497
2020-11-09,2020,KOSDAQ,1302,133,0.10215053763440861
2020-11-16,2020,K200,192,163,0.8489583333333334
2020-11-16,2020,KOSPI_EX_K200,549,80,0.14571948998178508
2020-11-16,2020,KOSDAQ,1302,129,0.09907834101382489
