universe,factor,mcap_quintile,median_row_membership_coverage,median_valid_value_coverage
K200,FOREIGN_FLOW,1,1.0,1.0
K200,FOREIGN_FLOW,2,1.0,1.0
K200,FOREIGN_FLOW,3,1.0,1.0
K200,FOREIGN_FLOW,4,1.0,1.0
K200,FOREIGN_FLOW,5,1.0,1.0
K200,MOM12_1,1,1.0,1.0
K200,MOM12_1,2,1.0,1.0
K200,MOM12_1,3,1.0,1.0
K200,MOM12_1,4,1.0,1.0
K200,MOM12_1,5,1.0,1.0
K200,MOM1M,1,1.0,1.0
K200,MOM1M,2,1.0,1.0
K200,MOM1M,3,1.0,1.0
K200,MOM1M,4,1.0,1.0
K200,MOM1M,5,1.0,1.0
K200,OP12_REV,1,1.0,0.675
K200,OP12_REV,2,1.0,0.8461538461538461
K200,OP12_REV,3,1.0,0.9230769230769231
K200,OP12_REV,4,1.0,0.9743589743589743
K200,OP12_REV,5,1.0,1.0
K200,OPFY1_REV,1,1.0,0.6842105263157895
K200,OPFY1_REV,2,1.0,0.8461538461538461
K200,OPFY1_REV,3,1.0,0.925
K200,OPFY1_REV,4,1.0,0.9743589743589743
K200,OPFY1_REV,5,1.0,1.0
K200,PBR12MF,1,1.0,0.6842105263157895
K200,PBR12MF,2,1.0,0.8717948717948718
K200,PBR12MF,3,1.0,0.9473684210526315
K200,PBR12MF,4,1.0,0.9743589743589743
K200,PBR12MF,5,1.0,1.0
K200,PER12MF,1,1.0,0.6666666666666666
K200,PER12MF,2,1.0,0.8461538461538461
K200,PER12MF,3,1.0,0.9230769230769231
K200,PER12MF,4,1.0,0.9230769230769231
K200,PER12MF,5,1.0,0.975
K200,PRIVATE_FLOW,1,1.0,1.0
K200,PRIVATE_FLOW,2,1.0,1.0
K200,PRIVATE_FLOW,3,1.0,1.0
K200,PRIVATE_FLOW,4,1.0,1.0
K200,PRIVATE_FLOW,5,1.0,1.0
KOSDAQ,FOREIGN_FLOW,1,0.0,0.0
KOSDAQ,FOREIGN_FLOW,2,0.0,0.0
KOSDAQ,FOREIGN_FLOW,3,0.0,0.0
KOSDAQ,FOREIGN_FLOW,4,0.004761904761904762,0.0
KOSDAQ,FOREIGN_FLOW,5,0.9423728813559322,0.9251700680272109
KOSDAQ,MOM12_1,1,0.0,0.0
KOSDAQ,MOM12_1,2,0.0,0.0
KOSDAQ,MOM12_1,3,0.0,0.0
KOSDAQ,MOM12_1,4,0.004761904761904762,0.0
KOSDAQ,MOM12_1,5,0.9423728813559322,0.9292035398230089
KOSDAQ,MOM1M,1,0.0,0.0
KOSDAQ,MOM1M,2,0.0,0.0
KOSDAQ,MOM1M,3,0.0,0.0
KOSDAQ,MOM1M,4,0.004761904761904762,0.0
KOSDAQ,MOM1M,5,0.9423728813559322,0.9292035398230089
KOSDAQ,OP12_REV,1,0.0,0.0
KOSDAQ,OP12_REV,2,0.0,0.0
KOSDAQ,OP12_REV,3,0.0,0.0
KOSDAQ,OP12_REV,4,0.004761904761904762,0.0
KOSDAQ,OP12_REV,5,0.9423728813559322,0.4673913043478261
KOSDAQ,OPFY1_REV,1,0.0,0.0
KOSDAQ,OPFY1_REV,2,0.0,0.0
KOSDAQ,OPFY1_REV,3,0.0,0.0
KOSDAQ,OPFY1_REV,4,0.004761904761904762,0.0
KOSDAQ,OPFY1_REV,5,0.9423728813559322,0.49473684210526314
KOSDAQ,PBR12MF,1,0.0,0.0
KOSDAQ,PBR12MF,2,0.0,0.0
KOSDAQ,PBR12MF,3,0.0,0.0
KOSDAQ,PBR12MF,4,0.004761904761904762,0.0
KOSDAQ,PBR12MF,5,0.9423728813559322,0.4935483870967742
KOSDAQ,PER12MF,1,0.0,0.0
KOSDAQ,PER12MF,2,0.0,0.0
KOSDAQ,PER12MF,3,0.0,0.0
KOSDAQ,PER12MF,4,0.004761904761904762,0.0
KOSDAQ,PER12MF,5,0.9423728813559322,0.4782608695652174
KOSDAQ,PRIVATE_FLOW,1,0.0,0.0
KOSDAQ,PRIVATE_FLOW,2,0.0,0.0
KOSDAQ,PRIVATE_FLOW,3,0.0,0.0
KOSDAQ,PRIVATE_FLOW,4,0.004761904761904762,0.0
KOSDAQ,PRIVATE_FLOW,5,0.9423728813559322,0.9251700680272109
KOSPI_EX_K200,FOREIGN_FLOW,1,0.0,0.0
KOSPI_EX_K200,FOREIGN_FLOW,2,0.0,0.0
KOSPI_EX_K200,FOREIGN_FLOW,3,0.0,0.0
KOSPI_EX_K200,FOREIGN_FLOW,4,0.631578947368421,0.6166666666666667
KOSPI_EX_K200,FOREIGN_FLOW,5,1.0,1.0
KOSPI_EX_K200,MOM12_1,1,0.0,0.0
KOSPI_EX_K200,MOM12_1,2,0.0,0.0
KOSPI_EX_K200,MOM12_1,3,0.0,0.0
KOSPI_EX_K200,MOM12_1,4,0.631578947368421,0.6166666666666667
KOSPI_EX_K200,MOM12_1,5,1.0,1.0
KOSPI_EX_K200,MOM1M,1,0.0,0.0
KOSPI_EX_K200,MOM1M,2,0.0,0.0
KOSPI_EX_K200,MOM1M,3,0.0,0.0
KOSPI_EX_K200,MOM1M,4,0.631578947368421,0.6166666666666667
KOSPI_EX_K200,MOM1M,5,1.0,1.0
KOSPI_EX_K200,OP12_REV,1,0.0,0.0
KOSPI_EX_K200,OP12_REV,2,0.0,0.0
KOSPI_EX_K200,OP12_REV,3,0.0,0.0
KOSPI_EX_K200,OP12_REV,4,0.631578947368421,0.19834710743801653
KOSPI_EX_K200,OP12_REV,5,1.0,0.6106194690265486
KOSPI_EX_K200,OPFY1_REV,1,0.0,0.0
KOSPI_EX_K200,OPFY1_REV,2,0.0,0.0
KOSPI_EX_K200,OPFY1_REV,3,0.0,0.0
KOSPI_EX_K200,OPFY1_REV,4,0.631578947368421,0.2079207920792079
KOSPI_EX_K200,OPFY1_REV,5,1.0,0.6310679611650486
KOSPI_EX_K200,PBR12MF,1,0.0,0.0
KOSPI_EX_K200,PBR12MF,2,0.0,0.0
KOSPI_EX_K200,PBR12MF,3,0.0,0.0
KOSPI_EX_K200,PBR12MF,4,0.631578947368421,0.21568627450980393
KOSPI_EX_K200,PBR12MF,5,1.0,0.6363636363636364
