sample,universe,target,definition,metric,horizon,outcome,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t
TRAIN_2017_2022,K200,FLOW,B,FH_B_INCLUSIVE,5,top,117,98,0.0018908944323374002,0.0005705390265721122,0.001320355405765288,0.31592262517277947
TRAIN_2017_2022,K200,FLOW,B,FH_B_INCLUSIVE,5,spread,117,98,0.0013982125917354185,0.0023618013182478883,-0.0009635887265124698,-0.46536367673807
TRAIN_2017_2022,K200,FLOW,B,FH_B_INCLUSIVE,20,top,117,98,0.006516856626379097,0.004333258758410112,0.0021835978679689847,0.16592896224985815
TRAIN_2017_2022,K200,FLOW,B,FH_B_INCLUSIVE,20,spread,117,98,0.010317873197976425,0.003213396244721857,0.007104476953254568,1.1682979357641539
TRAIN_2017_2022,K200,FLOW,C,FH_C_CONTINUOUS,5,top,97,97,0.0034520965919520963,0.0010700473039315895,0.0023820492880205065,0.5244888116964762
TRAIN_2017_2022,K200,FLOW,C,FH_C_CONTINUOUS,5,spread,97,97,0.0024723540605038267,0.0016295256772863023,0.0008428283832175244,0.3946115685020184
TRAIN_2017_2022,K200,FLOW,C,FH_C_CONTINUOUS,20,top,97,97,0.009846717179698412,0.0072992958935835005,0.0025474212861149115,0.1815172224408324
TRAIN_2017_2022,K200,FLOW,C,FH_C_CONTINUOUS,20,spread,97,97,0.013412439321483005,0.0024909011723117215,0.010921538149171284,1.578925752486075
TRAIN_2017_2022,K200,FLOW,C,FH_C_INCLUSIVE,5,top,97,97,0.0035572186660015634,0.0010463077891906811,0.0025109108768108825,0.542664245719785
TRAIN_2017_2022,K200,FLOW,C,FH_C_INCLUSIVE,5,spread,97,97,0.0014583917043826226,0.0021285800878542466,-0.000670188383471624,-0.29923397514080996
TRAIN_2017_2022,K200,FLOW,C,FH_C_INCLUSIVE,20,top,97,97,0.011348658059823297,0.007577124347836924,0.0037715337119863723,0.2626878543335378
TRAIN_2017_2022,K200,FLOW,C,FH_C_INCLUSIVE,20,spread,97,97,0.00951461378211256,0.004489704189776354,0.005024909592336206,0.7239754991052147
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_HEALTHY_BREADTH,5,top,58,233,0.0007267431977402837,-0.0007288559552720592,0.001455599153012343,0.31358437349707463
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_HEALTHY_BREADTH,5,spread,58,233,-0.002222393990265183,-0.001862762185242072,-0.0003596318050231109,-0.08363496474266634
