definition,sample,target,n,ex_median_hl,inc_median_hl,delta
A,TRAIN_2017_2022,FLOW,6,-0.004572002638252635,-0.012372598341489204,-0.007038540691981206
A,TRAIN_2017_2022,MOMENTUM,6,0.00030973324479752196,-0.01388736735267901,-0.020091777429980237
A,TRAIN_2017_2022,REVISION,6,-0.0032232631034815355,-0.009554022842979883,-0.007553658740097657
A,TRAIN_2017_2022,VALUE,6,0.00396620695940823,0.010220562294948094,0.005642011049763373
A,POST_2023_PLUS,FLOW,6,-0.0005248367499171014,0.002391980771883474,0.009784377442162671
A,POST_2023_PLUS,MOMENTUM,6,0.015488541885911998,0.019111734406664527,0.001688857900441714
A,POST_2023_PLUS,REVISION,6,0.01131478866965365,0.011653351638081273,0.005899031789362902
A,POST_2023_PLUS,VALUE,6,0.012308469261106186,0.0029708471079150896,-0.0076271181067621265
A,POST_2023_2024,FLOW,5,-0.0006324852835783517,-0.00781924760662341,-0.004611916693013918
A,POST_2023_2024,MOMENTUM,5,0.0023137996336456673,0.0008652170971519284,0.0031257968091902193
A,POST_2023_2024,REVISION,5,0.00644124872161588,0.0013930046883965878,-0.005048244033219292
A,POST_2023_2024,VALUE,5,-0.008183851450118972,-0.01106515826702676,0.0018588020784677285
A,BULL_2025,FLOW,6,0.004341601256193581,0.017888586069270518,0.017951832528628434
A,BULL_2025,MOMENTUM,6,0.019886843710285172,0.018100778081479318,-0.0017522690956666767
A,BULL_2025,REVISION,6,0.009025055873445636,0.015757740555453193,0.008416308263321282
A,BULL_2025,VALUE,6,0.04007830773454296,0.02587332214959187,-0.006567714660174565
A,YTD_2026,FLOW,5,-0.02093216119228191,-0.019469549756052758,0.0261268899246518
A,YTD_2026,MOMENTUM,5,0.014726866259964569,-0.005791077199411883,0.024042055126152095
A,YTD_2026,REVISION,5,0.03419238586385291,0.0064468311858191085,0.010343553076297432
A,YTD_2026,VALUE,5,-0.00755668503022428,-0.06429480467642737,-0.023862021611042453
B,TRAIN_2017_2022,FLOW,6,-0.0070787852770442215,-0.010280536373315009,-0.0017842323129133465
B,TRAIN_2017_2022,MOMENTUM,6,-0.003167438362956186,-0.012916374036870936,-0.008495950336358244
B,TRAIN_2017_2022,REVISION,6,0.0023952350607130083,-0.003183358481927934,-0.004901307977953453
B,TRAIN_2017_2022,VALUE,6,0.00044875524504971523,-0.0013703203335887685,-0.0013187022926041188
B,POST_2023_PLUS,FLOW,6,-0.00019425225033214847,-0.002306793840261434,-0.0023903533291920556
B,POST_2023_PLUS,MOMENTUM,6,0.0020593715582862314,0.013375784354903815,0.007219639964424172
B,POST_2023_PLUS,REVISION,6,0.004637788831465702,0.0024229092214749903,-0.001933213865401781
B,POST_2023_PLUS,VALUE,6,-0.0005532264345759225,-0.009901551453471637,-0.014469731038209137
B,POST_2023_2024,FLOW,6,-0.011631642787513245,-0.01457651122957384,-0.0020634776364009066
B,POST_2023_2024,MOMENTUM,6,0.0005492020411185881,0.003705153603963642,0.0007580784252119413
B,POST_2023_2024,REVISION,6,0.0015732354372154228,-0.007269777468474745,-0.003577562057498234
B,POST_2023_2024,VALUE,6,-0.012334815366525814,-0.0191363193274363,-0.01340342212554244
B,BULL_2025,FLOW,6,-0.010232940578831895,-0.0017720099336663714,0.0005143288963503252
B,BULL_2025,MOMENTUM,5,-0.010466051606055057,0.0033498120777400303,0.013815863683795088
B,BULL_2025,REVISION,6,0.0032881022871528998,-0.006233473019070051,-0.00637945078054257
B,BULL_2025,VALUE,5,0.038129664866202895,0.02021038299314635,-0.014208747884467979
B,YTD_2026,FLOW,6,0.018191929314712633,-0.008488306775180128,-0.0012144166011756677
B,YTD_2026,MOMENTUM,4,-0.07449012937081234,-0.038061932890356004,0.009713769329036896
B,YTD_2026,REVISION,6,-0.0062067733055215304,0.0255449790807195,0.007899484208982104
B,YTD_2026,VALUE,6,-0.0021128053234124554,-0.02757996413624339,-0.011752321401398844
C,TRAIN_2017_2022,FLOW,6,-0.0142742377509852,-0.011325591198905062,0.00012558765788737644
C,TRAIN_2017_2022,MOMENTUM,6,-0.005400830766061854,-0.01231471176022895,-0.004570598914782797
C,TRAIN_2017_2022,REVISION,6,-0.0012220925070863479,-0.0028399135519850986,-0.0023345625480874098
C,TRAIN_2017_2022,VALUE,6,0.0011633709293155312,0.001563547278022221,0.0007585802431282953
C,POST_2023_PLUS,FLOW,6,-0.014949921051161778,-0.010658365261598766,0.004291555789563011
C,POST_2023_PLUS,MOMENTUM,6,-0.00841208664223451,0.007686354710290877,0.010012631761011224
C,POST_2023_PLUS,REVISION,6,0.005608853267925087,0.003242331671997478,-0.0017603223089569242
C,POST_2023_PLUS,VALUE,6,-0.005193476259928038,-0.014600025488353966,-0.014451811905942795
C,POST_2023_2024,FLOW,6,-0.0212628731668068,-0.020583207231619632,0.00225320172405675
C,POST_2023_2024,MOMENTUM,6,-0.012918648178518306,-0.002189787610948394,0.007074511716156372
C,POST_2023_2024,REVISION,6,-0.010563025056366563,-0.010496474884111203,-0.00401265007593287
C,POST_2023_2024,VALUE,6,-0.014259990440944156,-0.022482085057644312,-0.012958683425928815
C,BULL_2025,FLOW,6,-0.025246276577006614,-0.0016814612629717854,0.018377038766257937
C,BULL_2025,MOMENTUM,6,-0.010889832052902088,0.003320451825250769,0.014331272030290962
C,BULL_2025,REVISION,6,0.005266310796813823,0.0046622665851856065,0.0017383978096516886
C,BULL_2025,VALUE,5,0.027227052826519767,0.027721264858661714,-0.0107788788607177
C,YTD_2026,FLOW,5,-0.015773112269508137,-0.010073717228042085,0.005699395041466052
C,YTD_2026,MOMENTUM,6,-0.031071398386876257,0.0069966912076463595,0.03620930184209038
C,YTD_2026,REVISION,6,0.016264500975870698,0.012624771340616774,-0.010315602490590986
C,YTD_2026,VALUE,6,0.0048181109587967464,-0.029875068265563666,-0.036546217386292885
