date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2017-02-14,K200,MOM1M,MOMENTUM,Q25,-0.056036553902202524,-4.826670727524988,REVERSE
2017-02-21,K200,MOM1M,MOMENTUM,Q25,-0.0379480711683986,-3.2686314828390124,REVERSE
2017-02-28,K200,MOM1M,MOMENTUM,Q25,-0.03325875299337744,-2.8647202286436344,REVERSE
2017-03-08,K200,MOM1M,MOMENTUM,Q25,-0.018748237473617535,-1.6148667736514755,REVERSE
2017-03-15,K200,MOM1M,MOMENTUM,Q25,-0.020259359969737267,-1.74502628935715,REVERSE
2017-03-22,K200,MOM1M,MOMENTUM,Q25,0.009173533471067863,0.7901561104212301,NEUTRAL
2017-03-29,K200,MOM1M,MOMENTUM,Q25,-0.020904752345190514,-1.8006167257677224,REVERSE
2017-04-05,K200,MOM1M,MOMENTUM,Q25,-0.03591710266362125,-3.0936953822422066,REVERSE
2017-04-12,K200,MOM1M,MOMENTUM,Q25,-0.027092496202759775,-2.333593864206248,REVERSE
2017-04-19,K200,MOM1M,MOMENTUM,Q25,-0.028938487861126738,-2.492597109056837,REVERSE
2017-04-26,K200,MOM1M,MOMENTUM,Q25,-0.048187299652066584,-4.150580513480917,REVERSE
2017-05-08,K200,MOM1M,MOMENTUM,Q25,-0.00457939912989791,-0.39444345147467874,NEUTRAL
2017-05-16,K200,MOM1M,MOMENTUM,Q25,-0.009485680999234747,-0.8170427269591033,NEUTRAL
2017-05-23,K200,MOM1M,MOMENTUM,Q25,-0.01006363111497377,-0.8668240698745815,NEUTRAL
2017-05-30,K200,MOM1M,MOMENTUM,Q25,0.029188283801553805,2.5141131136922774,WORKING
2017-06-07,K200,MOM1M,MOMENTUM,Q25,0.015391709966885658,1.325754543603396,WORKING
2017-06-14,K200,MOM1M,MOMENTUM,Q25,0.04026638292550189,3.468317700425059,WORKING
2017-06-21,K200,MOM1M,MOMENTUM,Q25,0.01768442317159291,1.5232358471661325,WORKING
2017-06-28,K200,MOM1M,MOMENTUM,Q25,0.035845239109815186,3.087505463566319,WORKING
2017-07-05,K200,MOM1M,MOMENTUM,Q25,0.01097186713646403,0.9450543662318758,NEUTRAL
2017-07-12,K200,MOM1M,MOMENTUM,Q25,0.017331992242149097,1.4928794470636269,WORKING
2017-07-19,K200,MOM1M,MOMENTUM,Q25,0.03390095784758107,2.9200361100639816,WORKING
2017-07-26,K200,MOM1M,MOMENTUM,Q25,0.014012389353394994,1.2069476940489747,WORKING
2017-08-02,K200,MOM1M,MOMENTUM,Q25,0.043918256319134485,3.782869348987106,WORKING
2017-08-09,K200,MOM1M,MOMENTUM,Q25,0.02293402677915335,1.975406908718967,WORKING
2017-08-17,K200,MOM1M,MOMENTUM,Q25,0.009001061770500751,0.775300376967196,NEUTRAL
2017-08-24,K200,MOM1M,MOMENTUM,Q25,0.017130306819689745,1.4755074094031382,WORKING
2017-08-31,K200,MOM1M,MOMENTUM,Q25,-0.003175040737590007,-0.2734799897504526,NEUTRAL
2017-09-07,K200,MOM1M,MOMENTUM,Q25,0.018447003283519336,1.5889201701181073,WORKING
2017-09-14,K200,MOM1M,MOMENTUM,Q25,0.053211914817239636,4.583372347488854,WORKING
2017-09-21,K200,MOM1M,MOMENTUM,Q25,0.029638476013944537,2.5528901158808552,WORKING
2017-09-28,K200,MOM1M,MOMENTUM,Q25,0.0049753249606117045,0.4285462555249145,NEUTRAL
2017-10-13,K200,MOM1M,MOMENTUM,Q25,-0.016644820796218762,-1.433690398631928,REVERSE
2017-10-20,K200,MOM1M,MOMENTUM,Q25,-0.0643256422711791,-5.54064575636477,REVERSE
2017-10-27,K200,MOM1M,MOMENTUM,Q25,-0.03863024487416078,-3.3273900542964223,REVERSE
2017-11-03,K200,MOM1M,MOMENTUM,Q25,-0.010860400097967626,-0.9354532281473771,NEUTRAL
2017-11-10,K200,MOM1M,MOMENTUM,Q25,-0.009934396592631956,-0.8556925415678703,NEUTRAL
2017-11-17,K200,MOM1M,MOMENTUM,Q25,0.021075100376704903,1.8152895384220653,WORKING
2017-11-24,K200,MOM1M,MOMENTUM,Q25,0.028260308031623937,2.4341825474338674,WORKING
2017-12-01,K200,MOM1M,MOMENTUM,Q25,0.03606202873175812,3.1061784912490946,WORKING
2017-12-08,K200,MOM1M,MOMENTUM,Q25,-0.004384353158476184,-0.377643298445534,NEUTRAL
2017-12-15,K200,MOM1M,MOMENTUM,Q25,0.003187999913981887,0.2745962196573217,NEUTRAL
2017-12-22,K200,MOM1M,MOMENTUM,Q25,-0.023714605879586514,-2.042641562390817,REVERSE
2018-01-03,K200,MOM1M,MOMENTUM,Q25,-0.055169430199841774,-4.75198161301177,REVERSE
2018-01-10,K200,MOM1M,MOMENTUM,Q25,0.0008431908348203176,0.0726276731300677,NEUTRAL
2018-01-17,K200,MOM1M,MOMENTUM,Q25,-0.02999295214094222,-2.5834226776934917,REVERSE
2018-01-24,K200,MOM1M,MOMENTUM,Q25,-0.027120215440059048,-2.335981441991549,REVERSE
2018-01-31,K200,MOM1M,MOMENTUM,Q25,0.0063645667441836196,0.5482076583642781,NEUTRAL
2018-02-07,K200,MOM1M,MOMENTUM,Q25,-0.02420092244479477,-2.0845301113136823,REVERSE
2018-02-14,K200,MOM1M,MOMENTUM,Q25,-0.02187532617154897,-1.88421644684911,REVERSE
2018-02-23,K200,MOM1M,MOMENTUM,Q25,-0.029006982092211087,-2.4984968133954752,REVERSE
2018-03-05,K200,MOM1M,MOMENTUM,Q25,-0.05720127157210575,-4.926992897460067,REVERSE
2018-03-12,K200,MOM1M,MOMENTUM,Q25,-0.061977958837385994,-5.338429629242451,REVERSE
2018-03-19,K200,MOM1M,MOMENTUM,Q25,-0.04677802258240127,-4.029193384804212,REVERSE
2018-03-26,K200,MOM1M,MOMENTUM,Q25,-0.03211046781054816,-2.765813459885413,REVERSE
2018-04-02,K200,MOM1M,MOMENTUM,Q25,-0.023396032078158213,-2.0152014231453896,REVERSE
2018-04-09,K200,MOM1M,MOMENTUM,Q25,-0.005342554841652802,-0.46017735332916193,NEUTRAL
2018-04-16,K200,MOM1M,MOMENTUM,Q25,-0.005180794422382284,-0.44624422885602244,NEUTRAL
2018-04-23,K200,MOM1M,MOMENTUM,Q25,-0.014241462429045892,-1.226678748721572,REVERSE
2018-04-30,K200,MOM1M,MOMENTUM,Q25,0.026834832387222507,2.311400165461557,WORKING
2018-05-09,K200,MOM1M,MOMENTUM,Q25,0.01116944960840649,0.9620729990204137,NEUTRAL
2018-05-16,K200,MOM1M,MOMENTUM,Q25,0.03671769927179569,3.1626542304250442,WORKING
2018-05-24,K200,MOM1M,MOMENTUM,Q25,0.04693492465630178,4.042708038979864,WORKING
2018-05-31,K200,MOM1M,MOMENTUM,Q25,0.04982047929583966,4.291253339171566,WORKING
2018-06-08,K200,MOM1M,MOMENTUM,Q25,0.03692365502516637,3.180394090154722,WORKING
2018-06-18,K200,MOM1M,MOMENTUM,Q25,0.0007331357488458146,0.06314815262251734,NEUTRAL
