sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,left_state,right_state,n_left,n_right,mkt_1d_diff,mkt_5d_diff,mkt_20d_diff,a_fwd_5d_diff,a_fwd_20d_diff,b_fwd_5d_diff,b_fwd_20d_diff
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,67,81,0.0019803681599386246,0.0023489043999188964,0.02023294706480789,0.005199470686629614,0.006710244381906874,0.0025449303237202446,0.00813183432984947
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,14,18,0.006883208472548327,0.018968371169920464,0.003238754009043488,-0.004012830701130948,0.04896515052158784,-0.002217409830220254,0.00602380942944074
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,14,81,0.00411394349463076,0.01072141919579681,0.01257997030936995,0.013121527795111613,0.03891018271007303,-0.002021722820809478,0.004685549960633832
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,56,48,-0.001416113546915094,-0.002314742452353053,0.011197389801149751,0.00019854126152538858,-0.0018758147363264397,0.0018377476877122247,0.00021171995428612318
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,56,81,0.0004517720909238438,-0.0010471130949596655,0.004000940602741311,0.012071759686227581,0.012536933087673802,0.0011344484140712232,-0.0017377985831778294
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,45,24,0.00026869877348265075,0.0008297892108092887,0.010773722477453541,2.3401784392777878e-05,-0.04029150310389015,-0.006922051509836433,-0.011060498460043495
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,45,44,0.0008050415752317594,0.0018068025421054032,-0.0038587377423014704,0.005743949458526907,-0.003109764577967196,-0.0040160503371158875,-0.013592899051224981
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,62,31,0.0010234153469277727,0.0010535276504632985,0.007828462840060708,-0.0038980391617459554,-0.01366005261251335,-0.0022702478065953578,0.005635068860454269
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,62,44,0.0010521653501993895,-0.002718831068277649,-0.006023670341118316,0.008835242819226095,0.004916919735529894,-0.0004984265324916651,-0.009692312812143404
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,47,19,0.0016960591867552677,0.005027771185164959,0.0055250577079571615,-0.0030262884257649197,-0.03180176936171396,-0.0029682319151120044,-0.021503582886465523
