universe,cut_name,factor_a,factor_b,family_pair,contrast,outcome,train_diff,oos_diff,same_sign,signed_oos_confirmation
K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,mkt_1d_diff,0.00399904370106159,-0.002179996212505377,False,-0.002179996212505377
K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,mkt_1d_diff,0.0027589910423982495,0.0012375828618881183,True,0.0012375828618881183
K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,mkt_1d_diff,-0.0035207128357547203,0.004435642078999917,False,-0.004435642078999917
K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,mkt_1d_diff,-0.0028137853877498215,0.007953434006377123,False,-0.007953434006377123
K200,Q25,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,mkt_1d_diff,0.0025218830904333266,0.012059905158656101,True,0.012059905158656101
K200,Q25,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,mkt_1d_diff,-0.00034783418841854107,0.012549596635120338,False,-0.012549596635120338
K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_N,mkt_1d_diff,0.004389007727432444,-0.010702229524453313,False,-0.010702229524453313
K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_W,mkt_1d_diff,0.0018208261176298444,-0.010459776323791295,False,-0.010459776323791295
K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,mkt_1d_diff,0.0006516429252860639,0.011683650135914086,True,0.011683650135914086
K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,mkt_1d_diff,-0.0017519289791035773,0.012950128633755041,False,-0.012950128633755041
K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,mkt_1d_diff,0.003366962622338275,0.0004520778600701854,True,0.0004520778600701854
K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,mkt_1d_diff,0.0023480002009001032,0.0009642803181184145,True,0.0009642803181184145
K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,mkt_1d_diff,-0.0004592425484968888,0.0026621475713929366,False,-0.0026621475713929366
K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,mkt_1d_diff,-0.00046107531739530847,0.00914486747395985,False,-0.00914486747395985
K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,mkt_1d_diff,-0.0011885482969945776,-0.008598132341136688,True,0.008598132341136688
K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,mkt_1d_diff,0.005264808908512203,-0.002132259467253704,False,-0.002132259467253704
K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,mkt_1d_diff,-0.001154677406212523,0.0030900004821977035,False,-0.0030900004821977035
K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,mkt_1d_diff,0.0019290082194116504,0.00880103813417951,True,0.00880103813417951
