date,universe,BREADTH_20,BREADTH_60,DISPERSION_20,DISPERSION_60,ABS_OPPORTUNITY_20,RANGE_20,LEADER_STRENGTH_20,LOSER_WEAKNESS_20,WINNER_GAP_20,CROSS_HORIZON_RANK_CORR,PREV_RANK_CORR_20,RANK_TURNOVER_20,BREADTH_CHANGE_20,DISPERSION_CHANGE_20,AVG_PAIR_CORR_60,PC1_SHARE_60,FACTOR_VOL_MEDIAN_60,SIGN_ALIGNMENT_20_60,TARGET_RANK_CORR_20,TARGET_RANK_CORR_60,TARGET_TOP2_SURVIVAL_20,TARGET_TOP2_SAME_20,TARGET_FACTOR_MOM_20,CUR20_MOM1M,FWD20_MOM1M,CUR20_MOM12_1,FWD20_MOM12_1,CUR20_OP12_REV,FWD20_OP12_REV,CUR20_OPFY1_REV,FWD20_OPFY1_REV,CUR20_PBR12MF,FWD20_PBR12MF,CUR20_PER12MF,FWD20_PER12MF,CUR20_PRIVATE_FLOW,FWD20_PRIVATE_FLOW,CUR20_FOREIGN_FLOW,FWD20_FOREIGN_FLOW,LEADER_ABS_SHARE_20,TOP2_ABS_SHARE_20,LEADER_Z_20,TOP2_PREMIUM_20,EXTREME_RANGE_RATIO_20,TARGET_TOP2_RELATIVE_LOSS_20,TARGET_TOP2_DROP_SHARE_20,TARGET_WORST_LEADER_LOSS_20,TARGET_REVERSAL_GAP_20
2016-04-01,K200,0.875,0.75,0.0253055097693221,0.1133093781041602,0.0283796477038588,0.0782099961554783,0.0370335015497756,0.0411764946057026,0.0114907075821384,0.1428571428571428,0.1666666666666667,0.8333333333333333,0.5,-0.1104260289052665,-0.0450505682900931,0.6026823691374555,0.0260467365803247,0.625,0.523809523809524,-0.9285714285714288,1.0,0.5,0.0248871704280188,0.0039886178266381,0.0221309776140041,0.0106151113418209,-0.0610861995765708,0.0311544254167772,-0.0022390330355368,0.0513848729418102,0.0140831624278443,0.0302548915358029,0.0445215131887086,0.0628755805239487,0.0256399650190017,0.021429266412543,-0.024610241013122,-0.0153344156315295,-0.0321821910231956,0.2769395747088478,0.503267582186295,1.4634560570943933,0.0312881477587065,2.755848027840173,-0.021579319523281314,0.0,-0.0140831624278443,-0.02488717042801875
2016-04-08,K200,0.75,0.375,0.0299316014842867,0.1375722279337397,0.0270262250386115,0.0884080110359106,0.0453288849526178,0.0430791260832927,0.0238991122659055,-0.4761904761904762,-0.6904761904761906,1.690476190476191,0.25,-0.0832854378080902,-0.0346842485549409,0.5593614805728557,0.0234225334713781,0.375,-0.0476190476190476,-0.7619047619047621,0.0,0.0,0.0060228806049217,0.0072658793610951,0.0169525132982832,0.0331804262361798,-0.0341005149182004,0.0415126764011009,-0.0129545025266348,0.0654117886670064,-0.0065261007720505,-0.0123331098710522,0.0055002354432773,0.032899928067682,0.006399987037688,0.0006097693358717,0.0032790125311266,-0.0229962223689041,-0.0370265999518063,0.3025384999826771,0.4945403257176486,1.5144156244501095,0.0333793288196651,3.2711934763217854,0.0024308054170530356,1.0,0.0129545025266348,-0.00602288060492185
2016-04-18,K200,0.75,0.375,0.0340578367745829,0.1890041666552873,0.0334828094826829,0.0914314678131195,0.0404039548445088,0.0510275129686106,0.0072453807525403,0.380952380952381,0.1666666666666667,0.8333333333333333,0.375,-0.0094472879606314,-0.0328127776772126,0.5408450021581666,0.022518441026653,0.625,-0.3333333333333334,-0.8571428571428572,0.5,0.0,-0.0144584099520087,0.0063318993679881,0.0368406174953046,-0.024462697206654,0.0391298513137907,0.051333366697343,-0.012173254957841,0.0597233898539251,-0.006107463280532,0.0454034456193799,-0.0602997060037223,0.0669687706064654,-0.0491698030096718,0.0077261859045332,0.0122181660106091,-0.005912720605175,-0.0654902976999771,0.25001176589251384,0.47297464884896623,1.1863335628721428,0.0367812644682387,2.7306988041253533,0.014507146878596925,0.5,0.0491698030096718,0.0144584099520087
2016-04-25,K200,0.625,0.375,0.0416724059608165,0.2083388631061691,0.0351636397849229,0.1306878738440895,0.0562636254623842,0.0744242483817052,0.0267741413982791,0.6904761904761906,0.4761904761904762,0.5238095238095237,0.375,0.0052861315886315,-0.0218683995839331,0.5591225884241099,0.0227165710948114,0.5,-0.5952380952380953,-0.8095238095238096,0.5,0.0,-0.0416785790228202,0.0465186995964599,0.0101094676765831,-0.0573950328493504,0.0617431595911686,0.0110948215058059,-0.0022811048087547,0.0229636095589036,-0.0044492876004004,0.0732928409947391,-0.0796244528535055,0.0463582665356814,-0.0569756267452343,-0.0086338104463179,0.0390536564259831,-0.0150520367921249,-0.0479009867224504,0.26054200248833764,0.42590706381656557,1.350141038539689,0.04287655476324475,3.7165627518492705,0.024716845708884883,0.5,0.0796244528535055,0.041678579022820295
2016-05-02,K200,0.5,0.375,0.035217644778932,0.1795693802986799,0.028311660362248,0.1056077127652794,0.0385994484925549,0.0670082642727245,0.0188815481697068,0.7857142857142858,0.523809523809524,0.476190476190476,-0.375,0.0099121350096099,-0.021711220282949,0.584052119214214,0.0219447814531373,0.625,-0.7619047619047621,-0.4285714285714286,0.0,0.0,-0.0867472845512012,0.0221309776140041,-0.0148543604885379,-0.0610861995765708,0.0712401685381491,-0.0022390330355368,-0.0034967922156065,0.0140831624278443,-0.0076845948653476,0.0445215131887086,-0.0791388670089323,0.0256399650190017,-0.0682203779940492,-0.024610241013122,0.0272293775904122,-0.0321821910231956,-0.0451048444387283,0.19656880159559428,0.3097728873456796,1.096025834062756,0.029158674407701403,3.7301843626981825,0.05867583614116069,1.0,0.0791388670089323,0.08674728455120115
2016-05-11,K200,0.5,0.5,0.0195891570650705,0.1158834568845142,0.0153424333098834,0.0539791132500896,0.0185760574187452,0.0354030558313444,0.0105525262605952,0.8095238095238096,-0.0476190476190476,1.0476190476190477,-0.25,-0.0103424444192161,-0.0127258317184667,0.541023416132581,0.0203948357412857,1.0,-0.380952380952381,0.380952380952381,0.0,0.0,-0.0261039662697008,0.0169525132982832,-0.0071741290362169,-0.0341005149182004,0.0343074738196154,-0.0129545025266348,0.0069532168054302,-0.0065261007720505,0.013394278837874,0.0055002354432773,-0.0166985284976788,0.006399987037688,-0.0364943834892647,0.0032790125311266,0.0042828006889521,-0.0370265999518063,-0.0257680538056953,0.13811786693055578,0.1902607287278205,0.9482826319192751,0.01329979428844755,3.5182889284789582,0.0184345906781178,1.0,0.0364943834892647,0.02610396626970085
2016-05-18,K200,0.375,0.625,0.0417242048599522,0.0424984406555928,0.0351786449714311,0.1046201490137679,0.0482702104329773,0.0563499385807906,0.0022892338184861,-0.0952380952380952,-0.3333333333333334,1.3333333333333337,-0.375,0.0076663680853692,0.0642236413981252,0.4501093823662496,0.0175292856318645,0.5,0.5476190476190477,0.3333333333333334,0.5,0.5,0.0147251314569331,0.0368406174953046,-0.0176067460005893,0.0391298513137907,0.0208583375805406,-0.012173254957841,0.0067206944835165,-0.006107463280532,0.0180900433452508,-0.0602997060037223,-0.0209239248984649,-0.0491698030096718,-0.040620885913444,0.0122181660106091,0.0042642160779702,-0.0654902976999771,-0.00527474643545,0.1390397901396161,0.26994526391931695,1.1568874852138415,0.047125593523734154,2.9739675618185655,-0.0059374222600594145,0.5,0.0176067460005893,-0.0147251314569331
2016-05-25,K200,0.375,0.625,0.0486075686620873,0.0411705010110696,0.03776721780301,0.1413676124446741,0.0651083557957462,0.0762592566489279,0.0226895031651854,-0.4285714285714286,-0.5952380952380953,1.5952380952380951,-0.25,0.0069351627012707,0.0531706777338975,0.4478592778210177,0.0175843297218207,0.5,-0.1666666666666667,0.1428571428571428,0.5,0.0,0.002209748466007,0.0101094676765831,-0.0317971418432474,0.0617431595911686,-0.000418009413849,-0.0022811048087547,0.0211649871884178,-0.0044492876004004,0.0305440780133141,-0.0796244528535055,-0.0050408233355999,-0.0569756267452343,-0.0217811855506778,0.0390536564259831,-0.0219845025404146,-0.0479009867224504,0.0073347360217539,0.20435434214804582,0.3336121307071708,1.339469502133915,0.053763604213153404,3.7431301713044705,0.008454023294593938,0.5,0.0219845025404146,-0.002209748466007048
2016-06-01,K200,0.25,0.75,0.0496545949429673,0.0431773848733104,0.0396211728924704,0.1503790355470815,0.0825096462150919,0.0678693893319895,0.0440107909477369,0.6428571428571429,-0.7619047619047621,1.761904761904762,-0.25,0.0144369501640353,0.108294679223729,0.3900075550901715,0.0152016822485841,0.5,0.2380952380952381,0.0476190476190476,0.5,0.0,0.023558153065338,-0.0148543604885379,-0.016492600236757,0.0712401685381491,0.0158677745135173,-0.0034967922156065,0.0177138097536293,-0.0076845948653476,0.0211530439906257,-0.0791388670089323,-0.03131367883084,-0.0682203779940492,-0.02828034674107,0.0272293775904122,-0.0283454939547513,-0.0451048444387283,0.0243411115808296,0.2247541003250045,0.3106594875289345,1.6616719220016074,0.060504250741223405,3.795421098592956,0.003069312230014951,0.5,0.0283454939547513,-0.023558153065337997
2016-06-09,K200,0.5,0.75,0.0228560053598535,0.0462428655803694,0.0181341081225909,0.0708018573088801,0.0357531379932478,0.0350487193156323,0.0209131949817413,0.8333333333333335,-0.380952380952381,1.380952380952381,0.0,0.0032668482947829,0.1040786005824715,0.3921850971978648,0.0154176246539827,0.75,0.6666666666666669,0.2380952380952381,1.0,0.5,0.035336487619289,-0.0071741290362169,-0.0197920905374817,0.0343074738196154,0.0268351047527934,0.0069532168054302,0.030102080116874,0.013394278837874,0.013803070389005,-0.0166985284976788,-0.05007245037105,-0.0364943834892647,-0.0500843065572644,0.0042828006889521,-0.014441415067508,-0.0257680538056953,0.0200495064604848,0.23648443024939964,0.3288123706926617,1.564277634273225,0.0252965405023771,3.9043473674162827,-0.025769150172667562,0.0,-0.013803070389005,-0.035336487619289
