code,name,market
A0001A0,덕양에너젠,KOSDAQ
A0004V0,엔비알모션,KOSDAQ
A0007C0,아크릴,KOSDAQ
A0007J0,인벤테라,KOSDAQ
A0008Z0,에스엔시스,KOSDAQ
A0009K0,에임드바이오,KOSDAQ
A0010F0,보원케미칼,KOSDAQ
A0010V0,제이피아이헬스케어,KOSDAQ
A0011A0,액스비스,KOSDAQ
A0011T0,채비,KOSDAQ
A0013V0,삼진식품,KOSDAQ
A0015G0,그린광학,KOSDAQ
A0015N0,아로마티카,KOSDAQ
A0015S0,페스카로,KOSDAQ
A0017J0,세미티에스,KOSDAQ
A002800,신신제약,KOSDAQ
A003380,하림지주,KOSDAQ
A004440,삼일씨엔에스,KOSPI
A006620,동구바이오제약,KOSDAQ
A007680,대원,KOSDAQ
A0082N0,카나프테라퓨틱스,KOSDAQ
A0088M0,메쥬,KOSDAQ
A009900,명신산업,KOSPI
A010400,우진아이엔에스,KOSPI
A0117P0,피스피스스튜디오,KOSDAQ
