factor,first_rows,last_rows,endpoint_jaccard,first_only,last_only,first_factor_rows_that_later_exit_listing,last_factor_rows_that_are_post2016_entries
MOM1M,664,730,0.9069767441860465,1,67,0,228
MOM12_1,664,730,0.9069767441860465,1,67,0,228
OP12_REV,664,730,0.9069767441860465,1,67,0,228
OPFY1_REV,664,730,0.9069767441860465,1,67,0,228
PBR12MF,664,730,0.9069767441860465,1,67,0,228
PER12MF,664,730,0.9069767441860465,1,67,0,228
PRIVATE_FLOW,664,730,0.9069767441860465,1,67,0,228
FOREIGN_FLOW,664,730,0.9069767441860465,1,67,0,228
