universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight
KOSDAQ,ACT1_LOW05,BULL_2025,0,10,0.7300264768086453,0.7787071219819997,0.6720466921853914,-0.15509012135098876,-0.1663476443247348,2.496331765214117,2.3947403030914773,10.202928692835291,95.66666666666666,0.03252604166666667
KOSDAQ,ACT1_LOW05,BULL_2025,30,10,0.6766811090844621,0.7247189396597475,0.6216128256117601,-0.15816626742452872,-0.16946425601296422,2.3650319438378213,2.257003946173994,10.202928692835291,95.66666666666666,0.03252604166666667
KOSDAQ,ACT1_LOW05,BULL_2025,60,10,0.6253614007215588,0.6723063264620833,0.5726405312043292,-0.16123495030285184,-0.1725731147346884,2.2321483028274796,2.1182703360676585,10.202928692835291,95.66666666666666,0.03252604166666667
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,0,10,0.04167413983155377,0.044844407513921866,0.01575789280799289,-0.3148134538865375,-0.3236302237009553,0.29967549151669287,0.18009937487400782,8.878989330121023,81.53125,0.03701171875
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,30,10,0.014275606891932413,0.017366057267452495,-0.010925705268715724,-0.3263732421659935,-0.3463425788390522,0.17294821774408486,0.05442725729093236,8.878989330121023,81.53125,0.03701171875
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,60,10,-0.012431458474677304,-0.00941883420197841,-0.03693677722132915,-0.34544523765530993,-0.36857695042777283,0.04634181855456913,-0.07120898441052406,8.878989330121023,81.53125,0.03701171875
KOSDAQ,ACT1_LOW05,FULL_2016_2026,0,10,0.10776975028252045,0.10832003166319566,0.08573277424124393,-0.4583891720432971,-0.4831363358988521,0.5042625316090357,0.4327100215905667,9.808084011997135,90.56589147286822,0.033757267441860465
KOSDAQ,ACT1_LOW05,FULL_2016_2026,30,10,0.07567891691231798,0.07616436374076814,0.05417190792408588,-0.481999878322689,-0.5084385517487726,0.40009912090680355,0.32837396270299046,9.808084011997135,90.56589147286822,0.033757267441860465
KOSDAQ,ACT1_LOW05,FULL_2016_2026,60,10,0.0444808240325153,0.044904610194745544,0.02349201933886902,-0.5052531316619135,-0.5327209788899261,0.29574786930145536,0.22406841901011176,9.808084011997135,90.56589147286822,0.033757267441860465
KOSDAQ,ACT1_LOW05,LATE_2020_2022,0,10,0.05165786419417617,0.0530593815156362,0.036874211470173,-0.40468836095441924,-0.41780699604482696,0.31848480695349257,0.2704624222435809,10.383171790035968,94.29054054054055,0.032854729729729734
KOSDAQ,ACT1_LOW05,LATE_2020_2022,30,10,0.019365033134856824,0.020798212860618448,0.005495319115415898,-0.40732567636720035,-0.4288796990148931,0.2127659020194227,0.16635235954358443,10.383171790035968,94.29054054054055,0.032854729729729734
KOSDAQ,ACT1_LOW05,LATE_2020_2022,60,10,-0.011974747840342304,-0.010513155646379424,-0.024971191240259705,-0.41535387352295006,-0.44249528556181605,0.10708056973465083,0.06221437061600765,10.383171790035968,94.29054054054055,0.032854729729729734
KOSDAQ,ACT1_LOW05,NORMAL_2023_2024,0,10,0.07638494729454992,0.068506330726358,0.02070996103674516,-0.33613894897586083,-0.36535410833858306,0.4206071179604285,0.20819819641017445,10.173670779010774,97.41220238095238,0.030803571428571423
