universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,vol,sharpe,calmar,worst_20d,annual_turnover,avg_rebalance_turnover,n_rebalances,avg_n_names,avg_hhi,avg_top_weight,avg_missing_return_weight
KOSDAQ,ACT1_LOW05,0,FULL_2016_2026,0,2579,0.11617886651130038,-0.4688176699657113,0.28161904111709113,0.5314952452531942,0.24781247370603066,-0.3888786279894647,9.80335689528606,0.3888713152599782,258,90.66666666666667,0.014899467054263565,0.03359980620155038,0.0
KOSDAQ,ACT1_LOW05,0,FULL_2016_2026,30,2579,0.08381081019563141,-0.4933575705070544,0.2816962184465931,0.4269370766479611,0.16987843139711792,-0.3903286973289385,9.80335689528606,0.3888713152599782,258,90.66666666666667,0.014899467054263565,0.03359980620155038,0.0
KOSDAQ,ACT1_LOW05,0,FULL_2016_2026,60,2579,0.0523440858061639,-0.516788696921789,0.28188674581574097,0.3223065292528435,0.10128721103605266,-0.39177704649812795,9.80335689528606,0.3888713152599782,258,90.66666666666667,0.014899467054263565,0.03359980620155038,0.0
KOSDAQ,ACT1_LOW05,0,PRE_STRESS_2016_2024,0,2190,0.04962702743252789,-0.4688176699657113,0.2507611725982055,0.31913662107457125,0.10585571025118902,-0.3888786279894647,9.67810433861538,0.3840517594688642,219,89.44748858447488,0.015165525114155252,0.033989726027397256,0.0
KOSDAQ,ACT1_LOW05,0,PRE_STRESS_2016_2024,30,2190,0.0195723637671803,-0.4933575705070544,0.25083698801206955,0.2032948902023159,0.0396717612888043,-0.3903286973289385,9.67810433861538,0.3840517594688642,219,89.44748858447488,0.015165525114155252,0.033989726027397256,0.0
KOSDAQ,ACT1_LOW05,0,PRE_STRESS_2016_2024,60,2190,-0.009656024416740183,-0.516788696921789,0.2510371214096744,0.08747982143110918,-0.018684666429926833,-0.39177704649812795,9.67810433861538,0.3840517594688642,219,89.44748858447488,0.015165525114155252,0.033989726027397256,0.0
KOSDAQ,ACT1_LOW05,0,EARLY_2016_2019,0,959,0.04049214795520939,-0.31943766635652304,0.21015248538464099,0.29435499583405583,0.12676071803635164,-0.22182388208285564,8.889812026402927,0.3524028494262734,96,81.51041666666667,0.016791178385416668,0.03684895833333333,0.0
KOSDAQ,ACT1_LOW05,0,EARLY_2016_2019,30,959,0.013094537661666017,-0.3328624230116972,0.2102693693757647,0.1674038339250191,0.03933918867497356,-0.22357693505417298,8.889812026402927,0.3524028494262734,96,81.51041666666667,0.016791178385416668,0.03684895833333333,0.0
KOSDAQ,ACT1_LOW05,0,EARLY_2016_2019,60,959,-0.013610977684153869,-0.3534039338191436,0.21051372489214645,0.04056915160976524,-0.038513939381103104,-0.22532801301866867,8.889812026402927,0.3524028494262734,96,81.51041666666667,0.016791178385416668,0.03684895833333333,0.0
KOSDAQ,ACT1_LOW05,0,LATE_2020_2022,0,742,0.06336519462765566,-0.4004363114699957,0.2954764467555413,0.35590682279194336,0.15824038133565607,-0.3888786279894647,10.438793578968783,0.4098193034706264,75,94.52,0.014278125,0.03275,0.0
KOSDAQ,ACT1_LOW05,0,LATE_2020_2022,30,742,0.0305603519640798,-0.4031302248018469,0.29577265344291703,0.2498973779690425,0.07580764250336555,-0.3903286973289385,10.438793578968783,0.4098193034706264,75,94.52,0.014278125,0.03275,0.0
