universe,policy,cost_bps,period,cagr,sharpe,mdd,avg_exposure,annual_allocator_turnover,n_days
K200,B_ONLY_PROB,0,TRAIN_2016_2022,0.009245252163760265,0.13685772327906462,-0.40069351044827295,0.849273382188548,2.4622519402776866,1660
K200,B_ONLY_PROB,0,OOS_2023_2024,0.04259637572770414,0.3401326442959705,-0.16143011138027874,0.8516748746952104,3.278026313880548,489
K200,B_ONLY_PROB,0,BULL_2025,0.6059253008309426,2.8720613681450455,-0.11945124359187631,0.7717826093900427,2.280244499791419,242
K200,B_ONLY_PROB,0,YTD_2026,0.6543538301400269,1.2359193719103354,-0.3353672665433185,0.7306402341846562,1.6776084432104532,147
K200,B_ONLY_PROB,10,TRAIN_2016_2022,0.006763602730000873,0.12098552174702655,-0.4046356261836742,0.849273382188548,2.4622519402776866,1660
K200,B_ONLY_PROB,10,OOS_2023_2024,0.03917506998308995,0.31961306311258625,-0.1620589119991599,0.8516748746952104,3.278026313880548,489
K200,B_ONLY_PROB,10,BULL_2025,0.6022563949460915,2.857549078456574,-0.1194512435918762,0.7717826093900427,2.280244499791419,242
K200,B_ONLY_PROB,10,YTD_2026,0.6516549662515472,1.2328538277568404,-0.3354861951047702,0.7306402341846562,1.6776084432104532,147
K200,B_ONLY_PROB,30,TRAIN_2016_2022,0.0018172614843858792,0.0892355326814338,-0.41244427911236603,0.849273382188548,2.4622519402776866,1660
K200,B_ONLY_PROB,30,OOS_2023_2024,0.03236424816004502,0.27860032170375504,-0.1633153902522705,0.8516748746952104,3.278026313880548,489
K200,B_ONLY_PROB,30,BULL_2025,0.5949418285966828,2.8284507818035385,-0.11958239857811337,0.7717826093900427,2.280244499791419,242
K200,B_ONLY_PROB,30,YTD_2026,0.6462684021557923,1.2267137754902515,-0.33572405222767443,0.7306402341846562,1.6776084432104532,147
K200,B_FSUB_PROB,0,TRAIN_2016_2022,0.010119792241796155,0.14246206057444943,-0.39919764646070555,0.8492325466248557,3.262056083713073,1660
K200,B_FSUB_PROB,0,OOS_2023_2024,0.04281739419343622,0.33834475244317436,-0.17167996817272058,0.8527505874350078,4.376372615361304,489
K200,B_FSUB_PROB,0,BULL_2025,0.6451319135823548,2.9591302885549293,-0.11478433897811424,0.8005193447762607,2.9465949957897903,242
K200,B_FSUB_PROB,0,YTD_2026,0.6566740335453618,1.1947556029170057,-0.3533386529815451,0.7685521435765719,2.1361374603508674,147
K200,B_FSUB_PROB,10,TRAIN_2016_2022,0.006830874268877629,0.12148329608431004,-0.40392665546134177,0.8492325466248557,3.262056083713073,1660
