universe,policy,cost_bps,period,cagr,sharpe,mdd,avg_exposure,annual_allocator_turnover,n_days,base_cagr,base_sharpe,base_mdd,base_avg_exposure,base_turn,delta_cagr,delta_sharpe,delta_mdd,delta_avg_exposure,delta_turn
K200,B_FSUB_PROB,0,TRAIN_2016_2022,0.010119792241796155,0.14246206057444943,-0.39919764646070555,0.8492325466248557,3.262056083713073,1660,0.009245252163760265,0.13685772327906462,-0.40069351044827295,0.849273382188548,2.4622519402776866,0.0008745400780358903,0.005604337295384815,0.001495863987567403,-4.0835563692276367e-05,0.7998041434353866
K200,B_FSUB_PROB,0,OOS_2023_2024,0.04281739419343622,0.33834475244317436,-0.17167996817272058,0.8527505874350078,4.376372615361304,489,0.04259637572770414,0.3401326442959705,-0.16143011138027874,0.8516748746952104,3.278026313880548,0.00022101846573208128,-0.001787891852796153,-0.010249856792441836,0.001075712739797341,1.0983463014807562
K200,B_FSUB_PROB,0,BULL_2025,0.6451319135823548,2.9591302885549293,-0.11478433897811424,0.8005193447762607,2.9465949957897903,242,0.6059253008309426,2.8720613681450455,-0.11945124359187631,0.7717826093900427,2.280244499791419,0.03920661275141213,0.08706892040988379,0.0046669046137620684,0.028736735386218015,0.6663504959983713
K200,B_FSUB_PROB,0,YTD_2026,0.6566740335453618,1.1947556029170057,-0.3533386529815451,0.7685521435765719,2.1361374603508674,147,0.6543538301400269,1.2359193719103354,-0.3353672665433185,0.7306402341846562,1.6776084432104532,0.0023202034053348974,-0.04116376899332974,-0.0179713864382266,0.03791190939191569,0.45852901714041416
K200,B_FSUB_PROB,10,TRAIN_2016_2022,0.006830874268877629,0.12148329608431004,-0.40392665546134177,0.8492325466248557,3.262056083713073,1660,0.006763602730000873,0.12098552174702655,-0.4046356261836742,0.849273382188548,2.4622519402776866,6.727153887675641e-05,0.0004977743372834853,0.0007089707223324471,-4.0835563692276367e-05,0.7998041434353866
K200,B_FSUB_PROB,10,OOS_2023_2024,0.03824759798819044,0.3114106794817805,-0.17263917968098852,0.8527505874350078,4.376372615361304,489,0.03917506998308995,0.31961306311258625,-0.1620589119991599,0.8516748746952104,3.278026313880548,-0.0009274719948995092,-0.008202383630805776,-0.010580267681828626,0.001075712739797341,1.0983463014807562
K200,B_FSUB_PROB,10,BULL_2025,0.6402711678110184,2.940376391133244,-0.11489878572610723,0.8005193447762607,2.9465949957897903,242,0.6022563949460915,2.857549078456574,-0.1194512435918762,0.7717826093900427,2.280244499791419,0.03801477286492694,0.08282731267667032,0.004552457865768966,0.028736735386218015,0.6663504959983713
K200,B_FSUB_PROB,10,YTD_2026,0.6531908984766301,1.1909627946197106,-0.35352261796896356,0.7685521435765719,2.1361374603508674,147,0.6516549662515472,1.2328538277568404,-0.3354861951047702,0.7306402341846562,1.6776084432104532,0.00153593222508297,-0.04189103313712983,-0.01803642286419338,0.03791190939191569,0.45852901714041416
K200,B_FSUB_PROB,30,TRAIN_2016_2022,0.0002833365019885292,0.079516724561776,-0.413275818596882,0.8492325466248557,3.262056083713073,1660,0.0018172614843858792,0.0892355326814338,-0.41244427911236603,0.849273382188548,2.4622519402776866,-0.00153392498239735,-0.009718808119657807,-0.0008315394845159751,-4.0835563692276367e-05,0.7998041434353866
K200,B_FSUB_PROB,30,OOS_2023_2024,0.029165421973017525,0.25761686803812656,-0.1745547106234714,0.8527505874350078,4.376372615361304,489,0.03236424816004502,0.27860032170375504,-0.1633153902522705,0.8516748746952104,3.278026313880548,-0.0031988261870274926,-0.020983453665628482,-0.0112393203712009,0.001075712739797341,1.0983463014807562
