predictor_type,definition,universe,forward_horizon,high_minus_low_train,diff_tstat_train,high_minus_low_oos,diff_tstat_oos,same_sign,oos_confirmed,abs_oos_hl
FACTOR_BREADTH,FACTOR_10D,K200,1,0.0006752099382407596,0.5235452642236178,-0.0022670936757896052,-0.6416352227844871,False,-0.0022670936757896052,0.0022670936757896052
FACTOR_BREADTH,FACTOR_10D,K200,5,-0.0003021517888220479,-0.10033880835653505,-0.0031694549769814306,-0.48955093925094556,True,0.0031694549769814306,0.0031694549769814306
FACTOR_BREADTH,FACTOR_10D,K200,20,0.0031266401707661737,0.48319350729695715,0.014439464214293266,0.9498565460695759,True,0.014439464214293266,0.014439464214293266
FACTOR_BREADTH,FACTOR_10D,KOSDAQ,1,0.0019635348526664794,1.2814052178487603,-0.002449974106336617,-0.7013124440945884,False,-0.002449974106336617,0.002449974106336617
FACTOR_BREADTH,FACTOR_10D,KOSDAQ,5,0.003274912066380869,0.8560062618623703,-0.00764114721104956,-1.248926201345338,False,-0.00764114721104956,0.00764114721104956
FACTOR_BREADTH,FACTOR_10D,KOSDAQ,20,-0.0055229397970319805,-0.7243461824998976,-0.009433640149038447,-0.7756603029231802,True,0.009433640149038447,0.009433640149038447
FACTOR_BREADTH,FACTOR_10D,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.0007068211965237636,-0.5092073947553835,-0.005110297382366987,-1.6235045216012793,True,0.005110297382366987,0.005110297382366987
FACTOR_BREADTH,FACTOR_10D,KOSDAQ_PLUS_KOSPI_EX_K200,5,0.001354741810231606,0.37926443247177066,-0.008246834272593043,-1.5091784572548472,False,-0.008246834272593043,0.008246834272593043
FACTOR_BREADTH,FACTOR_10D,KOSDAQ_PLUS_KOSPI_EX_K200,20,-0.002229753678143543,-0.3130056549811949,-0.021417540661030934,-1.968126923858071,True,0.021417540661030934,0.021417540661030934
FACTOR_BREADTH,FACTOR_10D,KOSPI_ALL,1,0.0005801119311983267,0.43666099920469653,-0.0010704720619719062,-0.28171452955445747,False,-0.0010704720619719062,0.0010704720619719062
FACTOR_BREADTH,FACTOR_10D,KOSPI_ALL,5,-0.001418581066297192,-0.47149134539032345,-0.0006151343528412118,-0.1001056828499602,True,0.0006151343528412118,0.0006151343528412118
FACTOR_BREADTH,FACTOR_10D,KOSPI_ALL,20,-0.0007810633281766731,-0.1219619107214247,0.00604218323994438,0.4092760401523774,False,-0.00604218323994438,0.00604218323994438
FACTOR_BREADTH,FACTOR_10D,KOSPI_EX_K200,1,0.0005744587922073106,0.4568217091244699,-0.0016851700781693498,-0.6180922991063877,False,-0.0016851700781693498,0.0016851700781693498
FACTOR_BREADTH,FACTOR_10D,KOSPI_EX_K200,5,0.0016598136230178662,0.4885516661737681,-0.002131789268617204,-0.4412660552940458,False,-0.002131789268617204,0.002131789268617204
