predictor_type,definition,forward_horizon,n_universes,same_sign_rate,median_oos_confirmed,median_abs_oos_hl,median_abs_oos_hl_same_sign,mean_abs_oos_tstat
FACTOR_BREADTH,FACTOR_10D,1,6,0.16666666666666666,-0.0013778210700706281,0.0019761318769794776,0.005110297382366987,0.6723495156219229
FACTOR_BREADTH,FACTOR_10D,5,6,0.3333333333333333,-0.0014378670535244214,0.002650622122799317,0.0018922946649113212,0.6533043926873409
FACTOR_BREADTH,FACTOR_10D,20,6,0.6666666666666666,0.009018339165497644,0.009018339165497644,0.011936552181665856,0.7968924680299527
FACTOR_BREADTH,FACTOR_20D,1,6,0.6666666666666666,0.0002816172198235175,0.0008064986884561811,0.0006337612550682771,0.3437781146339422
FACTOR_BREADTH,FACTOR_20D,5,6,0.6666666666666666,0.003790616389578679,0.0057029718882126825,0.005490677713241446,1.0218523451357038
FACTOR_BREADTH,FACTOR_20D,20,6,0.8333333333333334,0.017269767696275477,0.020958348200091247,0.026817090762083495,1.5590804365834627
FACTOR_BREADTH,FACTOR_40D,1,6,0.5,-0.0005095056592717485,0.0020579364610136064,0.0018042458264985362,0.8287273490307929
FACTOR_BREADTH,FACTOR_40D,5,6,0.3333333333333333,-0.0012019562737530486,0.0012019562737530486,0.00033192394009975653,0.5720973881445749
FACTOR_BREADTH,FACTOR_40D,20,6,0.3333333333333333,-0.002518146755133931,0.005213638105886155,0.007538282301569787,0.5555464662522728
FACTOR_BREADTH,FACTOR_5D,1,6,0.16666666666666666,-0.0022492383749829403,0.0030985997136666575,0.0030711610462929194,0.8393007895932266
FACTOR_BREADTH,FACTOR_5D,5,6,0.16666666666666666,-0.002504368001758145,0.002504368001758145,0.0008266971982009777,0.346525794773833
FACTOR_BREADTH,FACTOR_5D,20,6,0.16666666666666666,-0.005550987475577202,0.006378473309048331,0.006779777520067452,0.6493544709472692
LIQUIDITY_BREADTH,LIQ_10D_VS_20D,1,6,0.16666666666666666,-0.0022518645576274057,0.0022518645576274057,0.0007610379492114421,0.5041101316906149
LIQUIDITY_BREADTH,LIQ_10D_VS_20D,5,6,0.6666666666666666,0.005750286871359011,0.01023286694663349,0.008519040320214503,1.3671902787023476
LIQUIDITY_BREADTH,LIQ_10D_VS_20D,20,6,0.6666666666666666,0.008639999679557885,0.00890418100097164,0.016278038082038936,0.8186722417129638
LIQUIDITY_BREADTH,LIQ_1D_VS_20D,1,6,0.5,0.0010211173755297481,0.003072612374482497,0.0034505669604941815,0.6648983127580799
LIQUIDITY_BREADTH,LIQ_1D_VS_20D,5,6,0.6666666666666666,0.01180336226966415,0.012461997722660201,0.014735418827157926,1.5155547303467907
LIQUIDITY_BREADTH,LIQ_1D_VS_20D,20,6,1.0,0.019243694910693727,0.019243694910693727,0.019243694910693727,1.192688944555982
LIQUIDITY_BREADTH,LIQ_20D_VS_60D,1,6,1.0,0.0007739810963352583,0.0007739810963352583,0.0007739810963352583,0.30390254894510565
LIQUIDITY_BREADTH,LIQ_20D_VS_60D,5,6,0.3333333333333333,-0.0057592119575304475,0.00896473756550411,0.009369111945481377,1.0632651752177484
LIQUIDITY_BREADTH,LIQ_20D_VS_60D,20,6,0.3333333333333333,-0.02250081684341785,0.02525033713729219,0.022298928113369226,1.6394079279059108
LIQUIDITY_BREADTH,LIQ_5D_VS_20D,1,6,0.16666666666666666,-0.0018065571181175456,0.0018065571181175456,0.0005495492895780836,0.35321232220711624
LIQUIDITY_BREADTH,LIQ_5D_VS_20D,5,6,0.8333333333333334,0.014258952193255263,0.014456407943272968,0.014393375700897269,1.8238320331672881
LIQUIDITY_BREADTH,LIQ_5D_VS_20D,20,6,0.6666666666666666,0.01336871064428597,0.02194827240281389,0.019490914341236648,1.4236296882888135
