date,variant,k200_count,n_eligible,eligible_share,baseline_top20_overlap,rank_ic
2016-01-04,MOM12_1_BASE,190,166,0.8736842105263158,1.0,0.27239558499365407
2016-01-04,MOM12_1_1M_POS,190,49,0.2578947368421053,0.55,0.04428571428571428
2016-01-04,MOM12_1_1M_ABOVE_MEDIAN,190,83,0.4368421052631579,0.85,0.18857310776205868
2016-01-04,MOM12_1_1M_KEEP_TOP70PCT,190,117,0.6157894736842106,0.95,0.23132371232897236
2016-01-04,MOM12_1_PLUS_1M_RANK_W10,190,166,0.8736842105263158,0.9,0.2852814150949455
2016-01-04,MOM12_1_PLUS_1M_RANK_W20,190,166,0.8736842105263158,0.8,0.3122714712952464
2016-01-04,MOM12_1_PLUS_1M_RANK_W30,190,166,0.8736842105263158,0.75,0.32964213475657794
2016-01-18,MOM12_1_BASE,190,185,0.9736842105263158,1.0,0.07659110723626852
2016-01-18,MOM12_1_1M_POS,190,63,0.33157894736842103,0.7,0.09375
2016-01-18,MOM12_1_1M_ABOVE_MEDIAN,190,93,0.48947368421052634,0.7,0.1052191817612127
2016-01-18,MOM12_1_1M_KEEP_TOP70PCT,190,130,0.6842105263157895,0.85,0.17098963525379288
2016-01-18,MOM12_1_PLUS_1M_RANK_W10,190,185,0.9736842105263158,0.9,0.07219122871693921
2016-01-18,MOM12_1_PLUS_1M_RANK_W20,190,185,0.9736842105263158,0.8,0.06957326012512434
2016-01-18,MOM12_1_PLUS_1M_RANK_W30,190,185,0.9736842105263158,0.7,0.06590652147364151
2016-02-01,MOM12_1_BASE,190,184,0.968421052631579,1.0,-0.503756429273179
2016-02-01,MOM12_1_1M_POS,190,78,0.4105263157894737,0.55,-0.5284462373069968
2016-02-01,MOM12_1_1M_ABOVE_MEDIAN,190,92,0.4842105263157895,0.65,-0.5448730792349306
2016-02-01,MOM12_1_1M_KEEP_TOP70PCT,190,129,0.6789473684210526,0.8,-0.5550424865831843
2016-02-01,MOM12_1_PLUS_1M_RANK_W10,190,184,0.968421052631579,0.9,-0.5200422840123243
2016-02-01,MOM12_1_PLUS_1M_RANK_W20,190,184,0.968421052631579,0.7,-0.5317734788487153
2016-02-01,MOM12_1_PLUS_1M_RANK_W30,190,184,0.968421052631579,0.6,-0.5336119520315241
2016-02-18,MOM12_1_BASE,190,185,0.9736842105263158,1.0,-0.1907983018081195
2016-02-18,MOM12_1_1M_POS,190,105,0.5526315789473685,0.2,-0.2186191167323243
2016-02-18,MOM12_1_1M_ABOVE_MEDIAN,190,93,0.48947368421052634,0.1,-0.1809107457252842
2016-02-18,MOM12_1_1M_KEEP_TOP70PCT,190,130,0.6842105263157895,0.25,-0.1704160919854156
2016-02-18,MOM12_1_PLUS_1M_RANK_W10,190,185,0.9736842105263158,0.85,-0.19516135987100244
2016-02-18,MOM12_1_PLUS_1M_RANK_W20,190,185,0.9736842105263158,0.7,-0.20118277027796536
