sample,variant,threshold,top_n,weighting,cost_bps,n_periods,annualized_return,sharpe,mdd,avg_turnover,avg_eligible,avg_rank_ic
FULL,MOM12_1_1M_GT_M05,-5.0,5,equal,0,259,0.02305070001257148,0.24678728423145235,-0.6928066302382283,0.43436293436293444,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,equal,30,259,-0.010113253287670654,0.1619612528709395,-0.7311759326053693,0.43436293436293444,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,equal,60,259,-0.04225521272769839,0.07717922570217282,-0.7708630201249566,0.43436293436293444,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,equal,100,259,-0.08357291186928706,-0.03575992815159398,-0.8413419683946407,0.43436293436293444,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,rank_linear,0,259,0.01939641537579595,0.25175083252850355,-0.781421157053115,0.4590733590733591,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,rank_linear,30,259,-0.015479649798720185,0.17112619016081085,-0.8088218062117097,0.4590733590733591,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,rank_linear,60,259,-0.04922019303696579,0.09050061460949103,-0.8407293438845563,0.4590733590733591,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,5,rank_linear,100,259,-0.09250176554197997,-0.016974234678250832,-0.8856992295052757,0.4590733590733591,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,equal,0,259,0.07966761557186453,0.39282896967485803,-0.6599610974368293,0.41274131274131276,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,equal,30,259,0.046503039066242424,0.2994494898597354,-0.7007495433252006,0.41274131274131276,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,equal,60,259,0.01430972025224353,0.2060569085528873,-0.7366959105314206,0.41274131274131276,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,equal,100,259,-0.02715054223710811,0.08154803305396019,-0.7869343285369694,0.41274131274131276,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,rank_linear,0,259,0.06460962716091623,0.3497607680899724,-0.6946677718522347,0.43078273078273077,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,rank_linear,30,259,0.03045470602541056,0.2589147133073362,-0.7332493471875947,0.43078273078273077,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,rank_linear,60,259,-0.0026551078394816408,0.1680941568174819,-0.7670053452249657,0.43078273078273077,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,10,rank_linear,100,259,-0.04522830643589426,0.04707026172635355,-0.8159524948689758,0.43078273078273077,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M05,-5.0,20,equal,0,258,0.08176348006424061,0.42728863286575464,-0.5653162012551665,0.38604651162790704,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,equal,30,258,0.05068437348606536,0.3171060837137114,-0.6142294768577411,0.38604651162790704,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,equal,60,258,0.02045858251498922,0.2069142831876106,-0.657692954274701,0.38604651162790704,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,equal,100,258,-0.018553643997589964,0.060019189982434204,-0.7105939086038242,0.38604651162790704,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,rank_linear,0,258,0.06992173010965486,0.3731547885427514,-0.6163743940632573,0.403562200073828,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,rank_linear,30,258,0.03777722143528517,0.2705608346247762,-0.6613405014019582,0.403562200073828,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,rank_linear,60,258,0.006555639157346027,0.16797651976821157,-0.7010878418087985,0.403562200073828,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M05,-5.0,20,rank_linear,100,258,-0.03368107297527767,0.031245684467688422,-0.7670239181888169,0.403562200073828,137.34883720930233,-0.00811288772684046
FULL,MOM12_1_1M_GT_M10,-10.0,5,equal,0,259,0.025520934108357318,0.2552986793577343,-0.6718288077330775,0.3694980694980695,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,equal,30,259,-0.002705129920862581,0.18303567157331108,-0.6994386705582707,0.3694980694980695,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,equal,60,259,-0.030195874800892586,0.1106707422552511,-0.7343114595742923,0.3694980694980695,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,equal,100,259,-0.06573758789799167,0.014055763092829045,-0.8014274741712757,0.3694980694980695,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,0,259,0.043718392376255855,0.3085535313960817,-0.742119856683577,0.3936936936936937,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,30,259,0.013163276849261996,0.23962503028474774,-0.7691139073654378,0.3936936936936937,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,60,259,-0.016544072099855645,0.17059353032248722,-0.7942083919533471,0.3936936936936937,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,100,259,-0.05487350206519537,0.07841521022835533,-0.8271441012339106,0.3936936936936937,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,equal,0,259,0.06181926397514337,0.34460310692584784,-0.603943379439341,0.338996138996139,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,equal,30,259,0.03492699479610328,0.26693892538036684,-0.6444391733852347,0.338996138996139,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,equal,60,259,0.008682294297347237,0.18928788710640124,-0.6808394351547593,0.338996138996139,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,equal,100,259,-0.025328846356289847,0.08579959097520563,-0.7502575524844715,0.338996138996139,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,0,259,0.06320036892569436,0.34713247394726054,-0.6390756802984014,0.3586872586872587,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,30,259,0.03478708882071846,0.27137104926869215,-0.6766738809925259,0.3586872586872587,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,60,259,0.0070962776325522725,0.195545892390715,-0.7103981565963595,0.3586872586872587,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,100,259,-0.028731067060708493,0.09436973006756828,-0.7584127985747537,0.3586872586872587,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,equal,0,258,0.08896544892280356,0.44809937256480276,-0.506894390357365,0.30542635658914735,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,equal,30,258,0.06415282660407406,0.3630310780071535,-0.5421630395637786,0.30542635658914735,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,equal,60,258,0.039879692686394685,0.27792142930784536,-0.5830620312488575,0.30542635658914735,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,equal,100,258,0.008335436474971702,0.16440053193185616,-0.6320256543986591,0.30542635658914735,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,0,258,0.07201790690989318,0.3787930013747266,-0.5707881229882548,0.3266888150609081,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,30,258,0.04587799371362111,0.2972648509893263,-0.6123365656974247,0.3266888150609081,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,60,258,0.02034632250396684,0.21572222493863424,-0.6499047620638486,0.3266888150609081,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,100,258,-0.012773015328510828,0.10699624569920864,-0.6944511706169461,0.3266888150609081,167.984496124031,-0.002772279826521485
FULL,MOM12_1_1M_GT_P00,0.0,5,equal,0,257,0.00037805391734191396,0.18084443657480903,-0.7106430501766616,0.5101167315175098,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,equal,30,257,-0.037579120720638626,0.07704118614537898,-0.7564339219800846,0.5101167315175098,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,equal,60,257,-0.07416287294299384,-0.026757906684978575,-0.8101771454269296,0.5101167315175098,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,equal,100,257,-0.12088629847228094,-0.1651028165137358,-0.8688466561176956,0.5101167315175098,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,rank_linear,0,257,0.015846195268172103,0.23489574507503452,-0.7427401488555985,0.5332036316472114,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,rank_linear,30,257,-0.02436450839199278,0.1367970313754207,-0.778572667498584,0.5332036316472114,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,rank_linear,60,257,-0.06305670249529294,0.03864458570497385,-0.8094685755014841,0.5332036316472114,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,5,rank_linear,100,257,-0.1123782725419169,-0.09227033358623489,-0.8633829319675208,0.5332036316472114,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,equal,0,257,0.06849159844939745,0.3642216005662334,-0.5859243147127566,0.4879377431906615,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,equal,30,257,0.029751918927120702,0.24711973495438766,-0.6435303385321629,0.4879377431906615,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,equal,60,257,-0.007645010659396934,0.13011198733396973,-0.6932003649676179,0.4879377431906615,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,equal,100,257,-0.055495423422863954,-0.025704915497916914,-0.7836277299322033,0.4879377431906615,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,rank_linear,0,257,0.05912025521805231,0.33440278202054113,-0.6660605053018435,0.5044570215776442,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,rank_linear,30,257,0.019452479460613237,0.2231885164996616,-0.7106732125695233,0.5044570215776442,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,rank_linear,60,257,-0.01879510235505688,0.11199043220962637,-0.7512731102622224,0.5044570215776442,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,10,rank_linear,100,257,-0.06766631576645632,-0.03620686709670256,-0.815751569427211,0.5044570215776442,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P00,0.0,20,equal,0,253,0.031125689395485878,0.24562542073560414,-0.6005998046218614,0.4717391304347827,94.19762845849803,-0.017324200466153784
FULL,MOM12_1_1M_GT_P00,0.0,20,equal,30,253,-0.005092054258903356,0.10346543403334142,-0.6536911926199198,0.4717391304347827,94.19762845849803,-0.017324200466153784
FULL,MOM12_1_1M_GT_P00,0.0,20,equal,60,253,-0.04009157423215037,-0.03837381200265618,-0.7002651961787865,0.4717391304347827,94.19762845849803,-0.017324200466153784
