sample,variant,threshold,top_n,weighting,cost_bps,n_periods,annualized_return,sharpe,mdd,avg_turnover,avg_eligible,avg_rank_ic
FULL,MOM12_1_BASE,,10,equal,30,259,0.07326593608406862,0.3776002432149744,-0.5363180524662263,0.21737451737451735,193.93436293436292,-0.004253838962658917
FULL,MOM12_1_1M_GT_P10,10.0,10,equal,30,219,0.05231121853886278,0.3149404831264027,-0.5140975035286475,0.6424657534246576,34.70776255707762,-0.006520588785004699
FULL,MOM12_1_1M_GT_M05,-5.0,10,equal,30,259,0.046503039066242424,0.2994494898597354,-0.7007495433252006,0.41274131274131276,136.85714285714286,-0.008112887726840462
FULL,MOM12_1_1M_GT_M10,-10.0,10,equal,30,259,0.03492699479610328,0.26693892538036684,-0.6444391733852347,0.338996138996139,167.3899613899614,-0.002772279826521485
FULL,MOM12_1_1M_GT_P00,0.0,10,equal,30,257,0.029751918927120702,0.24711973495438766,-0.6435303385321629,0.4879377431906615,93.00389105058366,-0.01732420046615378
FULL,MOM12_1_1M_GT_P05,5.0,10,equal,30,250,0.010342948273824648,0.18446678694856156,-0.6284953220194096,0.5716,56.152,-0.01128103960972284
OOS_2023_PLUS,MOM12_1_1M_GT_M05,-5.0,10,equal,30,86,0.4481238815566455,1.071651866203205,-0.40599909246061927,0.3895348837209303,140.67441860465115,0.022927563529916425
OOS_2023_PLUS,MOM12_1_1M_GT_M10,-10.0,10,equal,30,86,0.42011381768937417,1.0412996784863895,-0.4229009632840317,0.3174418604651162,170.7093023255814,0.022962222672733956
OOS_2023_PLUS,MOM12_1_BASE,,10,equal,30,86,0.41955976962111485,1.0439832123627537,-0.4425490257118678,0.19767441860465115,197.91860465116278,0.02585612507251849
OOS_2023_PLUS,MOM12_1_1M_GT_P00,0.0,10,equal,30,86,0.40644395533343736,1.0370445699996569,-0.3507991481311804,0.4674418604651162,99.24418604651163,0.006317157265216894
OOS_2023_PLUS,MOM12_1_1M_GT_P05,5.0,10,equal,30,86,0.3513075557060257,0.9491552020584506,-0.33574480606431756,0.544186046511628,61.69767441860465,0.01735818093334521
OOS_2023_PLUS,MOM12_1_1M_GT_P10,10.0,10,equal,30,80,0.2851587679162606,0.8389456065999064,-0.32790776177778025,0.5950000000000001,40.0375,0.024879636439414994
