sample,variant,top_n,weighting,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover,hit_rate,excess_hit_rate,avg_rank_ic
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,259,0.09204302029793521,0.03333830616937239,0.4177229050799635,0.25788617164447025,-0.5724925397479699,0.48378378378378384,0.49034749034749037,0.4555984555984556,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,259,0.05289068511078021,-0.003765018473911308,0.3198260930165913,0.14537316203047776,-0.6261199061241864,0.48378378378378384,0.4749034749034749,0.44787644787644787,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,259,0.01507660718385817,-0.039598096268021465,0.2218375781701327,0.03275548222576268,-0.6750322286991804,0.48378378378378384,0.4749034749034749,0.444015444015444,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,259,-0.03333546707001123,-0.08547093757286772,0.09108484791864062,-0.1175015973758806,-0.7616545623133749,0.48378378378378384,0.4555984555984556,0.42857142857142855,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,259,0.09490073134467636,0.03746564882135517,0.41789695701750057,0.27545500207615964,-0.6275674298988729,0.5126126126126127,0.4942084942084942,0.46332046332046334,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,30,259,0.05337367196378695,-0.0019538917939058154,0.3250711196529995,0.17094796864738376,-0.6787876579955754,0.5126126126126127,0.4864864864864865,0.4517374517374517,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,60,259,0.013348978303966641,-0.0399446006944808,0.23213246975637056,0.06632962029966458,-0.7230396596032513,0.5126126126126127,0.4749034749034749,0.42857142857142855,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,100,259,-0.03776946131798142,-0.08846124983720571,0.10807171388172782,-0.07328756272174759,-0.8031399896859099,0.5126126126126127,0.4594594594594595,0.42857142857142855,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,10,equal,0,259,0.09535060878083446,0.03971854377797435,0.4410258593950028,0.27840972345716125,-0.5175786955431467,0.45135135135135135,0.5212355212355212,0.4864864864864865,-0.009170554662060938
FULL,MOM12_1_1M_ABOVE_MEDIAN,10,equal,30,259,0.05865802021533839,0.004836830865185382,0.33500331279039725,0.14227023770690694,-0.570661000961576,0.45135135135135135,0.5173745173745173,0.47104247104247104,-0.009170554662060938
