variant,top_n,weighting,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,excess_mdd,hit_rate,excess_hit_rate,avg_turnover,annual_turnover,avg_eligible,avg_rank_ic,rank_ic_hit_rate
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,259,0.09204302029793499,0.03333830616937239,0.4177229050799634,0.2578861716444698,-0.57249253974797,-0.5145293815032579,0.49034749034749037,0.4555984555984556,0.48378378378378384,12.191351351351353,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,259,0.05289068511077999,-0.003765018473911419,0.319826093016591,0.14537316203047734,-0.6261199061241867,-0.6013183339241691,0.4749034749034749,0.44787644787644787,0.48378378378378384,12.191351351351353,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,259,0.01507660718385817,-0.0395980962680218,0.22183757817013272,0.032755482225762356,-0.6750322286991804,-0.6912012277044719,0.4749034749034749,0.444015444015444,0.48378378378378384,12.191351351351353,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,259,-0.03333546707001156,-0.08547093757286783,0.0910848479186403,-0.1175015973758811,-0.7616545623133755,-0.7813734952455814,0.4555984555984556,0.42857142857142855,0.48378378378378384,12.191351351351353,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,259,0.09490073134467591,0.03746564882135495,0.4178969570175001,0.2754550020761593,-0.6275674298988732,-0.5685482919328819,0.4942084942084942,0.46332046332046334,0.5126126126126127,12.91783783783784,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,30,259,0.05337367196378673,-0.0019538917939064815,0.32507111965299895,0.1709479686473834,-0.6787876579955754,-0.6569372746682333,0.4864864864864865,0.4517374517374517,0.5126126126126127,12.91783783783784,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,60,259,0.013348978303966419,-0.039944600694480914,0.23213246975637006,0.06632962029966435,-0.7230396596032518,-0.734707935093373,0.4749034749034749,0.42857142857142855,0.5126126126126127,12.91783783783784,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,100,259,-0.03776946131798142,-0.08846124983720582,0.1080717138817274,-0.07328756272174784,-0.8031399896859102,-0.8118366899088555,0.4594594594594595,0.42857142857142855,0.5126126126126127,12.91783783783784,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,10,equal,0,259,0.09535060878083423,0.039718543777974125,0.44102585939500255,0.27840972345716075,-0.5175786955431466,-0.43310013448042006,0.5212355212355212,0.4864864864864865,0.45135135135135135,11.374054054054053,97.25868725868726,-0.009170554662060938,0.4980694980694981
MOM12_1_1M_ABOVE_MEDIAN,10,equal,30,259,0.05865802021533839,0.004836830865185382,0.33500331279039697,0.14227023770690633,-0.5706610009615767,-0.5468494819471361,0.5173745173745173,0.47104247104247104,0.45135135135135135,11.374054054054053,97.25868725868726,-0.009170554662060938,0.4980694980694981
