date,variant,top_n,weighting,cost_bps,gross,net,benchmark,excess_gross,excess_net,turnover,transaction_cost,n_eligible,rank_ic
2016-01-04,MOM12_1_BASE,5,equal,0,-0.010214168861995243,-0.010214168861995243,-0.009377173995137843,-0.0008369948668574007,-0.0008369948668574007,0.5,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,equal,30,-0.010214168861995243,-0.011714168861995243,-0.009377173995137843,-0.0008369948668574007,-0.0023369948668574003,0.5,0.0015,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,equal,60,-0.010214168861995243,-0.013214168861995244,-0.009377173995137843,-0.0008369948668574007,-0.0038369948668574017,0.5,0.003,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,equal,100,-0.010214168861995243,-0.015214168861995243,-0.009377173995137843,-0.0008369948668574007,-0.0058369948668574,0.5,0.005,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,rank_linear,0,-0.008331486995295675,-0.008331486995295675,-0.009377173995137843,0.001045686999842168,0.001045686999842168,0.5,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,rank_linear,30,-0.008331486995295675,-0.009831486995295674,-0.009377173995137843,0.001045686999842168,-0.0004543130001578317,0.5,0.0015,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,rank_linear,60,-0.008331486995295675,-0.011331486995295674,-0.009377173995137843,0.001045686999842168,-0.0019543130001578313,0.5,0.003,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,5,rank_linear,100,-0.008331486995295675,-0.013331486995295676,-0.009377173995137843,0.001045686999842168,-0.003954313000157833,0.5,0.005,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,equal,0,0.007350836115713997,0.007350836115713997,-0.009377173995137843,0.01672801011085184,0.01672801011085184,0.5,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,equal,30,0.007350836115713997,0.005850836115713997,-0.009377173995137843,0.01672801011085184,0.01522801011085184,0.5,0.0015,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,equal,60,0.007350836115713997,0.004350836115713997,-0.009377173995137843,0.01672801011085184,0.01372801011085184,0.5,0.003,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,equal,100,0.007350836115713997,0.002350836115713997,-0.009377173995137843,0.01672801011085184,0.011728010110851839,0.5,0.005,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,rank_linear,0,0.0038187217007902433,0.0038187217007902433,-0.009377173995137843,0.013195895695928085,0.013195895695928085,0.5,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,rank_linear,30,0.0038187217007902433,0.0023187217007902433,-0.009377173995137843,0.013195895695928085,0.011695895695928086,0.5,0.0015,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,rank_linear,60,0.0038187217007902433,0.0008187217007902432,-0.009377173995137843,0.013195895695928085,0.010195895695928086,0.5,0.003,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,10,rank_linear,100,0.0038187217007902433,-0.0011812782992097568,-0.009377173995137843,0.013195895695928085,0.008195895695928086,0.5,0.005,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,equal,0,0.0067807038897661764,0.0067807038897661764,-0.009377173995137843,0.01615787788490402,0.01615787788490402,0.5000000000000001,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,equal,30,0.0067807038897661764,0.005280703889766176,-0.009377173995137843,0.01615787788490402,0.014657877884904018,0.5000000000000001,0.0015000000000000002,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,equal,60,0.0067807038897661764,0.003780703889766176,-0.009377173995137843,0.01615787788490402,0.013157877884904018,0.5000000000000001,0.0030000000000000005,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,equal,100,0.0067807038897661764,0.0017807038897661746,-0.009377173995137843,0.01615787788490402,0.011157877884904018,0.5000000000000001,0.005000000000000002,166,0.27239558499365407
