sample,universe,n_pos_alt,horizon,metric,series,n,mean,positive_share,tstat
TRAIN_2016_2022,K200,0,5,top,neg_alt_top_5,21,0.007596128478477652,0.7142857142857143,1.2997645646263247
TRAIN_2016_2022,K200,0,5,top,mom_top_5,21,0.008715913253401916,0.8095238095238095,1.6537532174360023
TRAIN_2016_2022,K200,0,5,spread,neg_alt_spread_5,21,0.0015769532697621302,0.5714285714285714,0.6657090455722336
TRAIN_2016_2022,K200,0,5,spread,mom_spread_5,21,-0.0006113019848317235,0.42857142857142855,-0.13270500328609236
TRAIN_2016_2022,K200,0,20,top,neg_alt_top_20,21,0.012695581834465997,0.7142857142857143,1.118025364343898
TRAIN_2016_2022,K200,0,20,top,mom_top_20,21,0.0059678904073615854,0.5238095238095238,0.6089026505177101
TRAIN_2016_2022,K200,0,20,spread,neg_alt_spread_20,21,0.006116452820030442,0.5714285714285714,0.9532108651229856
TRAIN_2016_2022,K200,0,20,spread,mom_spread_20,21,-0.0034924425263295833,0.38095238095238093,-0.359787535471798
TRAIN_2016_2022,K200,1,5,top,pos_alt_top_5,9,0.0023785052728666997,0.6666666666666666,0.37340489158528956
TRAIN_2016_2022,K200,1,5,top,neg_alt_top_5,9,0.008824775848924632,0.7777777777777778,1.7946377134774405
TRAIN_2016_2022,K200,1,5,top,mom_top_5,9,0.003899672687369111,0.5555555555555556,0.8217277144923582
TRAIN_2016_2022,K200,1,5,top,pos_minus_mom_top_5,9,-0.0015211674145024115,0.4444444444444444,-0.3182057541027403
TRAIN_2016_2022,K200,1,5,spread,pos_alt_spread_5,9,-0.0023591913515791456,0.3333333333333333,-0.28412399266421046
TRAIN_2016_2022,K200,1,5,spread,neg_alt_spread_5,9,0.005176610738915472,0.6666666666666666,1.1788595000973887
TRAIN_2016_2022,K200,1,5,spread,mom_spread_5,9,0.0015998872128042115,0.6666666666666666,0.3659987354424746
TRAIN_2016_2022,K200,1,5,spread,pos_minus_mom_spread_5,9,-0.0039590785643833564,0.3333333333333333,-0.44226157142990963
