sample,universe,family,current_abs_sign,horizon,metric,n,mean,positive_share,tstat
TRAIN_2016_2022,K200,MOMENTUM,POS,5,top,145,0.000711579441749503,0.4827586206896552,0.2874060854045254
TRAIN_2016_2022,K200,MOMENTUM,POS,5,spread,145,-0.000706858120204091,0.4896551724137931,-0.28405911187562854
TRAIN_2016_2022,K200,MOMENTUM,POS,20,top,145,-0.0015414532953733468,0.4413793103448276,-0.31158471804326704
TRAIN_2016_2022,K200,MOMENTUM,POS,20,spread,145,-0.0005634787583581954,0.4896551724137931,-0.14057812260681143
TRAIN_2016_2022,K200,MOMENTUM,NEG,5,top,146,-0.0015811736381036378,0.5342465753424658,-0.706703561765368
TRAIN_2016_2022,K200,MOMENTUM,NEG,5,spread,146,-0.003153616528542398,0.5,-1.414214068238403
TRAIN_2016_2022,K200,MOMENTUM,NEG,20,top,146,-0.001894792084248522,0.541095890410959,-0.4544096369140097
TRAIN_2016_2022,K200,MOMENTUM,NEG,20,spread,146,-0.01576308398979488,0.3904109589041096,-3.3631314149614537
TRAIN_2016_2022,K200,MOMENTUM,STATE_N,5,top,97,0.0010726888339339248,0.4948453608247423,0.3411662700647583
TRAIN_2016_2022,K200,MOMENTUM,STATE_N,20,top,97,-0.0004504135473531336,0.5463917525773195,-0.0786707527475921
TRAIN_2016_2022,K200,MOMENTUM,STATE_R+,5,top,43,0.00033869384919245533,0.5116279069767442,0.10623252782282755
TRAIN_2016_2022,K200,MOMENTUM,STATE_R+,20,top,43,-0.0002117924986426066,0.3953488372093023,-0.024061395676975558
TRAIN_2016_2022,K200,MOMENTUM,STATE_R-,5,top,68,0.003010888894935475,0.6323529411764706,1.244102905442682
TRAIN_2016_2022,K200,MOMENTUM,STATE_R-,20,top,68,0.008018060891456688,0.5588235294117647,1.532624083548906
TRAIN_2016_2022,K200,MOMENTUM,STATE_W+,5,top,50,-0.007562080888204112,0.34,-1.678057168572105
TRAIN_2016_2022,K200,MOMENTUM,STATE_W+,20,top,50,-0.019098840584320095,0.34,-2.1159041010400816
TRAIN_2016_2022,K200,MOMENTUM,STATE_W-,5,top,33,-0.0022097995442947297,0.5454545454545454,-0.34312577367244895
TRAIN_2016_2022,K200,MOMENTUM,STATE_W-,20,top,33,-0.00114058460598738,0.5454545454545454,-0.12506653801131312
TRAIN_2016_2022,K200,REVISION,POS,5,top,171,0.002817984798761937,0.5964912280701754,1.3963273266521308
TRAIN_2016_2022,K200,REVISION,POS,5,spread,171,0.002805332211555573,0.6198830409356725,1.910832736170553
TRAIN_2016_2022,K200,REVISION,POS,20,top,171,0.007190354105444184,0.5497076023391813,1.6212222258235742
TRAIN_2016_2022,K200,REVISION,POS,20,spread,171,0.014446525839175994,0.6374269005847953,4.733892342845513
TRAIN_2016_2022,K200,REVISION,NEG,5,top,120,8.791817813822514e-05,0.5416666666666666,0.027066675682214422
TRAIN_2016_2022,K200,REVISION,NEG,5,spread,120,0.0018743408672428695,0.5666666666666667,1.2504516263282393
TRAIN_2016_2022,K200,REVISION,NEG,20,top,120,0.007834570732819296,0.6333333333333333,1.225271929104998
TRAIN_2016_2022,K200,REVISION,NEG,20,spread,120,0.003942542509675145,0.55,1.3156903944250073
TRAIN_2016_2022,K200,REVISION,STATE_N,5,top,91,-0.001470236134576236,0.5934065934065934,-0.38139924014560783
TRAIN_2016_2022,K200,REVISION,STATE_N,20,top,91,0.007356099285033101,0.5604395604395604,1.0423674664737816
TRAIN_2016_2022,K200,REVISION,STATE_R+,5,top,31,0.007665300928228274,0.7419354838709677,1.7425147320408991
TRAIN_2016_2022,K200,REVISION,STATE_R+,20,top,31,0.027007903901669447,0.6774193548387096,2.707770781312129
TRAIN_2016_2022,K200,REVISION,STATE_R-,5,top,42,-0.0005264060651292862,0.5238095238095238,-0.10652872541809306
TRAIN_2016_2022,K200,REVISION,STATE_R-,20,top,42,0.0007221880050524551,0.6428571428571429,0.055521607223603234
