feature,direction,train_q1,train_q2,train_cutoff,EARLY_2016_2019_n,EARLY_2016_2019_flag_rate,EARLY_2016_2019_n_bad,EARLY_2016_2019_n_rest,EARLY_2016_2019_bad_mean,EARLY_2016_2019_rest_mean,EARLY_2016_2019_bad_minus_rest,EARLY_2016_2019_bad_positive_share,LATE_2020_2022_n,LATE_2020_2022_flag_rate,LATE_2020_2022_n_bad,LATE_2020_2022_n_rest,LATE_2020_2022_bad_mean,LATE_2020_2022_rest_mean,LATE_2020_2022_bad_minus_rest,LATE_2020_2022_bad_positive_share,OOS_2023_2024_n,OOS_2023_2024_flag_rate,OOS_2023_2024_n_bad,OOS_2023_2024_n_rest,OOS_2023_2024_bad_mean,OOS_2023_2024_rest_mean,OOS_2023_2024_bad_minus_rest,OOS_2023_2024_bad_positive_share,BULL_2025_n,BULL_2025_flag_rate,BULL_2025_n_bad,BULL_2025_n_rest,BULL_2025_bad_mean,BULL_2025_rest_mean,BULL_2025_bad_minus_rest,BULL_2025_bad_positive_share,YTD_2026_n,YTD_2026_flag_rate,YTD_2026_n_bad,YTD_2026_n_rest,YTD_2026_bad_mean,YTD_2026_rest_mean,YTD_2026_bad_minus_rest,YTD_2026_bad_positive_share,YTD_2026_negative_n,YTD_2026_negative_capture,pass_early,pass_late,pass_oos,pass_2025_control,pass_2026_capture,SCREEN_PASS
FACTOR_UNIVERSE_BREADTH_DIVERGENCE,HIGH_BAD,0.20275693362531863,0.40234355806627603,0.40234355806627603,97,0.31958762886597936,31,66,0.0030920896856848393,-0.003756715702114041,0.00684880538779888,0.5483870967741935,70,0.35714285714285715,25,45,0.001529588810330187,0.004760075089146168,-0.003230486278815981,0.56,39,0.5128205128205128,20,19,0.00215462505146828,0.0032683917357040158,-0.0011137666842357358,0.45,22,0.09090909090909091,2,20,0.11059260338483726,0.041585872587863344,0.06900673079697392,1.0,16,0.5,8,8,-0.08151660283891661,-0.06308709139084122,-0.018429511448075392,0.25,12,0.5,False,True,True,True,True,False
PARTICIPATION_STRESS_LEVEL,HIGH_BAD,0.36227544910179643,0.6037924151696606,0.6037924151696606,97,0.28865979381443296,28,69,0.014071080701227043,-0.0079141842857631,0.021985264986990143,0.6785714285714286,70,0.4,28,42,0.0004993082244762785,0.005677677832964199,-0.005178369608487921,0.6071428571428571,39,0.5897435897435898,23,16,-0.0036813801120127816,0.011866480411502244,-0.015547860523515027,0.391304347826087,22,0.2727272727272727,6,16,0.061906150575815166,0.04259160969200315,0.019314540883812015,0.8333333333333334,16,0.5,8,8,-0.07745869616915212,-0.06714499806060571,-0.010313698108546404,0.25,12,0.5,False,True,True,True,True,False
ADVERSE_CHANGE_COUNT_4STATE,HIGH_BAD,1.0,3.0,3.0,97,0.4639175257731959,45,52,0.004149669453029642,-0.006515838105185204,0.010665507558214847,0.6,70,0.6,42,28,-0.011378608806117648,0.026083738183099052,-0.0374623469892167,0.4523809523809524,39,0.48717948717948717,19,20,-0.008909477024337828,0.013723600373508029,-0.022633077397845855,0.42105263157894735,22,0.3181818181818182,7,15,0.04461118073880542,0.049374959557020225,-0.004763778818214805,0.8571428571428571,16,0.4375,7,9,-0.05215319057304622,-0.08797302442519324,0.03581983385214702,0.2857142857142857,12,0.4166666666666667,False,True,True,True,False,False
PARTICIPATION_STRESS_ACCEL_4STATE,HIGH_BAD,-0.06886227544910181,0.24850299401197606,0.24850299401197606,97,0.31958762886597936,31,66,-0.0023578620240848657,-0.0011968898990403927,-0.001160972125044473,0.4838709677419355,70,0.35714285714285715,25,45,-0.027000235630293565,0.020609977556159363,-0.04761021318645293,0.44,39,0.23076923076923078,9,30,-0.02033803304815579,0.009607808048038131,-0.02994584109619392,0.3333333333333333,22,0.13636363636363635,3,19,0.05368041688248407,0.04694007409892048,0.006740342783563585,0.6666666666666666,16,0.375,6,10,-0.048807913503796596,-0.08639820728152832,0.03759029377773172,0.3333333333333333,12,0.3333333333333333,True,True,True,True,False,False
