era,median_d_sharpe_vs_rawtop2,positive_d_sharpe_universes,median_d_mean_vs_rawtop2,median_alpha_vs_ew,median_d_sharpe_net10_vs_rawtop2,median_d_mean_net10_vs_rawtop2
2016-19,-0.024930670900144003,1,-6.083723517215367e-05,0.0010610472865694126,-0.03374847102994982,-7.581119350548665e-05
2020-22,0.20283340927425075,2,0.0007019562274628703,0.001242307565120775,0.19887841528726247,0.0006897917979326687
2023-24,0.008431601087571572,2,-4.189434191373756e-06,-0.00011558640592725317,0.0011127000094640072,-2.158634140786886e-05
2025,-0.19568273529541746,0,-0.0007266996316546241,-0.0022288923600506704,-0.20085154954423112,-0.0007445567745117674
2026,0.13479986951095047,3,0.0006517307656608946,0.0038484168321240597,0.13400548919148725,0.0006517307656608937
