factor_a,factor_b,spec,status,mechanism,beta_discovery,coef_sign_stable,val_r2,conf_r2,val_placebo_p,conf_placebo_p
OPFY1_REV,FOREIGN_FLOW,TRAIL20,FAIL,CONTINUATION,0.10527974801668118,True,-0.01909059020643955,0.053734533111644445,0.5684931506849316,0.44680851063829785
MOM1M,PRIVATE_FLOW,TRAIL20,FAIL,CONTINUATION,0.1706351792547568,False,-0.06529418674277898,0.04999181411055087,0.7945205479452054,0.26595744680851063
MOM1M,MOM12_1,TRAIL20,FAIL,REVERSAL,-0.10527782646901855,True,-0.04865488490663328,0.04134249110846788,0.8493150684931506,0.031914893617021274
MOM1M,PRIVATE_FLOW,DISLOCATION,FAIL,ACCELERATION,0.21581141311163543,True,-0.038891258886015745,0.0287479308583094,0.4931506849315068,0.2765957446808511
PER12MF,PRIVATE_FLOW,TRAIL20,FAIL,REVERSAL,-0.26124879615651536,True,-0.1672375524624201,0.012702413377644994,0.8972602739726028,0.2765957446808511
MOM12_1,OP12_REV,TRAIL20,FAIL,CONTINUATION,0.08948125315766255,False,0.030131800399686548,0.012536995002228157,0.07534246575342465,0.925531914893617
MOM1M,OPFY1_REV,DISLOCATION,FAIL,MEAN_REVERSION,-0.17033195090158507,False,-0.019954269712459283,0.0112447011257788,0.5068493150684932,0.19148936170212766
OP12_REV,FOREIGN_FLOW,TRAIL20,FAIL,CONTINUATION,0.13796128073033517,False,0.0047761942759503295,0.011126990435820772,0.2465753424657534,0.7446808510638298
PBR12MF,PRIVATE_FLOW,TRAIL20,FAIL,REVERSAL,-0.13997434693417188,True,-0.05260883976063435,0.008767021098002203,0.773972602739726,0.26595744680851063
OP12_REV,PER12MF,TRAIL20,FAIL,REVERSAL,-0.1184530437842874,True,-0.057980511201866314,0.008130315301253521,0.9452054794520548,0.30851063829787234
