factor_a,factor_b,spec,status,mechanism,beta_discovery,coef_sign_stable,val_r2,conf_r2,val_placebo_p,conf_placebo_p
PBR12MF,PRIVATE_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.11196082296222838,False,-0.012719040887897881,0.005826813355899962,0.678082191780822,0.39361702127659576
PER12MF,FOREIGN_FLOW,TRAIL20,FAIL,REVERSAL,-0.16084370113370164,False,-0.10140155647229432,0.0027305128461979633,0.8698630136986302,0.3617021276595745
MOM1M,OP12_REV,DISLOCATION,FAIL,ACCELERATION,0.03000646394298969,False,-0.00011920867605663688,0.0008473876999585128,0.4931506849315068,0.44680851063829785
MOM1M,FOREIGN_FLOW,TRAIL20,FAIL,CONTINUATION,0.1655784238991483,False,-0.08745318561251803,0.0007821554851998869,0.9315068493150684,0.2553191489361702
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,FAIL,ACCELERATION,0.0009202475706281446,False,0.00021340365577993126,-2.4705082340537032e-05,0.1780821917808219,0.5531914893617021
OP12_REV,PRIVATE_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.0015898494390591243,False,-1.1198014136182266e-05,-8.915124292552257e-05,0.5205479452054794,0.5851063829787234
MOM12_1,PRIVATE_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.05775270250824279,False,-0.022024675678828265,-0.0006221093167735336,0.9657534246575342,0.48936170212765956
OP12_REV,PRIVATE_FLOW,TRAIL20,FAIL,CONTINUATION,0.0156528142572126,False,-0.0006890403998478511,-0.0006511149786398995,0.5753424657534246,0.5
MOM1M,OP12_REV,TRAIL20,FAIL,REVERSAL,-0.0050776273798440845,False,0.00013039501657974295,-0.0017658001729174977,0.5068493150684932,0.4787234042553192
OP12_REV,PBR12MF,TRAIL20,FAIL,REVERSAL,-0.04065771249988681,False,-0.0073707307288204404,-0.00215907459521425,0.7945205479452054,0.5957446808510638
OPFY1_REV,PBR12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.013902269049047091,False,-0.002165380005706874,-0.0022832305981155265,0.815068493150685,0.7553191489361702
MOM12_1,OPFY1_REV,TRAIL20,FAIL,REVERSAL,-0.052026361521133734,False,-0.028878024788270507,-0.004253328150331193,0.9383561643835616,0.07446808510638298
OPFY1_REV,PRIVATE_FLOW,TRAIL20,FAIL,REVERSAL,-0.051787519723692665,False,-0.009196316806270532,-0.006984179456275719,0.7054794520547946,0.5957446808510638
MOM1M,PBR12MF,TRAIL20,FAIL,REVERSAL,-0.02128516637498088,False,0.0034132469514213115,-0.007342971766941764,0.15753424657534246,0.7127659574468085
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,FAIL,ACCELERATION,0.06456467451232926,False,0.00233858888633498,-0.007447409309470743,0.3287671232876712,0.648936170212766
MOM12_1,OPFY1_REV,DISLOCATION,FAIL,ACCELERATION,0.04141203656692403,False,0.014445559952019127,-0.008329211801250791,0.08904109589041095,0.723404255319149
PBR12MF,FOREIGN_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.14528648410778067,False,-0.03387916608979924,-0.010957864611820467,0.7876712328767124,0.4787234042553192
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,FAIL,REVERSAL,-0.043563058361314064,True,-0.004423780651817477,-0.011644733493218817,0.6164383561643836,0.4574468085106383
OPFY1_REV,PER12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.051566697484454534,False,-0.020022871224075534,-0.01187020835307595,0.958904109589041,0.7021276595744681
OPFY1_REV,PBR12MF,TRAIL20,FAIL,REVERSAL,-0.048391071518599754,True,-0.016798887171173504,-0.012416761402550769,0.952054794520548,0.8404255319148937
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,FAIL,ACCELERATION,0.1292870594048511,True,-0.01099643108523285,-0.013471908583281289,0.4315068493150685,0.6808510638297872
OP12_REV,PBR12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.0696461261809622,False,-0.008142005033121125,-0.01486547936448468,0.6438356164383562,0.648936170212766
OP12_REV,FOREIGN_FLOW,DISLOCATION,FAIL,ACCELERATION,0.1086099308567936,False,0.0187792495665684,-0.015353545628249199,0.136986301369863,0.5638297872340425
MOM1M,PER12MF,TRAIL20,FAIL,REVERSAL,-0.09351620728344487,False,-0.009505917484066151,-0.016466159643196754,0.547945205479452,0.5638297872340425
MOM1M,MOM12_1,DISLOCATION,FAIL,ACCELERATION,0.045249437680950466,True,-0.003419329817636818,-0.016830402336459827,0.5958904109589042,0.9148936170212766
MOM1M,OPFY1_REV,TRAIL20,FAIL,REVERSAL,-0.0697339441191261,False,-0.010431881087975547,-0.019151382348397084,0.541095890410959,0.13829787234042554
MOM12_1,FOREIGN_FLOW,TRAIL20,FAIL,CONTINUATION,0.053363450368510354,False,0.012160718642418966,-0.019252660397103716,0.2191780821917808,0.7446808510638298
PBR12MF,FOREIGN_FLOW,TRAIL20,FAIL,REVERSAL,-0.10332709509394902,False,-0.043130623915661026,-0.01998574518143381,0.8356164383561644,0.35106382978723405
MOM12_1,PBR12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.12893518653737107,False,-0.03986353246642382,-0.020823229592355386,0.7945205479452054,0.574468085106383
OPFY1_REV,PER12MF,TRAIL20,FAIL,REVERSAL,-0.12121700241188842,True,-0.07923729455963402,-0.023593733760878033,0.952054794520548,0.574468085106383
MOM1M,FOREIGN_FLOW,DISLOCATION,FAIL,ACCELERATION,0.21635194793693133,False,-0.06434787520685381,-0.02787583143740302,0.6917808219178082,0.4574468085106383
MOM12_1,PRIVATE_FLOW,TRAIL20,FAIL,REVERSAL,-0.14339753909464545,True,-0.07635253806326836,-0.029552110738930937,0.9452054794520548,0.46808510638297873
MOM1M,PBR12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.11880964828348313,False,0.006476122724747957,-0.029555108804477648,0.3698630136986301,0.7340425531914894
MOM12_1,PER12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.1989192398429643,False,-0.1211567348499647,-0.02967941720787448,0.9246575342465754,0.5212765957446809
MOM12_1,PER12MF,TRAIL20,FAIL,REVERSAL,-0.27824927025829194,True,-0.21016167868993363,-0.03272226772299347,0.9246575342465754,0.24468085106382978
PBR12MF,PER12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.12068141033191238,True,0.010949406559384367,-0.0329775620431787,0.21232876712328766,0.6808510638297872
OP12_REV,PER12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.13864837017478335,False,-0.05274356424577298,-0.03333324807537763,0.910958904109589,0.6276595744680851
PER12MF,PRIVATE_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.277512631094292,False,-0.13429038369755308,-0.03572296055637425,0.9315068493150684,0.40425531914893614
PER12MF,FOREIGN_FLOW,DISLOCATION,FAIL,MEAN_REVERSION,-0.220803574455115,False,-0.12082854538427834,-0.03861710370014104,0.9383561643835616,0.5425531914893617
MOM1M,PER12MF,DISLOCATION,FAIL,MEAN_REVERSION,-0.154696006352311,False,-0.02707926567432506,-0.04750953827646809,0.6575342465753424,0.6382978723404256
MOM12_1,OP12_REV,DISLOCATION,FAIL,ACCELERATION,0.21415205328421877,True,0.03483767428272189,-0.051242839131126594,0.06164383561643835,0.776595744680851
MOM12_1,FOREIGN_FLOW,DISLOCATION,FAIL,ACCELERATION,0.20890309732326307,True,-0.006002404008629725,-0.05221879435804544,0.3493150684931507,0.6063829787234043
PBR12MF,PER12MF,TRAIL20,FAIL,REVERSAL,-0.08200686644541146,True,0.02901673945425365,-0.05907863601539809,0.03424657534246575,0.8297872340425532
MOM12_1,PBR12MF,TRAIL20,FAIL,REVERSAL,-0.19359352909068442,False,-0.08808109042932966,-0.0659936504870835,0.8972602739726028,0.5531914893617021
OP12_REV,OPFY1_REV,DISLOCATION,FAIL,ACCELERATION,0.20189743321084644,True,-0.05755409323060379,-0.08245634385312428,0.636986301369863,0.648936170212766
OP12_REV,OPFY1_REV,TRAIL20,FAIL,CONTINUATION,0.1739539930133229,True,-0.06613668021663432,-0.09702427121393908,0.6575342465753424,0.8191489361702128
