factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
PBR12MF,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,0.008767021098002203,0.26595744680851063,0.7419354838709677,0.027157029957975073
PBR12MF,PRIVATE_FLOW,TRAIL20,STRESS_2025,-0.014178747297781458,0.3695652173913043,0.6444444444444445,0.016225432850801358
PBR12MF,PRIVATE_FLOW,TRAIL20,STRESS_2026,-0.08458116419253159,0.5769230769230769,0.44,0.025702141154818756
PBR12MF,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,-0.012719040887897881,0.678082191780822,0.32413793103448274,0.020278851021311283
PBR12MF,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,0.005826813355899962,0.39361702127659576,0.6129032258064516,0.03394580793752148
PBR12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2025,-0.007179621277494164,0.5434782608695652,0.4666666666666667,0.038170887516214135
PBR12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2026,-0.047633558474524884,0.8076923076923077,0.2,0.039613586453694415
PBR12MF,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,-0.043130623915661026,0.8356164383561644,0.16551724137931034,0.0066206130903428955
PBR12MF,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,-0.01998574518143381,0.35106382978723405,0.6559139784946236,0.014931335770278728
PBR12MF,FOREIGN_FLOW,TRAIL20,STRESS_2025,-0.0893848184363979,0.45652173913043476,0.5555555555555556,-0.06715361444293562
PBR12MF,FOREIGN_FLOW,TRAIL20,STRESS_2026,0.0327977060471093,0.23076923076923078,0.8,0.05574117540812494
PBR12MF,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,-0.03387916608979924,0.7876712328767124,0.21379310344827587,0.037273878349279504
PBR12MF,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.010957864611820467,0.4787234042553192,0.5268817204301075,0.045445566066574475
PBR12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.03773372147957055,0.6304347826086957,0.37777777777777777,0.036402266940207054
PBR12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2026,0.002712710612006841,0.38461538461538464,0.64,0.0511919138711783
PER12MF,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.1672375524624201,0.8972602739726028,0.10344827586206896,-0.007904323435833185
