factor_a,factor_b,spec,period,n,beta_discovery,incremental_oos_r2
MOM1M,PBR12MF,TRAIL20,STRESS_2026,26,-0.02128516637498088,-0.0005669310188611831
MOM1M,PBR12MF,DISLOCATION,DISC_2016_2019,180,-0.11880964828348313,0.009414826208263505
MOM1M,PBR12MF,DISLOCATION,VAL_2020_2022,146,-0.11880964828348313,0.006476122724747957
MOM1M,PBR12MF,DISLOCATION,CONF_2023_2024,94,-0.11880964828348313,-0.029555108804477648
MOM1M,PBR12MF,DISLOCATION,STRESS_2025,46,-0.11880964828348313,-0.01719321116429362
MOM1M,PBR12MF,DISLOCATION,STRESS_2026,26,-0.11880964828348313,-0.028043232529455064
MOM1M,PER12MF,TRAIL20,DISC_2016_2019,180,-0.09351620728344487,0.008894367172114115
MOM1M,PER12MF,TRAIL20,VAL_2020_2022,146,-0.09351620728344487,-0.009505917484066151
MOM1M,PER12MF,TRAIL20,CONF_2023_2024,94,-0.09351620728344487,-0.016466159643196754
MOM1M,PER12MF,TRAIL20,STRESS_2025,46,-0.09351620728344487,-0.006435556232850859
MOM1M,PER12MF,TRAIL20,STRESS_2026,26,-0.09351620728344487,-0.016718981266145683
MOM1M,PER12MF,DISLOCATION,DISC_2016_2019,180,-0.154696006352311,0.016786717193872258
MOM1M,PER12MF,DISLOCATION,VAL_2020_2022,146,-0.154696006352311,-0.02707926567432506
MOM1M,PER12MF,DISLOCATION,CONF_2023_2024,94,-0.154696006352311,-0.04750953827646809
MOM1M,PER12MF,DISLOCATION,STRESS_2025,46,-0.154696006352311,-0.016722742243707067
MOM1M,PER12MF,DISLOCATION,STRESS_2026,26,-0.154696006352311,-0.04686044207588602
MOM1M,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,0.1706351792547568,0.02892442686256691
MOM1M,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,0.1706351792547568,-0.06529418674277898
MOM1M,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,0.1706351792547568,0.04999181411055087
MOM1M,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,0.1706351792547568,-0.049556634327722726
MOM1M,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,0.1706351792547568,-0.23411145398905142
MOM1M,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,0.21581141311163543,0.030683495266673688
MOM1M,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,0.21581141311163543,-0.038891258886015745
MOM1M,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,0.21581141311163543,0.0287479308583094
MOM1M,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,0.21581141311163543,-0.07209796236493848
MOM1M,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,0.21581141311163543,-0.1971614520801872
MOM1M,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,0.1655784238991483,0.02738179000665275
MOM1M,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,0.1655784238991483,-0.08745318561251803
MOM1M,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,0.1655784238991483,0.0007821554851998869
MOM1M,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,0.1655784238991483,-0.04801314413290947
MOM1M,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,0.1655784238991483,0.059698868161083274
MOM1M,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,0.21635194793693133,0.02990746354003715
MOM1M,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,0.21635194793693133,-0.06434787520685381
MOM1M,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,0.21635194793693133,-0.02787583143740302
MOM1M,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,0.21635194793693133,-0.12760145858823213
MOM1M,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,0.21635194793693133,-0.04418528062702709
MOM12_1,OP12_REV,TRAIL20,DISC_2016_2019,180,0.08948125315766255,0.008060339080461776
MOM12_1,OP12_REV,TRAIL20,VAL_2020_2022,146,0.08948125315766255,0.030131800399686548
MOM12_1,OP12_REV,TRAIL20,CONF_2023_2024,94,0.08948125315766255,0.012536995002228157
MOM12_1,OP12_REV,TRAIL20,STRESS_2025,46,0.08948125315766255,0.008163443240514323
MOM12_1,OP12_REV,TRAIL20,STRESS_2026,26,0.08948125315766255,0.07648072600235079
MOM12_1,OP12_REV,DISLOCATION,DISC_2016_2019,180,0.21415205328421877,0.03067713405153949
MOM12_1,OP12_REV,DISLOCATION,VAL_2020_2022,146,0.21415205328421877,0.03483767428272189
MOM12_1,OP12_REV,DISLOCATION,CONF_2023_2024,94,0.21415205328421877,-0.051242839131126594
MOM12_1,OP12_REV,DISLOCATION,STRESS_2025,46,0.21415205328421877,-0.028449000652807532
MOM12_1,OP12_REV,DISLOCATION,STRESS_2026,26,0.21415205328421877,0.07351250470870307
MOM12_1,OPFY1_REV,TRAIL20,DISC_2016_2019,180,-0.052026361521133734,0.002728149452146722
MOM12_1,OPFY1_REV,TRAIL20,VAL_2020_2022,146,-0.052026361521133734,-0.028878024788270507
MOM12_1,OPFY1_REV,TRAIL20,CONF_2023_2024,94,-0.052026361521133734,-0.004253328150331193
MOM12_1,OPFY1_REV,TRAIL20,STRESS_2025,46,-0.052026361521133734,0.009692096049327747
MOM12_1,OPFY1_REV,TRAIL20,STRESS_2026,26,-0.052026361521133734,-0.0061596528431888675
MOM12_1,OPFY1_REV,DISLOCATION,DISC_2016_2019,180,0.04141203656692403,0.0012491277560042757
MOM12_1,OPFY1_REV,DISLOCATION,VAL_2020_2022,146,0.04141203656692403,0.014445559952019127
MOM12_1,OPFY1_REV,DISLOCATION,CONF_2023_2024,94,0.04141203656692403,-0.008329211801250791
MOM12_1,OPFY1_REV,DISLOCATION,STRESS_2025,46,0.04141203656692403,-0.00829994046623228
MOM12_1,OPFY1_REV,DISLOCATION,STRESS_2026,26,0.04141203656692403,0.010689715319057269
MOM12_1,PBR12MF,TRAIL20,DISC_2016_2019,180,-0.19359352909068442,0.037614864026092376
MOM12_1,PBR12MF,TRAIL20,VAL_2020_2022,146,-0.19359352909068442,-0.08808109042932966
MOM12_1,PBR12MF,TRAIL20,CONF_2023_2024,94,-0.19359352909068442,-0.0659936504870835
MOM12_1,PBR12MF,TRAIL20,STRESS_2025,46,-0.19359352909068442,-0.11406984613231419
MOM12_1,PBR12MF,TRAIL20,STRESS_2026,26,-0.19359352909068442,-0.0668886396064381
MOM12_1,PBR12MF,DISLOCATION,DISC_2016_2019,180,-0.12893518653737107,0.013514734723204302
MOM12_1,PBR12MF,DISLOCATION,VAL_2020_2022,146,-0.12893518653737107,-0.03986353246642382
MOM12_1,PBR12MF,DISLOCATION,CONF_2023_2024,94,-0.12893518653737107,-0.020823229592355386
MOM12_1,PBR12MF,DISLOCATION,STRESS_2025,46,-0.12893518653737107,-0.014744039954098787
MOM12_1,PBR12MF,DISLOCATION,STRESS_2026,26,-0.12893518653737107,-0.054881426271403466
MOM12_1,PER12MF,TRAIL20,DISC_2016_2019,180,-0.27824927025829194,0.07932955430751276
MOM12_1,PER12MF,TRAIL20,VAL_2020_2022,146,-0.27824927025829194,-0.21016167868993363
MOM12_1,PER12MF,TRAIL20,CONF_2023_2024,94,-0.27824927025829194,-0.03272226772299347
MOM12_1,PER12MF,TRAIL20,STRESS_2025,46,-0.27824927025829194,-0.09364164158650268
MOM12_1,PER12MF,TRAIL20,STRESS_2026,26,-0.27824927025829194,-0.145200880038856
MOM12_1,PER12MF,DISLOCATION,DISC_2016_2019,180,-0.1989192398429643,0.03329554569338444
MOM12_1,PER12MF,DISLOCATION,VAL_2020_2022,146,-0.1989192398429643,-0.1211567348499647
MOM12_1,PER12MF,DISLOCATION,CONF_2023_2024,94,-0.1989192398429643,-0.02967941720787448
MOM12_1,PER12MF,DISLOCATION,STRESS_2025,46,-0.1989192398429643,-0.0038515110886221393
MOM12_1,PER12MF,DISLOCATION,STRESS_2026,26,-0.1989192398429643,-0.10480321118335345
MOM12_1,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,-0.14339753909464545,0.02061582088540559
MOM12_1,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,-0.14339753909464545,-0.07635253806326836
MOM12_1,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,-0.14339753909464545,-0.029552110738930937
MOM12_1,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,-0.14339753909464545,-0.024248961103499722
MOM12_1,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,-0.14339753909464545,-0.039326193145827526
MOM12_1,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,-0.05775270250824279,0.0026512531250798554
MOM12_1,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,-0.05775270250824279,-0.022024675678828265
MOM12_1,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,-0.05775270250824279,-0.0006221093167735336
MOM12_1,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,-0.05775270250824279,-0.00011934575076222309
MOM12_1,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,-0.05775270250824279,-0.010361661430724478
MOM12_1,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,0.053363450368510354,0.0028520944817371774
MOM12_1,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,0.053363450368510354,0.012160718642418966
MOM12_1,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,0.053363450368510354,-0.019252660397103716
MOM12_1,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,0.053363450368510354,1.1217954653419682e-05
MOM12_1,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,0.053363450368510354,0.019054814396606057
MOM12_1,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,0.20890309732326307,0.03284587710039433
MOM12_1,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,0.20890309732326307,-0.006002404008629725
MOM12_1,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,0.20890309732326307,-0.05221879435804544
MOM12_1,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,0.20890309732326307,-0.02969458365987543
MOM12_1,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,0.20890309732326307,0.06950221064386108
OP12_REV,OPFY1_REV,TRAIL20,DISC_2016_2019,180,0.1739539930133229,0.030220431543990567
OP12_REV,OPFY1_REV,TRAIL20,VAL_2020_2022,146,0.1739539930133229,-0.06613668021663432
OP12_REV,OPFY1_REV,TRAIL20,CONF_2023_2024,94,0.1739539930133229,-0.09702427121393908
OP12_REV,OPFY1_REV,TRAIL20,STRESS_2025,46,0.1739539930133229,-0.059530968012339036
OP12_REV,OPFY1_REV,TRAIL20,STRESS_2026,26,0.1739539930133229,0.05987148472255266
OP12_REV,OPFY1_REV,DISLOCATION,DISC_2016_2019,180,0.20189743321084644,0.025744910810074684
OP12_REV,OPFY1_REV,DISLOCATION,VAL_2020_2022,146,0.20189743321084644,-0.05755409323060379
OP12_REV,OPFY1_REV,DISLOCATION,CONF_2023_2024,94,0.20189743321084644,-0.08245634385312428
OP12_REV,OPFY1_REV,DISLOCATION,STRESS_2025,46,0.20189743321084644,-0.05617920640588392
OP12_REV,OPFY1_REV,DISLOCATION,STRESS_2026,26,0.20189743321084644,0.0797429407586413
OP12_REV,PBR12MF,TRAIL20,DISC_2016_2019,180,-0.04065771249988681,0.0016392489784309294
OP12_REV,PBR12MF,TRAIL20,VAL_2020_2022,146,-0.04065771249988681,-0.0073707307288204404
OP12_REV,PBR12MF,TRAIL20,CONF_2023_2024,94,-0.04065771249988681,-0.00215907459521425
OP12_REV,PBR12MF,TRAIL20,STRESS_2025,46,-0.04065771249988681,-0.019639745290302546
OP12_REV,PBR12MF,TRAIL20,STRESS_2026,26,-0.04065771249988681,-0.008289951482797209
OP12_REV,PBR12MF,DISLOCATION,DISC_2016_2019,180,-0.0696461261809622,0.0034727762163561104
OP12_REV,PBR12MF,DISLOCATION,VAL_2020_2022,146,-0.0696461261809622,-0.008142005033121125
OP12_REV,PBR12MF,DISLOCATION,CONF_2023_2024,94,-0.0696461261809622,-0.01486547936448468
OP12_REV,PBR12MF,DISLOCATION,STRESS_2025,46,-0.0696461261809622,-0.006668291796695813
OP12_REV,PBR12MF,DISLOCATION,STRESS_2026,26,-0.0696461261809622,-0.03465049798857134
OP12_REV,PER12MF,TRAIL20,DISC_2016_2019,180,-0.1184530437842874,0.01408597114394805
OP12_REV,PER12MF,TRAIL20,VAL_2020_2022,146,-0.1184530437842874,-0.057980511201866314
OP12_REV,PER12MF,TRAIL20,CONF_2023_2024,94,-0.1184530437842874,0.008130315301253521
OP12_REV,PER12MF,TRAIL20,STRESS_2025,46,-0.1184530437842874,-0.03608083664126682
OP12_REV,PER12MF,TRAIL20,STRESS_2026,26,-0.1184530437842874,-0.047043640869135706
OP12_REV,PER12MF,DISLOCATION,DISC_2016_2019,180,-0.13864837017478335,0.014280952456232177
OP12_REV,PER12MF,DISLOCATION,VAL_2020_2022,146,-0.13864837017478335,-0.05274356424577298
OP12_REV,PER12MF,DISLOCATION,CONF_2023_2024,94,-0.13864837017478335,-0.03333324807537763
OP12_REV,PER12MF,DISLOCATION,STRESS_2025,46,-0.13864837017478335,-0.001058131882971436
OP12_REV,PER12MF,DISLOCATION,STRESS_2026,26,-0.13864837017478335,-0.08442380776812075
OP12_REV,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,0.0156528142572126,0.00024737093123361475
OP12_REV,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,0.0156528142572126,-0.0006890403998478511
OP12_REV,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,0.0156528142572126,-0.0006511149786398995
OP12_REV,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,0.0156528142572126,0.003852976386070628
OP12_REV,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,0.0156528142572126,0.010809198298960099
OP12_REV,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,-0.0015898494390591243,1.8717102296950117e-06
