factor_a,factor_b,spec,period,n,beta_discovery,incremental_oos_r2
PER12MF,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,-0.277512631094292,-0.13429038369755308
PER12MF,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,-0.277512631094292,-0.03572296055637425
PER12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,-0.277512631094292,0.005242224422358888
PER12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,-0.277512631094292,-0.13529036802090522
PER12MF,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,-0.16084370113370164,0.02658078638413852
PER12MF,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,-0.16084370113370164,-0.10140155647229432
PER12MF,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,-0.16084370113370164,0.0027305128461979633
PER12MF,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,-0.16084370113370164,-0.11532585821983421
PER12MF,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,-0.16084370113370164,-0.0038958197091296665
PER12MF,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,-0.220803574455115,0.0368073319093839
PER12MF,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,-0.220803574455115,-0.12082854538427834
PER12MF,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,-0.220803574455115,-0.03861710370014104
PER12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,-0.220803574455115,-0.049754534635624514
PER12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,-0.220803574455115,-0.04029770908971164
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,-0.043563058361314064,0.00188614349402616
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,-0.043563058361314064,-0.004423780651817477
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,-0.043563058361314064,-0.011644733493218817
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,-0.043563058361314064,-0.022646867825161898
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,-0.043563058361314064,-0.03262602589234076
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,0.0009202475706281446,6.222229688157555e-07
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,0.0009202475706281446,0.00021340365577993126
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,0.0009202475706281446,-2.4705082340537032e-05
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,0.0009202475706281446,-2.390868065105245e-05
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,0.0009202475706281446,-5.029608973661226e-05
