universe,base_state,train_n,base_silhouette,base_persistence,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_20D,MKT_FWD_DD20,NEXT_BASE_UP,NEXT_BASE_DOWN
K200,B1,5,0.2457178397662007,0.6923076923076923,-0.1143304210621183,-0.20771454168099907,0.6099994542039968,-0.2317546939855836,0.5742855584642235,0.08866470254186844,-0.029733773554947763,0.2,0.0
K200,B2,97,0.2457178397662007,0.6923076923076923,-0.03139159776577428,-0.07076513079803329,0.1747048696247358,-0.09262269939622875,0.39136160440775813,0.004529011900914135,-0.03405159638420729,0.21649484536082475,0.010309278350515464
K200,B3,137,0.2457178397662007,0.6923076923076923,0.004366770437239962,0.035232406492952985,0.14051175852600617,-0.0289772105090424,0.3145095754756141,-0.0026145087997159347,-0.031282768280867755,0.19708029197080293,0.1386861313868613
K200,B4,94,0.2457178397662007,0.6923076923076923,0.04442766821123901,0.0732907858741149,0.12665271522655405,-0.01242983273240593,0.5573923862558687,0.007315522016161416,-0.02493424993140487,0.0,0.3191489361702128
KOSDAQ,B1,5,0.2641008798259784,0.7258382642998028,-0.09850930012004515,-0.18067379614560442,0.7751127544118724,-0.20997383978605222,0.47383414600982776,0.18720981692176195,-0.026470601658370164,0.2,0.0
KOSDAQ,B2,72,0.2641008798259784,0.7258382642998028,-0.058290374992910975,-0.11659043500528204,0.2859883975912705,-0.1460747556883066,0.3016532496719162,0.01648157267193282,-0.04424168434019954,0.19444444444444445,0.013888888888888888
KOSDAQ,B3,145,0.2641008798259784,0.7258382642998028,-0.00690802159933537,0.03385149701634969,0.18402642829726848,-0.04406399987382299,0.3031041656327024,-0.004165724733428032,-0.0474701083801617,0.19310344827586207,0.10344827586206896
KOSDAQ,B4,111,0.2641008798259784,0.7258382642998028,0.06183191702145716,0.06848882426338429,0.16140378927305302,-0.020785357504819833,0.4442614644182529,-0.0032836623061724434,-0.042499541245289665,0.0,0.3153153153153153
KOSDAQ_PLUS_KOSPI_EX_K200,B1,5,0.2646745797037004,0.7218934911242604,-0.10212276961464768,-0.19482702762845347,0.7381711502233741,-0.21687685733571413,0.48937682136228033,0.1971762085881858,-0.022559784233370014,0.2,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,B2,66,0.2646745797037004,0.7218934911242604,-0.0586299663969766,-0.11758117084831254,0.2635156569529675,-0.14368577411299316,0.3050754303729323,0.014546638155477382,-0.04218573335096945,0.16666666666666666,0.015151515151515152
KOSDAQ_PLUS_KOSPI_EX_K200,B3,140,0.2646745797037004,0.7218934911242604,-0.0062452600907844475,0.02686340294105238,0.16738571573898356,-0.040067299467749846,0.29852286913856413,-0.01034355094199759,-0.04866259343394917,0.21428571428571427,0.08571428571428572
