date,universe,state,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_RET_60D,LIQ_5D_20D,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,LEADER_STRENGTH_60D
2016-04-01,K200,MIXED,-0.0023417693470179513,0.0031261461525708364,-0.0073977804315253914,0.028945939108440344,0.4232804232804232,0.625,0.0,0.17173420872798034
2016-04-08,K200,OTHER_UPTREND,0.023075743520808375,0.003595158513265877,0.0003636685251418026,0.04086405131788995,0.3703703703703703,0.5,0.0,0.23468727560782948
2016-04-18,K200,BROAD_EXPANSION,0.0005562300813353218,-0.03111151553422679,-0.031111515534226752,0.07455133351965149,0.4947368421052631,0.5,0.0,0.32712685185484486
2016-04-25,K200,OTHER_UPTREND,-0.017744493707586708,-0.029449635114186006,-0.04195313186001526,0.06614928990553737,0.4473684210526316,0.5,0.0,0.36168891493132854
2016-05-02,K200,MIXED,-0.0018753135141996646,-0.0020369406753412765,-0.02464596838332367,0.031039040403849638,0.3989361702127659,0.5,0.0,0.29516880847950233
2016-05-11,K200,CONCENTRATED_TREND,-0.012304614838905206,0.023505577765570773,-0.022813437216241073,0.060958903946020326,0.4095744680851064,0.125,0.0,0.20373827190940885
2016-05-18,K200,MIXED,0.0022724284205475247,-0.0005104017065256987,-0.010639740283510224,0.017127990640081414,0.2287234042553191,0.125,0.125,0.05435132806044
2016-05-25,K200,MIXED,0.009998806412685312,0.01589053277526019,-0.0027765206825640654,0.014702799957813317,0.2340425531914893,0.0,0.25,0.0442795704929037
2016-06-01,K200,MIXED,0.023671341717854538,-0.0019786137677110655,-0.023422530528639296,0.008652279720493539,0.4574468085106383,0.125,0.125,0.03097543791899655
2016-06-09,K200,MIXED,-0.03548032839632202,-0.023838983398311378,-0.04600487512668261,0.02492094335392392,0.6808510638297872,0.125,0.0,0.04432728481808895
2016-06-16,K200,MIXED,0.01871902722406922,0.03187821847963803,-0.010911697335174164,-0.02223275937590974,0.3789473684210526,0.0,0.25,0.05223211162387585
2016-06-23,K200,MIXED,-0.007766706797394917,0.014707373548308016,-0.02908625810198573,9.336705034779236e-05,0.1421052631578947,0.25,0.0,0.042512592770487655
2016-06-30,K200,MIXED,0.0012491429364384036,0.02669801771333791,-0.009577956012873257,-0.000897918582324686,0.5368421052631579,0.0,0.375,0.0339156570339187
2016-07-07,K200,MIXED,0.019572410182690222,0.014363775907057567,-0.005159580971373479,0.0026981906125462807,0.1578947368421052,0.0,0.375,0.0281108688191215
2016-07-14,K200,MIXED,0.0017671562263144422,0.021930948698106714,-0.008035667422332415,-0.0007353635709935746,0.4157894736842105,0.125,0.0,0.033621389687765145
2016-07-21,K200,MIXED,0.0039583645459659225,0.02645262039795075,-0.00978553108645952,0.00047399941893710995,0.3492063492063492,0.25,0.0,0.0289810399288827
2016-07-28,K200,MIXED,-0.010779368684548388,0.013757863712121595,-0.013689706782452848,0.02257939384702423,0.4232804232804232,0.5,0.0,0.03343589920359155
2016-08-04,K200,MIXED,0.027178439483115265,0.02506268760890608,0.010651729596946824,0.013457183503812198,0.5585106382978723,0.25,0.0,0.028807540686879553
2016-08-11,K200,BROAD_EXPANSION,0.006199610499191047,-2.82120459476391e-05,-0.004177081038402197,0.0539700639227052,0.4840425531914893,0.375,0.0,0.030201273247002548
2016-08-19,K200,BROAD_EXPANSION,-0.008458192153624196,-0.008543651539052894,-0.030510359976031798,0.05809981171292078,0.526595744680851,0.625,0.125,0.051954181774707155
2016-08-26,K200,OTHER_UPTREND,0.00025183061104868694,0.007507248476565871,-0.022240280387475386,0.03876380202280805,0.3404255319148936,0.375,0.125,0.042750358728088855
2016-09-02,K200,MIXED,0.0020357516609503536,0.015447815317435597,-0.0224864482225281,0.01499900622614514,0.2659574468085106,0.625,0.0,0.03543013893058745
2016-09-09,K200,CONCENTRATED_TREND,-0.0023688631361727846,-0.01293268599521166,-0.024472380194849208,0.05447853691557092,0.3776595744680851,0.125,0.75,0.09367002707553573
2016-09-21,K200,MIXED,0.007594091382361383,0.004203253709221023,-0.010588906529368614,0.032650410435693944,0.3723404255319149,0.0,0.0,0.06305352677409945
2016-09-28,K200,CONCENTRATED_TREND,0.008135214607222562,-0.010708987220993048,-0.01804595527826447,0.04863690741539761,0.324468085106383,0.125,0.0,0.08005757054079721
2016-10-06,K200,OTHER_UPTREND,-0.02596989918231143,-0.0350992442964639,-0.03662981876803395,0.05584888752248185,0.5026455026455027,0.25,0.0,0.15304835827361143
2016-10-13,K200,MIXED,0.01495046936122591,-0.00031052114364698506,-0.021631182139333682,0.008686178726128091,0.4840425531914893,0.25,0.0,0.13945778571277034
2016-10-20,K200,MIXED,-0.007368502888324693,-0.03201173127125492,-0.037205877347155414,0.02196054659330593,0.3227513227513227,0.5,0.0,0.14289177809398976
2016-10-27,K200,MIXED,-0.016719632685924614,-0.023245139890515715,-0.030058863279727288,0.010430574790568636,0.3809523809523809,0.375,0.125,0.10796284561157916
2016-11-03,K200,MIXED,0.009147975189286731,0.0012375584744102768,-0.013566049966236893,0.004362945204904545,0.3492063492063492,0.125,0.25,0.1281944542701512
2016-11-10,K200,MIXED,-0.017234682907399528,0.019075796781336352,-0.022508121419223093,-0.013267029807688124,0.6190476190476191,0.125,0.25,0.13462080135768326
2016-11-17,K200,DEFENSIVE_WEAKNESS,0.00162127003346677,0.036361467305891265,-0.005203812564141597,-0.03624794700956535,0.5714285714285714,0.25,0.125,0.183591569542198
2016-11-24,K200,MIXED,0.007926629773835006,0.03442017532935391,-0.0014642321878359787,-0.02645098000426338,0.3052631578947368,0.125,0.125,0.19424818824193524
2016-12-01,K200,MIXED,0.027127146981251134,0.019981674397984914,-0.009317009476948024,-0.018981067953185216,0.2789473684210526,0.5,0.0,0.18840997666169884
2016-12-08,K200,MIXED,-0.0005649145468155587,0.004093994090336819,-0.007922201466550427,0.005584057392776787,0.3157894736842105,0.75,0.0,0.18563464900377669
2016-12-15,K200,MIXED,-0.0002549472868277275,0.020982185994327374,-0.0073614455073878204,0.007402386707873854,0.3789473684210526,0.625,0.0,0.18245647031435916
2016-12-22,K200,MIXED,-0.0061420726063245255,0.015384412147063669,-0.0071083104650271345,-0.0004451586045988165,0.2894736842105263,0.25,0.0,0.1981042449084881
2016-12-29,K200,MIXED,0.011128165669967851,0.024016301714011742,0.000296166027677236,-0.0146009299232841,0.2670157068062827,0.25,0.0,0.1541661620521401
2017-01-06,K200,MIXED,0.016244917618355257,0.01589160168005739,-0.0005925148485527165,0.022930146966837706,0.5392670157068062,0.125,0.0,0.1383164550160767
2017-01-13,K200,MIXED,-0.0057362835792517,-0.0019530691706186611,-0.006200922211040072,0.02423477235091065,0.5863874345549738,0.5,0.0,0.1135597169163726
