universe,base_k,base_rank,base_state,base_role,factor_method,period,n_high,n_low,base_distance_z,factor_distance_z,MKT_FWD_20D_high,MKT_FWD_20D_low,MKT_FWD_20D_diff,MKT_FWD_DD20_high,MKT_FWD_DD20_low,MKT_FWD_DD20_diff,NEXT_UP_high,NEXT_UP_low,NEXT_UP_diff,NEXT_DOWN_high,NEXT_DOWN_low,NEXT_DOWN_diff
K200,3,2,B2,REPAIR_MID,KMEANS,TRAIN,39,101,0.971824122812896,2.8856312763914795,0.00902265359385916,0.0016885524229832756,0.007334101170875885,-0.029834904528570787,-0.03507221532894525,0.005237310800374463,0.3076923076923077,0.13861386138613863,0.16907844630616908,0.0,0.009900990099009901,-0.009900990099009901
K200,3,2,B2,REPAIR_MID,KMEANS,VALID_2023_2024,11,32,0.7910782304011033,2.7223747835239593,-0.016457571009834058,0.013936916426619258,-0.030394487436453316,-0.05055538264420061,-0.02652450644877196,-0.024030876195428652,0.2727272727272727,0.15625,0.11647727272727271,0.0,0.0,0.0
K200,3,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,72,68,0.9834921028906244,1.845177454516966,-0.00038838583875343356,0.008093986254000962,-0.008482372092754395,-0.03566857440062134,-0.03143702452930873,-0.0042315498713126135,0.18055555555555555,0.19117647058823528,-0.010620915032679729,0.0,0.014705882352941176,-0.014705882352941176
K200,3,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,26,17,0.9846588044910347,2.374256344160357,-0.0021616073078016772,0.018891166738028545,-0.02105277404583022,-0.036246794860288895,-0.027204514651729305,-0.00904228020855959,0.19230769230769232,0.17647058823529413,0.01583710407239819,0.0,0.0,0.0
K200,3,3,B3,STRONG,KMEANS,TRAIN,61,127,0.8165773057928031,2.659744698919687,0.004139582569700101,-4.847482902962777e-05,0.004188057398729728,-0.02725137993895641,-0.028065940127440753,0.0008145601884843451,0.0,0.0,0.0,0.09836065573770492,0.16535433070866143,-0.06699367497095651
K200,3,3,B3,STRONG,KMEANS,VALID_2023_2024,19,35,0.5172518363084241,2.4172286004573813,-0.0017773604836276056,0.0006692479332922052,-0.0024466084169198106,-0.03415065982631639,-0.028570150761295456,-0.005580509065020934,0.0,0.0,0.0,0.05263157894736842,0.2,-0.1473684210526316
K200,3,3,B3,STRONG,KMEANS,STRESS_2025,28,12,1.9103397593251372,3.406268126389264,0.05419806866992148,0.08047576710383658,-0.0262776984339151,-0.022833499880277684,-0.025762769789942675,0.002929269909664991,0.0,0.0,0.0,0.07142857142857142,0.08333333333333333,-0.011904761904761904
K200,3,3,B3,STRONG,SCORE_MEDIAN,TRAIN,94,94,0.7431473939091653,1.9700350504088455,0.0009889330278438668,0.0016318992430597852,-0.0006429662152159185,-0.02916617383594512,-0.02643710884981357,-0.0027290649861315477,0.0,0.0,0.0,0.0851063829787234,0.20212765957446807,-0.11702127659574467
K200,3,3,B3,STRONG,SCORE_MEDIAN,VALID_2023_2024,30,24,0.8976036987336674,1.8083312406988399,-0.005991250314221517,0.007057972412622841,-0.013049222726844358,-0.03827379889185247,-0.020858493607907435,-0.017415305283945037,0.0,0.0,0.0,0.1,0.20833333333333334,-0.10833333333333334
K200,3,3,B3,STRONG,SCORE_MEDIAN,STRESS_2025,31,9,2.789879476229086,3.2100253054903773,0.0650045002083104,0.05201284683846863,0.012991653369841774,-0.018992997039805164,-0.03996759176590303,0.02097459472609787,0.0,0.0,0.0,0.06451612903225806,0.1111111111111111,-0.04659498207885304
K200,4,2,B2,REPAIR_MID,KMEANS,TRAIN,24,73,1.2023560515825584,2.9287626263376763,0.0001425188683713708,0.005971146596544636,-0.005828627728173265,-0.03529787238607314,-0.03364186180825138,-0.001656010577821762,0.2916666666666667,0.1917808219178082,0.09988584474885848,0.0,0.0136986301369863,-0.0136986301369863
K200,4,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,55,42,0.8328962218719995,1.730449364331394,-0.0016323386752800204,0.012597447179263628,-0.014229785854543648,-0.03966898437170701,-0.02669549306724335,-0.01297349130446366,0.2727272727272727,0.14285714285714285,0.12987012987012986,0.01818181818181818,0.0,0.01818181818181818
K200,4,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,17,10,1.3355596824593623,2.6159970636363936,0.007820144807880966,0.003507752059131168,0.004312392748749798,-0.028211944083233558,-0.03601404764521724,0.007802103561983683,0.35294117647058826,0.0,0.35294117647058826,0.0,0.0,0.0
K200,4,3,B3,REPAIR_MID,KMEANS,TRAIN,51,86,0.9017996520335944,2.7032659218058144,0.004990106186969569,-0.007124222338331756,0.012114328525301326,-0.02544450966035049,-0.03474499141629079,0.0093004817559403,0.13725490196078433,0.23255813953488372,-0.09530323757409939,0.058823529411764705,0.18604651162790697,-0.12722298221614226
K200,4,3,B3,REPAIR_MID,KMEANS,VALID_2023_2024,16,29,0.8803624819849036,2.490568848830853,-0.0015302339305760916,0.012473318684282371,-0.014003552614858462,-0.03921625586429066,-0.02311228404324268,-0.016103971821047978,0.375,0.20689655172413793,0.16810344827586207,0.0625,0.13793103448275862,-0.07543103448275862
K200,4,3,B3,REPAIR_MID,KMEANS,STRESS_2025,10,8,1.9960654907382664,3.2614215887819404,0.03231449077278424,0.07074602281063125,-0.03843153203784701,-0.037244201611089225,-0.035675223053206716,-0.0015689785578825097,0.4,0.25,0.15000000000000002,0.0,0.125,-0.125
K200,4,3,B3,REPAIR_MID,SCORE_MEDIAN,TRAIN,72,65,0.852765468277571,1.9144995888067908,0.001643399969488411,-0.007330961590219205,0.008974361559707615,-0.0277477449806358,-0.03519848639804777,0.00745074141741197,0.2222222222222222,0.16923076923076924,0.05299145299145297,0.1111111111111111,0.16923076923076924,-0.058119658119658135
K200,4,3,B3,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,27,18,1.0728445507755164,2.1171255457814673,0.0011411220832791074,0.017024011261468627,-0.01588288917818952,-0.034396659022563315,-0.02050036319297105,-0.013896295829592266,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.05555555555555555,0.09259259259259259
K200,4,3,B3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,8,10,1.9547327944600728,2.8975043634750928,0.04351714773640761,0.054097590832163145,-0.010580443095755537,-0.029576721983850897,-0.04212300246657387,0.012546280482722973,0.5,0.2,0.3,0.0,0.1,-0.1
K200,4,4,B4,STRONG,KMEANS,TRAIN,26,68,0.8769469928148867,2.7157828706672817,0.0030969066460011497,0.00892852201063446,-0.00583161536463331,-0.03051963500926741,-0.022798661519280967,-0.007720973489986443,0.0,0.0,0.0,0.2692307692307692,0.3382352941176471,-0.06900452488687786
K200,4,4,B4,STRONG,KMEANS,VALID_2023_2024,10,15,0.35754907246986944,2.6006111769184588,0.0036706494758942305,-0.019157806867950482,0.022828456343844714,-0.03474827494251559,-0.037917908161151655,0.0031696332186360657,0.0,0.0,0.0,0.5,0.5333333333333333,-0.033333333333333326
K200,4,4,B4,STRONG,SCORE_MEDIAN,TRAIN,52,42,0.829833168494556,2.005333752939274,0.005620031107227607,0.009414701236746134,-0.003794670129518527,-0.028247845242420695,-0.02083170335586147,-0.007416141886559226,0.0,0.0,0.0,0.28846153846153844,0.35714285714285715,-0.06868131868131871
