universe,base_state,period,factor_substate,n,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20,NEXT_BASE_UP,NEXT_BASE_DOWN,NEXT_BASE_SAME
K200,B2,TRAIN_2016_2022,F_HIGH,24,0.009803135077823757,-0.07508005387368201,0.17072734716624982,-0.08851309889337233,0.3785881203701567,0.421875,0.052083333333333336,0.1111111111111111,0.13194444444444442,0.05330030076623987,0.036869890419286254,0.0005422556623597207,0.0001425188683713708,-0.03529787238607314,0.17137141142050094,0.2916666666666667,0.0,0.7083333333333334
K200,B2,TRAIN_2016_2022,F_LOW,73,-0.04493507157736815,-0.06934652595124469,0.1760125482412243,-0.09397380093141441,0.39556110600916133,0.02910958904109589,0.3219178082191781,0.0,0.0,0.042983224919673844,0.020945935429254235,-0.0018504094025441156,0.005971146596544636,-0.03364186180825138,0.1717794930594417,0.1917808219178082,0.0136986301369863,0.7945205479452054
K200,B2,NORMAL_2023_2024,F_HIGH,6,-0.0055279548242709335,-0.046474414356586446,0.2327426796864033,-0.07932635470231342,0.35871404399323176,0.375,0.0,0.13888888888888887,0.11111111111111109,0.060938783438724616,0.030302737081002836,0.001290797806637117,-0.014310588533853799,-0.0464716549143229,0.18241804377447293,0.3333333333333333,0.0,0.6666666666666666
K200,B2,NORMAL_2023_2024,F_LOW,21,-0.045098984175019154,-0.04878023750920567,0.21478558223377076,-0.08830075011152114,0.4202740458333143,0.07738095238095238,0.40476190476190477,0.007936507936507933,0.0,0.054132646520059884,0.020470626908635804,0.0022688379267857234,0.01208969112040052,-0.026710171256247882,0.2006653132325027,0.19047619047619047,0.0,0.8095238095238095
K200,B3,TRAIN_2016_2022,F_HIGH,51,0.005864720240067208,0.0625684624759016,0.15933255168091834,-0.030592008319269965,0.30495454231969393,0.5098039215686274,0.022058823529411766,0.21895424836601302,0.21241830065359474,0.07782546221076694,0.03630915945346263,-7.001032990547421e-05,0.004990106186969569,-0.02544450966035049,0.13753147310892808,0.13725490196078433,0.058823529411764705,0.803921568627451
K200,B3,TRAIN_2016_2022,F_LOW,86,0.0034784513681214804,0.019021489572832298,0.12935059049227918,-0.028019597854140002,0.3201759323471482,0.14244186046511628,0.12209302325581395,0.007751937984496121,0.025193798449612396,0.05613611073558508,0.018836040311263923,-0.0009171569222758662,-0.007124222338331756,-0.03474499141629079,0.1392247589316335,0.23255813953488372,0.18604651162790697,0.5813953488372093
K200,B3,NORMAL_2023_2024,F_HIGH,16,0.01305240818346855,0.03431480417942499,0.14906235449631117,-0.025661760059461095,0.34764655843109427,0.5,0.03125,0.3125,0.09375,0.07035182318270733,0.026591216509300963,0.002040946502162313,-0.0015302339305760916,-0.03921625586429066,0.1863770196043995,0.375,0.0625,0.5625
K200,B3,NORMAL_2023_2024,F_LOW,29,0.0009808650648934533,0.018305246493085577,0.1619864426749192,-0.033167387192673994,0.302743603130489,0.1724137931034483,0.1336206896551724,0.01724137931034482,0.02298850574712643,0.06600984195931588,0.020827427361706105,0.001114067850841162,0.012473318684282371,-0.02311228404324268,0.15518838799751633,0.20689655172413793,0.13793103448275862,0.6551724137931034
K200,B3,STRONG_2025,F_HIGH,10,0.01401387116967131,0.11155942028940462,0.24522810484901686,-0.042392562012991,0.3140850125621699,0.4875,0.0375,0.24999999999999994,0.11666666666666665,0.09142178806445364,0.04433121034338089,0.012938489724979218,0.03231449077278424,-0.037244201611089225,0.22843020517354526,0.4,0.0,0.6
K200,B3,STRONG_2025,F_LOW,8,0.004470921142140488,0.16817274851108815,0.18661235242283145,-0.022231393371316396,0.24148989898989898,0.03125,0.234375,0.0,0.020833333333333325,0.051278541762429936,0.024425031254650988,0.009060273376838375,0.07074602281063125,-0.035675223053206716,0.2126147755200605,0.25,0.125,0.625
