model,date,universe,state,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,2016-04-01,KOSDAQ,S4,0.0268988227664817,0.025576540169836903,0.10165177657020306,-0.005450203530229847,0.4313725490196078,0.008102449854543678,-0.0007284966588253178,-0.0007284966588250175,0.08070367225527401
BASE,2016-04-08,KOSDAQ,S4,0.012438637108679096,0.03681563462202053,0.09800449549453982,-0.0022220190734868472,0.4148606811145511,-0.001170086076381281,0.01089237461153013,-0.008759969301377013,0.09965177117066334
BASE,2016-04-18,KOSDAQ,S4,0.001434948561639393,0.02271142672902471,0.09664286532114603,-0.003389505196288445,0.3925619834710744,0.011539384532520246,-0.015989741983095957,-0.01598974198309544,0.11929127949249047
BASE,2016-04-25,KOSDAQ,S4,0.03048882747366699,0.037155725314225396,0.09537380671669658,0.0,0.4422680412371134,-0.01891983571804939,-0.019246553033733002,-0.0339226185639081,0.12621000645364652
BASE,2016-05-02,KOSDAQ,S4,-0.0007284966588250175,0.012254215339214003,0.08070367225527358,-0.018919835718049338,0.3831775700934579,0.019826019232754826,0.01596887686535935,-0.015292106998044508,0.12239363938435666
BASE,2016-05-11,KOSDAQ,S4,0.010892374611530586,0.09151016241358789,0.099651771170663,0.0,0.288981288981289,-0.02773143214906616,0.0054217234090980495,-0.034435409146767904,0.10101140490456056
BASE,2016-05-18,KOSDAQ,S3,-0.01598974198309544,0.07883629836718953,0.11929127949249016,-0.029034280088763742,0.365625,0.008191459428223712,-0.0030267060345941167,-0.00689519050535603,0.12322504049386883
BASE,2016-05-25,KOSDAQ,S3,-0.019246553033732794,0.07486951539228603,0.12621000645364625,-0.021080653787915127,0.3056133056133056,0.01630732545842247,-0.011516424378840416,-0.013087620112539389,0.1311338861851986
BASE,2016-06-01,KOSDAQ,S4,0.015968876865359194,0.04253720506428316,0.12239363938435638,-0.0051170974116886425,0.3240165631469979,0.009238823336830336,-0.034312070957592186,-0.07382154743915281,0.2314575403757421
BASE,2016-06-09,KOSDAQ,S4,0.005421723409097634,0.029015450285970523,0.10101140490456023,0.0,0.4145077720207253,-0.03590127989012794,-0.011995838639035802,-0.08230001547241517,0.2495383417513274
BASE,2016-06-16,KOSDAQ,S3,-0.0030267060345945396,-0.017560321386102196,0.12322504049386852,-0.03814632552715369,0.3202479338842975,-0.00039378711692319177,0.03401876433702968,-0.048126539963666226,0.2296467775767102
BASE,2016-06-23,KOSDAQ,S3,-0.01151642437884104,-0.0009836676837421399,0.13113388618519833,-0.03852509111252622,0.3025641025641025,-0.007129971000437108,0.04063733831987514,-0.04775155679462173,0.21924133277379296
BASE,2016-06-30,KOSDAQ,S3,-0.03431207095759237,-0.019605853869863243,0.23145754037574198,-0.04538037933054184,0.5513347022587269,0.03256148003486403,0.04148074305799411,0.01363524373801761,0.10237497568274616
BASE,2016-07-07,KOSDAQ,S3,-0.011995838639036194,0.004180905117049383,0.2495383417513273,-0.014296551611224007,0.3295803480040942,0.008999968070690019,0.00676522158401322,-0.0051120236304345035,0.06498850767606135
BASE,2016-07-14,KOSDAQ,S5,0.03401876433702933,0.014405442884824371,0.2296467775767101,-0.0054252520485557065,0.4518442622950819,0.006004518118785466,0.0019823571435080333,-0.009092930678624045,0.07672297077291428
BASE,2016-07-21,KOSDAQ,S5,0.040637338319874816,0.008854894184906259,0.2192413327737929,0.0,0.4053224155578301,-0.00632528020571075,-0.012103132428813087,-0.016647092244760575,0.08355254968177356
BASE,2016-07-28,KOSDAQ,S4,0.04148074305799443,0.02180600606270655,0.10237497568274598,-0.006325280205710548,0.3094994892747701,-0.0018567369819049084,-0.027806757618286857,-0.02780675761828655,0.08920485993577199
BASE,2016-08-04,KOSDAQ,S4,0.006765221584013492,8.115289137688997e-05,0.06498850767606104,-0.00817027280593663,0.3432073544433095,0.0042064869647741475,-0.031097688502864193,-0.051258056916766215,0.13917091822989294
BASE,2016-08-11,KOSDAQ,S4,0.001982357143508251,0.03293268386179693,0.076722970772914,-0.005722309770858414,0.3329918032786885,-0.00813751347353387,-0.05153370783902856,-0.055232210308840846,0.13349006866410787
BASE,2016-08-19,KOSDAQ,S4,-0.012103132428812668,0.016202994628281342,0.0835525496817733,-0.013813257871531981,0.3476482617586912,-0.02212075023110837,-0.025871596056645976,-0.06160708217653643,0.16462589644875392
BASE,2016-08-26,KOSDAQ,S3,-0.02780675761828655,-0.022221136159015775,0.08920485993577174,-0.035628448475386154,0.2624618514750763,-0.005235510201364631,0.007335866302096605,-0.040379558063800114,0.16413227827913027
BASE,2016-09-02,KOSDAQ,S3,-0.031097688502863763,-0.03624427624694759,0.13917091822989278,-0.040677425571299164,0.2505091649694501,-0.016974165554676963,0.008256573704189495,-0.03532901327182436,0.13234036020319698
BASE,2016-09-09,KOSDAQ,S3,-0.05153370783902855,-0.017323895590451666,0.13349006866410773,-0.056961125769990795,0.3163784333672431,0.018698744401273375,-0.007380818193784956,-0.018671785698800236,0.1395135328389726
BASE,2016-09-21,KOSDAQ,S3,-0.025871596056645685,0.0014452699607556685,0.16462589644875378,-0.039327482900299304,0.2815040650406504,0.011214576248073345,-0.0369590634490376,-0.03695906344903799,0.10311492283642502
BASE,2016-09-28,KOSDAQ,S3,0.007335866302096372,0.01994825578469417,0.1641322782791301,-0.02855394770785613,0.3904665314401622,-0.004326293067600745,-0.05554652985071425,-0.0742804692724034,0.12560991340536318
BASE,2016-10-06,KOSDAQ,S3,0.008256573704189307,-0.016488915815363936,0.13234036020319676,-0.03275670802943553,0.4030456852791878,-0.032220245391856195,-0.1101008006889828,-0.11590264301658071,0.17591996789776565
