universe,base_state,outcome,train_diff,valid_diff,same_sign,train_base_distance_z,valid_base_distance_z,train_factor_distance_z,valid_factor_distance_z,train_n_min,valid_n_min
K200,B3,MKT_FWD_20D,0.012114328525301326,-0.014003552614858462,0.0,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853,51,16
K200,B3,MKT_FWD_DD20,0.0093004817559403,-0.016103971821047978,0.0,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853,51,16
K200,B3,NEXT_BASE_UP,-0.09530323757409939,0.16810344827586207,0.0,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853,51,16
K200,B3,NEXT_BASE_DOWN,-0.12722298221614226,-0.07543103448275862,1.0,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853,51,16
K200,B4,MKT_FWD_20D,-0.00583161536463331,0.022828456343844714,0.0,0.8769469928148867,0.35754907246986944,2.7157828706672817,2.6006111769184588,26,10
K200,B4,MKT_FWD_DD20,-0.007720973489986443,0.0031696332186360657,0.0,0.8769469928148867,0.35754907246986944,2.7157828706672817,2.6006111769184588,26,10
K200,B4,NEXT_BASE_UP,0.0,0.0,1.0,0.8769469928148867,0.35754907246986944,2.7157828706672817,2.6006111769184588,26,10
K200,B4,NEXT_BASE_DOWN,-0.06900452488687786,-0.033333333333333326,1.0,0.8769469928148867,0.35754907246986944,2.7157828706672817,2.6006111769184588,26,10
KOSDAQ,B3,MKT_FWD_20D,-0.00035913470855296597,0.018439924149627834,0.0,0.9694014309159047,1.1042917962922074,2.5893023525989936,2.601248500244985,68,20
KOSDAQ,B3,MKT_FWD_DD20,0.005298707210249255,0.02376667834132295,1.0,0.9694014309159047,1.1042917962922074,2.5893023525989936,2.601248500244985,68,20
KOSDAQ,B3,NEXT_BASE_UP,0.10714285714285715,0.07096774193548389,1.0,0.9694014309159047,1.1042917962922074,2.5893023525989936,2.601248500244985,68,20
KOSDAQ,B3,NEXT_BASE_DOWN,-0.05634071810542397,-0.0967741935483871,1.0,0.9694014309159047,1.1042917962922074,2.5893023525989936,2.601248500244985,68,20
