universe,base_k,base_rank,base_role,factor_method,outcome,train_diff,valid_diff,same_sign,train_n_min,valid_n_min,train_base_dist,valid_base_dist,train_factor_dist,valid_factor_dist
K200,3,2,REPAIR_MID,KMEANS,NEXT_UP,0.16907844630616908,0.11647727272727271,1.0,39,11,0.971824122812896,0.7910782304011033,2.8856312763914795,2.7223747835239593
K200,3,2,REPAIR_MID,KMEANS,NEXT_DOWN,-0.009900990099009901,0.0,0.0,39,11,0.971824122812896,0.7910782304011033,2.8856312763914795,2.7223747835239593
K200,3,2,REPAIR_MID,KMEANS,MKT_FWD_20D,0.007334101170875885,-0.030394487436453316,0.0,39,11,0.971824122812896,0.7910782304011033,2.8856312763914795,2.7223747835239593
K200,3,2,REPAIR_MID,KMEANS,MKT_FWD_DD20,0.005237310800374463,-0.024030876195428652,0.0,39,11,0.971824122812896,0.7910782304011033,2.8856312763914795,2.7223747835239593
K200,3,2,REPAIR_MID,SCORE_MEDIAN,NEXT_UP,-0.010620915032679729,0.01583710407239819,0.0,68,17,0.9834921028906244,0.9846588044910347,1.845177454516966,2.374256344160357
K200,3,2,REPAIR_MID,SCORE_MEDIAN,NEXT_DOWN,-0.014705882352941176,0.0,0.0,68,17,0.9834921028906244,0.9846588044910347,1.845177454516966,2.374256344160357
K200,3,2,REPAIR_MID,SCORE_MEDIAN,MKT_FWD_20D,-0.008482372092754395,-0.02105277404583022,1.0,68,17,0.9834921028906244,0.9846588044910347,1.845177454516966,2.374256344160357
K200,3,2,REPAIR_MID,SCORE_MEDIAN,MKT_FWD_DD20,-0.0042315498713126135,-0.00904228020855959,1.0,68,17,0.9834921028906244,0.9846588044910347,1.845177454516966,2.374256344160357
K200,3,3,STRONG,KMEANS,NEXT_UP,0.0,0.0,1.0,61,19,0.8165773057928031,0.5172518363084241,2.659744698919687,2.4172286004573813
K200,3,3,STRONG,KMEANS,NEXT_DOWN,-0.06699367497095651,-0.1473684210526316,1.0,61,19,0.8165773057928031,0.5172518363084241,2.659744698919687,2.4172286004573813
K200,3,3,STRONG,KMEANS,MKT_FWD_20D,0.004188057398729728,-0.0024466084169198106,0.0,61,19,0.8165773057928031,0.5172518363084241,2.659744698919687,2.4172286004573813
K200,3,3,STRONG,KMEANS,MKT_FWD_DD20,0.0008145601884843451,-0.005580509065020934,0.0,61,19,0.8165773057928031,0.5172518363084241,2.659744698919687,2.4172286004573813
K200,3,3,STRONG,SCORE_MEDIAN,NEXT_UP,0.0,0.0,1.0,94,24,0.7431473939091653,0.8976036987336674,1.9700350504088455,1.8083312406988399
K200,3,3,STRONG,SCORE_MEDIAN,NEXT_DOWN,-0.11702127659574467,-0.10833333333333334,1.0,94,24,0.7431473939091653,0.8976036987336674,1.9700350504088455,1.8083312406988399
K200,3,3,STRONG,SCORE_MEDIAN,MKT_FWD_20D,-0.0006429662152159185,-0.013049222726844358,1.0,94,24,0.7431473939091653,0.8976036987336674,1.9700350504088455,1.8083312406988399
K200,3,3,STRONG,SCORE_MEDIAN,MKT_FWD_DD20,-0.0027290649861315477,-0.017415305283945037,1.0,94,24,0.7431473939091653,0.8976036987336674,1.9700350504088455,1.8083312406988399
K200,4,2,REPAIR_MID,SCORE_MEDIAN,NEXT_UP,0.12987012987012986,0.35294117647058826,1.0,42,10,0.8328962218719995,1.3355596824593623,1.730449364331394,2.6159970636363936
K200,4,2,REPAIR_MID,SCORE_MEDIAN,NEXT_DOWN,0.01818181818181818,0.0,0.0,42,10,0.8328962218719995,1.3355596824593623,1.730449364331394,2.6159970636363936
K200,4,2,REPAIR_MID,SCORE_MEDIAN,MKT_FWD_20D,-0.014229785854543648,0.004312392748749798,0.0,42,10,0.8328962218719995,1.3355596824593623,1.730449364331394,2.6159970636363936
K200,4,2,REPAIR_MID,SCORE_MEDIAN,MKT_FWD_DD20,-0.01297349130446366,0.007802103561983683,0.0,42,10,0.8328962218719995,1.3355596824593623,1.730449364331394,2.6159970636363936
K200,4,3,REPAIR_MID,KMEANS,NEXT_UP,-0.09530323757409939,0.16810344827586207,0.0,51,16,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853
K200,4,3,REPAIR_MID,KMEANS,NEXT_DOWN,-0.12722298221614226,-0.07543103448275862,1.0,51,16,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853
K200,4,3,REPAIR_MID,KMEANS,MKT_FWD_20D,0.012114328525301326,-0.014003552614858462,0.0,51,16,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853
K200,4,3,REPAIR_MID,KMEANS,MKT_FWD_DD20,0.0093004817559403,-0.016103971821047978,0.0,51,16,0.9017996520335944,0.8803624819849036,2.7032659218058144,2.490568848830853
K200,4,3,REPAIR_MID,SCORE_MEDIAN,NEXT_UP,0.05299145299145297,0.07407407407407407,1.0,65,18,0.852765468277571,1.0728445507755164,1.9144995888067908,2.1171255457814673
