date,universe,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20,LIQ_5D_20D,LIQ_1D_20D,n_factors,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,REVERSE_BREADTH,BULLISH_REVERSE_BREADTH,BEARISH_REVERSE_BREADTH,POSITIVE_ABS_BREADTH,WPLUS_FAMILY_SHARE,WMINUS_FAMILY_SHARE,RMINUS_FAMILY_SHARE,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_FAMILY,LEADER_STATE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,LEADER_RMINUS,GENUINE_ROTATION,DEFENSIVE_ROTATION,FAMILY_MEMBER_AGREEMENT
2016-05-18,K200,-0.031111515534226752,0.017127990640081414,0.07040782932448397,-0.03631190379530591,0.0022724284205475247,-0.0005104017065256987,-0.010639740283510224,0.12186349960363119,0.2287234042553191,0.3085106382978723,8.0,0.25,0.125,0.125,0.375,0.0,0.375,0.125,0.0,0.25,0.5,0.0,0.0,VALUE,R-,0.05435132806044,0.03322553733939294,1.0,0.0,1.0,0.75
2016-05-25,K200,-0.0294496351141863,0.014702799957813317,0.08700009539305809,-0.034121991576947286,0.009998806412685312,0.01589053277526019,-0.0027765206825640654,0.11808559730957419,0.2340425531914893,0.3351063829787234,8.0,0.25,0.0,0.25,0.375,0.0,0.375,0.0,0.0,0.25,0.25,0.0,0.0,VALUE,R-,0.0442795704929037,0.03644444370149028,1.0,0.0,1.0,0.75
2016-06-01,K200,-0.0020369406753414365,0.008652279720493539,0.08629122884046683,-0.02446436435245536,0.023671341717854538,-0.0019786137677110655,-0.023422530528639296,0.16192386376366003,0.4574468085106383,0.4308510638297872,8.0,0.25,0.125,0.125,0.375,0.0,0.375,0.125,0.25,0.0,0.5,0.0,0.3333333333333333,REVISION,N-,0.03097543791899655,0.036928312790536405,0.0,0.0,0.0,0.5
2016-06-09,K200,0.023505577765570163,0.02492094335392392,0.09624939798513381,-0.0013721269630982968,-0.03548032839632202,-0.023838983398311378,-0.04600487512668261,0.17418595398848125,0.6808510638297872,0.9052631578947368,8.0,0.125,0.125,0.0,0.25,0.125,0.125,0.75,0.25,0.0,0.25,0.0,0.16666666666666666,REVISION,N+,0.04432728481808895,0.016546883381303702,0.0,0.0,0.0,0.5
2016-06-16,K200,-0.0005104017065252764,-0.02223275937590974,0.1218634996036312,-0.03680377184416783,0.01871902722406922,0.03187821847963803,-0.010911697335174164,0.16623124824488286,0.3789473684210526,0.2684210526315789,8.0,0.25,0.0,0.25,0.375,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.0,REVISION,N-,0.05223211162387585,0.01607100205747428,0.0,0.0,0.0,0.5
2016-06-23,K200,0.01589053277526009,9.336705034779236e-05,0.1180855973095742,-0.0187736754271981,-0.007766706797394917,0.014707373548308016,-0.02908625810198573,0.15947056581096372,0.1421052631578947,0.1263157894736842,8.0,0.25,0.25,0.0,0.375,0.0,0.375,0.375,0.25,0.0,0.25,0.0,0.16666666666666666,REVISION,W+,0.042512592770487655,0.01650539550306344,0.0,0.0,0.0,0.5
2016-06-30,K200,-0.001978613767711468,-0.000897918582324686,0.16192386376366003,-0.026394572592041032,0.0012491429364384036,0.02669801771333791,-0.009577956012873257,0.11285501437306596,0.5368421052631579,0.2473684210526315,8.0,0.375,0.0,0.375,0.5,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,REVISION,W-,0.0339156570339187,0.017364139807910007,0.0,0.0,0.0,0.5
2016-07-07,K200,-0.023838983398311475,0.0026981906125462807,0.17418595398848127,-0.02517840024951634,0.019572410182690222,0.014363775907057567,-0.005159580971373479,0.09374547605788361,0.1578947368421052,0.1894736842105263,8.0,0.375,0.0,0.375,0.5,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,REVISION,W-,0.0281108688191215,0.02651397850740358,0.0,0.0,0.0,0.5
2016-07-14,K200,0.03187821847963779,-0.0007353635709935746,0.16623124824488286,-0.006098792044253787,0.0017671562263144422,0.021930948698106714,-0.008035667422332415,0.08729605350556763,0.4157894736842105,0.4105263157894737,8.0,0.125,0.125,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,MOMENTUM,N+,0.033621389687765145,0.009531052736700667,0.0,0.0,0.0,1.0
2016-07-21,K200,0.014707373548307645,0.00047399941893710995,0.1594705658109637,-0.004832813690731741,0.0039583645459659225,0.02645262039795075,-0.00978553108645952,0.08756082297985257,0.3492063492063492,0.3915343915343915,8.0,0.25,0.25,0.0,0.25,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,REVISION,N+,0.0289810399288827,0.007110126521674943,0.0,0.0,0.0,0.25
2016-07-28,K200,0.026698017713337574,0.02257939384702423,0.11285501437306596,-0.0036765749893448163,-0.010779368684548388,0.013757863712121595,-0.013689706782452848,0.08942109273187619,0.4232804232804232,0.4840425531914893,8.0,0.5,0.5,0.0,0.25,0.125,0.125,0.875,0.5,0.0,0.0,0.16666666666666666,0.0,REVISION,W+,0.03343589920359155,0.04313606139053554,0.0,0.0,0.0,0.5
2016-08-04,K200,0.014363775907057397,0.013457183503812198,0.09374547605788362,-0.015603043751830858,0.027178439483115265,0.02506268760890608,0.010651729596946824,0.06728308550915738,0.5585106382978723,0.2819148936170212,8.0,0.25,0.25,0.0,0.25,0.0,0.25,0.625,0.25,0.0,0.25,0.0,0.16666666666666666,REVISION,N+,0.028807540686879553,0.051027809466445785,0.0,0.0,0.0,0.5
2016-08-11,K200,0.021930948698106523,0.0539700639227052,0.08729605350556766,0.0,0.006199610499191047,-2.82120459476391e-05,-0.004177081038402197,0.08024982393928844,0.4840425531914893,0.3404255319148936,8.0,0.375,0.375,0.0,0.125,0.0,0.125,0.875,0.25,0.0,0.25,0.0,0.16666666666666666,REVISION,N+,0.030201273247002548,0.03116500161379946,0.0,0.0,0.0,1.0
2016-08-19,K200,0.02645262039795071,0.05809981171292078,0.08756082297985257,0.0,-0.008458192153624196,-0.008543651539052894,-0.030510359976031798,0.12448890332476499,0.526595744680851,0.5212765957446809,8.0,0.75,0.625,0.125,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.0,REVISION,W+,0.051954181774707155,0.02561949342633112,0.0,0.0,0.0,0.75
