hypothesis,factor_method,universe,n_specs,train_expected_share,valid_expected_share,train_valid_same_sign_share,median_train_diff,median_valid_diff
STRONG_RETURN,SCORE_MEDIAN,KOSPI_EX_K200,3,1.0,0.3333333333333333,0.3333333333333333,-0.01280335713964753,0.0002605206311741396
STRONG_RETURN,SCORE_MEDIAN,KOSPI_KOSDAQ_ALL,2,0.0,0.5,0.5,0.0020313595416436444,0.0024194381264046154
STRONG_RETURN,SCORE_MEDIAN,ALL_UNIVERSES,14,0.7857142857142857,0.5,0.42857142857142855,-0.005515120437858123,4.978221112011548e-05
STRONG_DOWNSIDE,KMEANS,K200,2,0.5,0.5,0.0,-0.003453206650751049,-0.0012054379231924341
STRONG_DOWNSIDE,KMEANS,KOSDAQ,2,1.0,1.0,1.0,-0.014226857333041569,-0.016201319612604598
STRONG_DOWNSIDE,KMEANS,KOSDAQ_PLUS_KOSPI_EX_K200,3,1.0,1.0,1.0,-0.011346567054320342,-0.009098036444418055
STRONG_DOWNSIDE,KMEANS,KOSPI_ALL,2,0.5,0.0,0.5,-0.0014917659583234058,0.00658536223944204
STRONG_DOWNSIDE,KMEANS,KOSPI_EX_K200,3,1.0,0.3333333333333333,0.3333333333333333,-0.015189474425424128,0.000978942419620061
STRONG_DOWNSIDE,KMEANS,KOSPI_KOSDAQ_ALL,1,0.0,0.0,1.0,0.0006090030116011648,0.007942484988261146
STRONG_DOWNSIDE,KMEANS,ALL_UNIVERSES,13,0.7692307692307693,0.5384615384615384,0.6153846153846154,-0.00857460078409553,-0.0004363299093701478
STRONG_DOWNSIDE,SCORE_MEDIAN,K200,2,1.0,1.0,1.0,-0.005072603436345387,-0.017711551809212717
STRONG_DOWNSIDE,SCORE_MEDIAN,KOSDAQ,2,1.0,1.0,1.0,-0.004416946502188043,-0.01793315908569581
STRONG_DOWNSIDE,SCORE_MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,3,1.0,0.3333333333333333,0.3333333333333333,-0.01587972998319549,4.332327430134342e-08
STRONG_DOWNSIDE,SCORE_MEDIAN,KOSPI_ALL,2,0.5,0.5,0.0,0.00037332735387919647,0.0011849217134147078
STRONG_DOWNSIDE,SCORE_MEDIAN,KOSPI_EX_K200,3,0.6666666666666666,0.0,0.3333333333333333,-0.014028907114314721,0.006690684171280985
STRONG_DOWNSIDE,SCORE_MEDIAN,KOSPI_KOSDAQ_ALL,2,0.5,0.5,0.0,-0.001478342697541813,0.0031680086046932242
STRONG_DOWNSIDE,SCORE_MEDIAN,ALL_UNIVERSES,14,0.7857142857142857,0.5,0.42857142857142855,-0.005206448615437164,-3.056768950056993e-05
