model,universe,k,state,train_n,all_n,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,KOSDAQ,5,S1,31,53,-0.09191696166601747,-0.1607733763874189,0.4136487059577869,-0.19116066549582728,0.3368689812270606,0.01607886158537543,0.07569042233744964,-0.01852052520949495,0.2566155172520924
BASE,KOSDAQ,5,S2,72,99,-0.010774301023798234,-0.08344035556580938,0.2311484905099309,-0.10899452745457702,0.33082985297468503,-0.0024905970823942154,-0.007093357141211685,-0.056029655000903095,0.2323472381564312
BASE,KOSDAQ,5,S3,116,184,-0.01226739794666264,0.03304308258551243,0.19607447215023754,-0.048198295975881995,0.3149243926513654,0.0006750031365000861,-0.004243026188619056,-0.04793533761758224,0.20232073110884743
BASE,KOSDAQ,5,S4,77,101,0.037901190925313646,0.04619035038138024,0.11555667436416418,-0.009208856533639483,0.39471659324407704,-0.002032360920484397,-0.00724442945517324,-0.04104179290450923,0.16463935776055721
BASE,KOSDAQ,5,S5,37,71,0.08924400279221703,0.18418572889082632,0.21508316795051483,-0.005136091346890349,0.4368712490277436,0.0006170442148058498,0.00996044438622215,-0.042956227440289534,0.233747263622593
