universe,base_k,base_rank,base_role,factor_method,stress_period,outcome,valid_diff,stress_diff,same_sign,stress_n_min
KOSDAQ,5,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.23308270676691728,0.3545454545454545,1.0,10
KOSDAQ,5,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.06954887218045112,-0.1,1.0,10
KOSDAQ,5,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.03387079321131768,0.01980449334928381,0.0,10
KOSDAQ,5,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.03168546663412031,0.025312569065888163,0.0,10
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,13
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,0.1333333333333333,-0.24102564102564106,0.0,13
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,-0.004468128568464934,0.018421935920762002,0.0,13
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.0004363299093701478,0.011088009690003484,0.0,13
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,11
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,0.1333333333333333,-0.3048128342245989,0.0,11
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,0.0005408464330801405,0.03595807934945806,1.0,11
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.0021447549549969552,0.008442906454008605,1.0,11
