date,universe,eval_year,persist_score,opportunity_score,train_p33,train_p67,train_o67,persist_action,combined_action,target_factor_mom_20,target_fwd_range_20,top2_gross,top2_w_MOM1M,top2_w_MOM12_1,top2_w_OP12_REV,top2_w_OPFY1_REV,top2_w_PBR12MF,top2_w_PER12MF,top2_w_PRIVATE_FLOW,top2_w_FOREIGN_FLOW,bottom2_gross,bottom2_w_MOM1M,bottom2_w_MOM12_1,bottom2_w_OP12_REV,bottom2_w_OPFY1_REV,bottom2_w_PBR12MF,bottom2_w_PER12MF,bottom2_w_PRIVATE_FLOW,bottom2_w_FOREIGN_FLOW,ew8_gross,ew8_w_MOM1M,ew8_w_MOM12_1,ew8_w_OP12_REV,ew8_w_OPFY1_REV,ew8_w_PBR12MF,ew8_w_PER12MF,ew8_w_PRIVATE_FLOW,ew8_w_FOREIGN_FLOW,persist_only_gross,persist_only_w_MOM1M,persist_only_w_MOM12_1,persist_only_w_OP12_REV,persist_only_w_OPFY1_REV,persist_only_w_PBR12MF,persist_only_w_PER12MF,persist_only_w_PRIVATE_FLOW,persist_only_w_FOREIGN_FLOW,combined_gross,combined_w_MOM1M,combined_w_MOM12_1,combined_w_OP12_REV,combined_w_OPFY1_REV,combined_w_PBR12MF,combined_w_PER12MF,combined_w_PRIVATE_FLOW,combined_w_FOREIGN_FLOW,cost_bps,combined_turnover,combined_ret,persist_only_turnover,persist_only_ret,top2_turnover,top2_ret,ew8_turnover,ew8_ret
2020-10-26,K200,2020,-0.6160838781019317,2.0164062831704435,-0.14969523709363677,0.17579787683631196,0.22287061931847302,BOTTOM2,BOTTOM2,-0.0009952926428208,0.0706787813568677,-0.017896552121336447,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0169012594785156,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.001627153254005075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0169012594785156,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.0169012594785156,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,0.75,-0.0169012594785156,0.75,-0.0169012594785156,0.0,-0.017896552121336447,0.0,-0.001627153254005075
2020-11-23,K200,2020,0.4054316162537167,-0.36888817644833394,-0.14969523709363677,0.17579787683631196,0.22287061931847302,TOP2,EW8,0.0288094115262825,0.1268774016619585,-0.004094464273265649,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-0.03290387579954825,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-0.016218156840713836,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.004094464273265649,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-0.016218156840713836,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.016218156840713836,1.0,-0.004094464273265649,1.0,-0.004094464273265649,0.0,-0.016218156840713836
2020-12-21,K200,2020,-0.651342652333063,0.9493983132950626,-0.14969523709363677,0.17579787683631196,0.22287061931847302,BOTTOM2,BOTTOM2,-0.0195413472583531,0.1158450316098342,0.025812552730475648,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.04535389998882885,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.03760401269239955,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.04535389998882885,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.04535389998882885,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0,0.75,0.04535389998882885,1.0,0.04535389998882885,0.5,0.025812552730475648,0.0,0.03760401269239955
2021-01-21,K200,2021,-0.17095932507369774,0.5439962671931673,-0.20094263494407621,0.18429675049308436,0.11936220898172269,EW8,EW8,0.0008154398284724,0.1388529008347112,0.0144246580967247,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0136092182682523,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.017148781788745675,0.75,0.017148781788745675,1.0,0.0144246580967247,0.0,0.017148781788745675
2021-02-22,K200,2021,-0.39955990388299145,1.2282467884743649,-0.20094263494407621,0.18429675049308436,0.11936220898172269,BOTTOM2,BOTTOM2,0.072247598503827,0.2341097857827189,-0.015163493720421549,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.0874110922242485,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.006359378872173923,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0874110922242485,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0874110922242485,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0.75,-0.0874110922242485,0.75,-0.0874110922242485,0.5,-0.015163493720421549,0.0,0.006359378872173923
2021-03-23,K200,2021,-1.2316732637806775,2.4669476241307797,-0.20094263494407621,0.18429675049308436,0.11936220898172269,BOTTOM2,BOTTOM2,-0.0502434750279005,0.09414426861540659,-0.0052659956587285,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0449774793691719,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.008109179183691312,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0449774793691719,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0449774793691719,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0449774793691719,0.0,0.0449774793691719,1.0,-0.0052659956587285,0.0,0.008109179183691312
2021-04-20,K200,2021,0.8635911628605578,0.04915248968135385,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,-0.0514709260785202,0.1480822785271578,-0.015274732573076499,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.03619619350544375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.025195058149147017,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.015274732573076499,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.025195058149147017,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.025195058149147017,0.5,-0.015274732573076499,1.0,-0.015274732573076499,0.0,0.025195058149147017
2021-05-20,K200,2021,-0.041532961844849954,0.4199163721833819,-0.20094263494407621,0.18429675049308436,0.11936220898172269,EW8,EW8,-0.0268002586446671,0.0791545163669641,-0.03271661367937945,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.00591635503471225,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.02524736458112404,0.75,-0.02524736458112404,1.0,-0.03271661367937945,0.0,-0.02524736458112404
2021-06-17,K200,2021,0.37104391312175417,-0.41177437032778413,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,-0.0351204262174471,0.0963753163110562,-0.0314777164384353,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0036427097790118004,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,7.555546077500077e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0314777164384353,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,7.555546077500077e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,7.555546077500077e-05,0.75,-0.0314777164384353,0.5,-0.0314777164384353,0.0,7.555546077500077e-05
2021-07-15,K200,2021,0.1867967431040736,-0.3524098654176014,-0.20094263494407621,0.18429675049308436,0.11936220898172269,TOP2,EW8,-0.0195079702183935,0.08128057085804499,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.00709972011452315,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.01190387883342035,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.01190387883342035,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.01190387883342035,1.0,-0.0266076903329167,1.0,-0.0266076903329167,0.0,-0.01190387883342035
