era,universe,n_confirmed,n_unconfirmed,valid_cell,confirmed_mean_future,unconfirmed_mean_future,confirmed_minus_unconfirmed
2016_2019,K200,235,133,True,0.0019830729129814914,-0.0017424280352732573,0.0037255009482547487
2016_2019,KOSDAQ,247,121,True,0.00590651700267175,0.004976953348390011,0.0009295636542817386
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,302,66,True,0.008771938256873179,0.006703809819548926,0.002068128437324253
2016_2019,KOSPI_ALL,273,95,True,0.0025249493610722783,-0.004479445554614928,0.007004394915687206
2016_2019,KOSPI_EX_K200,230,136,True,0.009021624218809754,0.00464676832378312,0.004374855895026634
2016_2019,KOSPI_KOSDAQ_ALL,334,34,True,0.003680408320935832,0.009319366975221998,-0.0056389586542861655
2020_2022,K200,200,98,True,0.0031136681702565606,0.0028442385452556837,0.00026942962500087686
2020_2022,KOSDAQ,188,110,True,0.006592752081197131,0.008339188006674377,-0.0017464359254772462
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,244,54,True,0.009691729220614311,0.020180663336821295,-0.010488934116206983
2020_2022,KOSPI_ALL,225,73,True,0.002441977493521322,0.005620975759556092,-0.00317899826603477
2020_2022,KOSPI_EX_K200,167,99,True,0.010318842531042004,0.00037531742648306144,0.009943525104558943
2020_2022,KOSPI_KOSDAQ_ALL,274,24,True,0.00839871453046161,-0.0076323779056318986,0.01603109243609351
2023_2024,K200,116,78,True,0.0064270788629710385,0.005431088426873521,0.0009959904360975179
2023_2024,KOSDAQ,139,55,True,2.492778545744242e-05,0.016000866307486854,-0.01597593852202941
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,163,31,True,0.0006637830737608178,0.007533046940699393,-0.006869263866938575
2023_2024,KOSPI_ALL,136,58,True,0.011222350318303058,0.006636985897076725,0.004585364421226333
2023_2024,KOSPI_EX_K200,132,62,True,0.011394110854773163,0.00019195848214011813,0.011202152372633044
2023_2024,KOSPI_KOSDAQ_ALL,179,15,True,0.004912070269547393,0.006865445343876206,-0.0019533750743288125
2025,K200,60,38,True,0.006767900074563343,0.006044690795807513,0.0007232092787558299
2025,KOSDAQ,73,25,True,0.013427977007435414,0.019633391723274204,-0.00620541471583879
2025,KOSDAQ_PLUS_KOSPI_EX_K200,83,15,True,0.015639358773505082,0.029319910667778934,-0.013680551894273852
2025,KOSPI_ALL,77,21,True,0.010339552563910543,-0.004193061535085416,0.01453261409899596
2025,KOSPI_EX_K200,71,27,True,0.011328709100593035,0.0006098404315394747,0.01071886866905356
2025,KOSPI_KOSDAQ_ALL,94,4,False,0.010724856606406584,-0.012924824928715824,
2026,K200,46,4,False,0.03684342968410942,-0.020785576509388753,
2026,KOSDAQ,36,14,False,0.05395126349301109,0.04108553050795016,
2026,KOSDAQ_PLUS_KOSPI_EX_K200,41,9,False,0.04267165305924364,0.023627030258235444,
2026,KOSPI_ALL,43,7,False,0.027040086340353087,0.01833026612032986,
2026,KOSPI_EX_K200,38,12,False,0.01359776094967613,0.009113562201034708,
2026,KOSPI_KOSDAQ_ALL,43,7,False,0.03427114878863776,0.012941241975529871,
